Date,IWF,IWM,MTUM,SONO,SPY,VLUE,VXX
2019-04-01,-0.0,-1.5530883103624296,-0.0,1.0,-3.169559298962055,-2.7850944359367023,0.0
2019-04-02,-0.0,-1.5675105485232068,-0.0,1.0,-3.1649789029535866,-2.706329113924051,0.0
2019-04-03,-0.0,-1.5742667121418827,-0.0,1.0,-3.2391712141882674,-2.7130798090040926,0.0
2019-04-04,-0.0,-1.5693804403481824,-0.0,1.0,-3.265147636115378,-2.6993514251578765,0.0
2019-04-05,-0.0,-1.5687595973383381,-0.0,1.0,-3.2651424671557754,-2.6971506568844905,0.0
2019-04-08,-0.0,-1.5468135998633181,-0.0,1.0,-3.2874594225183666,-2.708354689902614,0.0
2019-04-09,-0.0,-1.5452602786562954,-0.0,1.0,-3.290281220617147,-2.712112146337294,0.0
2019-04-10,-0.0,-1.5165183156453268,-0.0,1.0,-3.343546730571722,-2.6987333105100992,0.0
2019-04-11,-0.0,-1.5059437270161633,-0.0,1.0,-3.348670144530916,-2.697596852817925,0.0
2019-04-12,-0.0,-1.5073120670486615,-0.0,1.0,-3.3477294107585736,-2.6970837253057383,0.0
2019-04-15,-0.0,-1.506791969243913,-0.0,1.0,-3.3398547629218283,-2.696710807347287,0.0
2019-04-16,-0.0,-1.5056823036828164,-0.0,1.0,-3.343416218063745,-2.695633598222678,0.0
2019-04-17,-0.0,-1.5115920951321757,-0.0,1.0,-3.3706048421592953,-2.6729403712892466,0.0
2019-04-18,-0.0,-1.4956782199400942,-0.0,1.0,-3.372871202396235,-2.689430894308943,0.0
2019-04-22,-0.0,-1.4952927079767204,-0.0,1.0,-3.37307428962684,-2.690345771995892,0.0
2019-04-23,-0.0,-1.4986707829517194,-0.0,1.0,-3.373209844781751,-2.7037132321413258,0.0
2019-04-24,-0.0,-1.444425356467961,-0.0,1.0,-3.39417625837485,-2.7510736986772035,0.0
2019-04-25,-0.0,-1.4409692387008077,-0.0,1.0,-3.397662828664719,-2.7539096064615913,0.0
2019-04-26,-0.0,-1.4338942307692308,-0.0,1.0,-3.4088255494505497,-2.742359203296703,0.0
2019-04-29,-0.0,-1.415450643776824,-0.0,1.0,-3.4083261802575104,-2.7599141630901283,0.0
