Date,BLMN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4449668474984931,-1.1787422141852522,-0.0,-0.7253365481213583,-0.6693992364878442,0.0
2018-09-25,1.0,-0.4451498834686169,-1.1785341155669855,-0.0,-0.725307401751989,-0.6693723378606445,0.0
2018-09-26,1.0,-0.44500703234880457,-1.178621659634318,-0.0,-0.7253365481213583,-0.6695197910387785,0.0
2018-09-27,1.0,-0.452589673475953,-1.1684092005790574,-0.0,-0.7285266205565385,-0.6717468232266366,0.0
2018-09-28,1.0,-0.45211097708082026,-1.1685564937675914,-0.0,-0.7284278246883795,-0.671773220747889,0.0
2018-10-01,1.0,-0.4551532482178098,-1.1679487695839543,-0.0,-0.7313222441499858,-0.673124169318136,0.0
2018-10-02,1.0,-0.45581957309706006,-1.1664518727345954,-0.0,-0.731614981876762,-0.6735400724929521,0.0
2018-10-03,1.0,-0.4550435062842411,-1.1544070254592331,-0.0,-0.7367064131485659,-0.6822027070576862,0.0
2018-10-04,1.0,-0.4616407982261641,-1.1465430356782906,-0.0,-0.7453739165490829,-0.6778472082241485,0.0
2018-10-05,1.0,-0.4344560213229949,-1.1399321541070997,-0.0,-0.763791293110411,-0.7003069218964543,0.0
2018-10-08,1.0,-0.4302494550738678,-1.1361104383627998,-0.0,-0.7700411721966578,-0.7001291676757891,0.0
2018-10-09,1.0,-0.42245468921055834,-1.1407371366013868,-0.0,-0.7789401127194584,-0.7125248347727365,0.0
2018-10-10,1.0,-0.4235632649752777,-1.1397422387938723,-0.0,-0.7795250060792738,-0.7100591715976331,0.0
2018-10-11,1.0,-0.3257254901960784,-1.1294901960784314,-0.0,-0.7463137254901961,-0.7200000000000001,0.0
2018-10-12,1.0,-0.3257815515245079,-1.1192589733693554,-0.0,-0.7219220378232343,-0.6925511385565418,0.0
2018-10-15,1.0,-0.2995998152993689,-1.141449899953825,-0.0,-0.7155225488687087,-0.6913575496382945,0.0
2018-10-16,1.0,-0.2927552986512524,-1.1555298651252408,-0.0,-0.7147591522157997,-0.6905202312138727,0.0
2018-10-17,1.0,-0.2669838752312979,-1.1081152524451494,-0.0,-0.7052603753634682,-0.6959329330463352,0.0
2018-10-18,1.0,-0.26598639455782314,-1.1063492063492064,-0.0,-0.7095993953136811,-0.6973544973544973,0.0
2018-10-19,1.0,-0.2536719131512716,-1.101761767026032,-0.0,-0.7073738777656737,-0.6936253333834191,0.0
2018-10-22,1.0,-0.25387647831800264,-1.0955134221888494,-0.0,-0.7094800075089169,-0.6955885113572368,0.0
2018-10-23,1.0,-0.2651814994911229,-1.1012476912058502,-0.0,-0.7068491085227486,-0.6961815371857212,0.0
2018-10-24,1.0,-0.2626939882477023,-1.0967681181256592,-0.0,-0.7080759379237608,-0.6992240470091908,0.0
2018-10-25,1.0,-0.22485207100591717,-1.0431262932442735,-0.0,-0.7029440592442009,-0.659273242095328,0.0
2018-10-26,1.0,-0.20627577550654475,-1.0262148108301956,-0.0,-0.7058992289761521,-0.6477676169983863,0.0
