Date,IWF,IWM,MTUM,SBUX,SPY,VLUE,VXX
2018-09-24,-0.3509479157538048,-0.509157830163877,-0.0,1.0,-0.5591096310577512,-0.5019425700347617,0.0
2018-09-25,-0.349316871946403,-0.5112781954887218,-0.0,1.0,-0.5606623562798045,-0.5043152628653346,0.0
2018-09-26,-0.3507842678216083,-0.5127297202387919,-0.0,1.0,-0.5608100198993328,-0.5020484607280814,0.0
2018-09-27,-0.35572139303482586,-0.5051799824407375,-0.0,1.0,-0.5625109745390693,-0.503131401814457,0.0
2018-09-28,-0.3550964267946504,-0.5058382839249657,-0.0,1.0,-0.5623774545667378,-0.5031459424658336,0.0
2018-10-01,-0.3569252402156082,-0.5050093742676353,-0.0,1.0,-0.5639207874384814,-0.5036032341223342,0.0
2018-10-02,-0.3549300761196672,-0.5339293090222458,-0.0,1.0,-0.5612202749749218,-0.5002950374697587,0.0
2018-10-03,-0.35430981097578956,-0.5280292530447347,-0.0,1.0,-0.5629146884491758,-0.5036418861136503,0.0
2018-10-04,-0.3570628463624573,-0.5235526470935031,-0.0,1.0,-0.566295248201863,-0.5008548520221673,0.0
2018-10-05,-0.3387851154581556,-0.5135755258126196,-0.0,1.0,-0.5760847183409324,-0.5131637005441977,0.0
2018-10-08,-0.3361912032415292,-0.5101591402900933,-0.0,1.0,-0.5778084444183451,-0.5120089259498503,0.0
2018-10-09,-0.3296033452104008,-0.5120292116964575,-0.0,1.0,-0.5831149327129774,-0.51995052857858,0.0
2018-10-10,-0.3384597149376241,-0.5154235932082852,-0.0,1.0,-0.5921711559546033,-0.5171718967611936,0.0
2018-10-11,-0.2972465401173038,-0.4990898847187311,-0.0,1.0,-0.5760018491231113,-0.516916587212158,0.0
2018-10-12,-0.29845072032929343,-0.4906814543791448,-0.0,1.0,-0.5654870798079122,-0.5038303224331123,0.0
2018-10-15,-0.30793286472529047,-0.4846363505953234,-0.0,1.0,-0.5705637641658298,-0.5058958542533352,0.0
2018-10-16,-0.3027536107043386,-0.49418554569730383,-0.0,1.0,-0.5695581014729951,-0.5048382002469348,0.0
2018-10-17,-0.2897114213701113,-0.46852255671037357,-0.0,1.0,-0.5652912690096571,-0.5084251366429725,0.0
2018-10-18,-0.2890117405676507,-0.4691667616550781,-0.0,1.0,-0.5770830958623048,-0.5143907443291919,0.0
2018-10-19,-0.27720419766356463,-0.4576980737136877,-0.0,1.0,-0.5796679206856561,-0.5140440698102,0.0
2018-10-22,-0.2771305773907143,-0.4529774359554375,-0.0,1.0,-0.5816038002601369,-0.515890968727026,0.0
2018-10-23,-0.2806685142243086,-0.4533963011141904,-0.0,1.0,-0.5791244839092812,-0.5147050506193089,0.0
2018-10-24,-0.27938310312685366,-0.4497358980877327,-0.0,1.0,-0.5796683896844901,-0.5158319916391266,0.0
