Date,IWF,IWM,MTUM,SAIC,SPY,VLUE,VXX
2018-09-24,-0.3905128653947138,-0.8672501312795379,-0.0438998774724313,1.0,-0.6122177489935235,-0.5869420619639418,0.0
2018-09-25,-0.3907032097728307,-0.8668486821379817,-0.04434876964541987,1.0,-0.6119220133711366,-0.5865098533375337,0.0
2018-09-26,-0.39872278869562144,-0.8802526196944571,-0.05278199202624986,1.0,-0.6168366086864482,-0.579614014042268,0.0
2018-09-27,-0.3982410285391354,-0.8836888951681268,-0.05220401243289065,1.0,-0.6175120090421023,-0.5803899406612038,0.0
2018-09-28,-0.39655964112888986,-0.8850270212991418,-0.052841651654833816,1.0,-0.6173572109780651,-0.5804457631309385,0.0
2018-10-01,-0.3959674566678458,-0.8882914750619031,-0.0535196321188539,1.0,-0.6177219667492041,-0.5818181818181818,0.0
2018-10-02,-0.3961386946800582,-0.9080810590197678,-0.04858572594669411,1.0,-0.6163537637079887,-0.5798346168861127,0.0
2018-10-03,-0.3957638543957993,-0.8996310224934365,-0.04747037536365571,1.0,-0.6195629035691478,-0.5854324842120201,0.0
2018-10-04,-0.4002767625873753,-0.8927367562005463,-0.04829152325870205,1.0,-0.6255544122343256,-0.5813788454032572,0.0
2018-10-05,-0.3943243338876898,-0.8918297300166307,-0.03970135522451435,1.0,-0.6284278687944518,-0.5841619192526804,0.0
2018-10-08,-0.392807940937511,-0.8894344554735244,-0.037196651241654596,1.0,-0.6297643858843477,-0.5832420784909392,0.0
2018-10-09,-0.3922642175909572,-0.8897562698693041,-0.03571176262804662,1.0,-0.6304486047333098,-0.5841045566937478,0.0
2018-10-10,-0.3929025423728813,-0.8888771186440678,-0.03640536723163842,1.0,-0.6307203389830508,-0.5821327683615819,0.0
2018-10-11,-0.3536606373815676,-0.8852024117140396,-0.0,1.0,-0.617984496124031,-0.5884237726098192,0.0
2018-10-12,-0.3603459430011236,-0.8800776328782048,-0.0,1.0,-0.5987265484013756,-0.5658006741802581,0.0
2018-10-15,-0.32514312977099236,-0.9189953653217013,-0.0,1.0,-0.5943293347873501,-0.5693838604143948,0.0
2018-10-16,-0.3169923476359661,-0.9365263733260454,-0.0,1.0,-0.5938781087728888,-0.5688371139655644,0.0
2018-10-17,-0.3016948010377708,-0.9082516257286297,-0.0,1.0,-0.5878567337174433,-0.5715826004919303,0.0
2018-10-18,-0.3034815790362341,-0.9135852497214061,-0.0,1.0,-0.5868030932360788,-0.5730253604835714,0.0
2018-10-19,-0.2930310663308144,-0.9091519731318219,-0.0,1.0,-0.5858270361041141,-0.5705457598656591,0.0
2018-10-22,-0.29287873698354044,-0.8993953644608665,-0.0,1.0,-0.5912663755458515,-0.5755458515283842,0.0
2018-10-23,-0.3034450212364323,-0.9040315512708151,-0.0,1.0,-0.5879795051574194,-0.5754061889031215,0.0
2018-10-24,-0.3017348829375105,-0.8999494694290046,-0.0,1.0,-0.5889843355229913,-0.5780360451406434,0.0
2018-10-25,-0.2787753222836096,-0.8687845303867404,-0.0,1.0,-0.5867863720073665,-0.5542620363062352,0.0
2018-10-26,-0.2560441714584422,-0.8590237846314689,-0.0,1.0,-0.6028815995818086,-0.5491701515943543,0.0
2018-10-29,-0.2377219800949717,-0.867462434137774,-0.0,1.0,-0.5941260651792103,-0.5531126000130098,0.0
2018-10-30,-0.24622902752891349,-0.8687734158657763,-0.0,1.0,-0.5951457892164848,-0.5476787750447956,0.0
2018-10-31,-0.25169979926180147,-0.8481188888169398,-0.0,1.0,-0.5944117075697727,-0.5435148611021174,0.0
2018-11-01,-0.2623131903833658,-0.8431773879142299,-0.0,1.0,-0.5975633528265107,-0.5457764782326185,0.0
2018-11-02,-0.2679506236670329,-0.8159051250565501,-0.0,1.0,-0.6062495960705745,-0.5413300588121244,0.0
