Date,DISCA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.44560164491328447,-1.0989182907205435,-0.0,-0.8926336492043625,-1.0327194707670302,0.0
2018-09-25,1.0,-0.4505474860335195,-1.097385474860335,-0.0,-0.8916201117318436,-1.0297206703910613,0.0
2018-09-26,1.0,-0.44925526680681666,-1.0971060517958582,-0.0,-0.8926957999731628,-1.0337701838350404,0.0
2018-09-27,1.0,-0.4530342300473679,-1.0888819376173027,-0.0,-0.8930646170345875,-1.0336491196711055,0.0
2018-09-28,1.0,-0.45500067063084004,-1.0882550185541198,-0.0,-0.8936379487638038,-1.033933920507891,0.0
2018-10-01,1.0,-0.45547210300429186,-1.0877592989985694,-0.0,-0.8936874105865522,-1.0337088698140202,0.0
2018-10-02,1.0,-0.46182420336555674,-1.0687880415324025,-0.0,-0.9025241675617616,-1.0423379878267096,0.0
2018-10-03,1.0,-0.4615556949547451,-1.054350748274935,-0.0,-0.9102966215610718,-1.0544851689219463,0.0
2018-10-04,1.0,-0.46264779648871374,-1.0521766391974203,-0.0,-0.9109190254389107,-1.0529828018631315,0.0
2018-10-05,1.0,-0.43931692527198146,-1.039860888175495,-0.0,-0.9159532726948457,-1.06362582486178,0.0
2018-10-08,1.0,-0.43500889679715304,-1.0345195729537366,-0.0,-0.9172597864768683,-1.0616103202846976,0.0
2018-10-09,1.0,-0.432898892398025,-1.0343401094257372,-0.0,-0.9179306970330501,-1.0630754859659268,0.0
2018-10-10,1.0,-0.4315123429284377,-1.0379645307904821,-0.0,-0.9189020586400498,-1.067551911594332,0.0
2018-10-11,1.0,-0.32305096478324824,-1.0236220472440944,-0.0,-0.8873842692740329,-1.0923682616596002,0.0
2018-10-12,1.0,-0.31928327645051197,-1.0099829351535836,-0.0,-0.8647610921501706,-1.072184300341297,0.0
2018-10-15,1.0,-0.30668029122493295,-1.0168603908545153,-0.0,-0.8616255801081449,-1.072508196023332,0.0
2018-10-16,1.0,-0.2978487280177565,-1.0371777360423426,-0.0,-0.8614051562233225,-1.0719224859142906,0.0
2018-10-17,1.0,-0.269886482637289,-0.986847065722783,-0.0,-0.852301763498513,-1.0797972605034978,0.0
2018-10-18,1.0,-0.26922432568269394,-0.9858016418160496,-0.0,-0.8532836320991791,-1.0799966493550008,0.0
2018-10-19,1.0,-0.24304977526219412,-0.9699933411020476,-0.0,-0.8611619776926919,-1.0876477442983188,0.0
2018-10-22,1.0,-0.24325674325674324,-0.9587079587079587,-0.0,-0.8674658674658674,-1.093031968031968,0.0
