Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WAL
2018-09-24,-0.15423951548394468,-0.6828648154496628,-0.14486915781053591,-0.40449662895669064,-0.4703462461432979,0.0,1.0
2018-09-25,-0.15445482332105007,-0.6825777701602537,-0.14525666295312367,-0.40426200474190876,-0.4699917159425258,0.0,1.0
2018-09-26,-0.15485474333704688,-0.6830919530379639,-0.1462278972776873,-0.40394778187219704,-0.4684491673093953,0.0,1.0
2018-09-27,-0.15413221958406043,-0.687330148468118,-0.14526418170895672,-0.40472580599021657,-0.4692336298881483,0.0,1.0
2018-09-28,-0.150316091954023,-0.696867816091954,-0.14586206896551726,-0.4080172413793104,-0.47250000000000003,0.0,1.0
2018-10-01,-0.1514141181880892,-0.6959071050816279,-0.14569441250862267,-0.40871464704529775,-0.4725224189468843,0.0,1.0
2018-10-02,-0.15146893793341581,-0.7039680027623515,-0.1434120795327022,-0.40756193709895544,-0.4710384714988634,0.0,1.0
2018-10-03,-0.15139659983315595,-0.7015217328769093,-0.14319822800103557,-0.40822138480568426,-0.47225498374708746,0.0,1.0
2018-10-04,-0.14989703280447833,-0.7178698842706731,-0.14232676857035126,-0.4069089537952838,-0.4834817414508223,0.0,1.0
2018-10-05,-0.13463544685290368,-0.7134577489277849,-0.12881071055987017,-0.420424249449403,-0.5005505969630231,0.0,1.0
2018-10-08,-0.13356878184344603,-0.7124247336729967,-0.12760537285780454,-0.4210572024085224,-0.5002026401111626,0.0,1.0
2018-10-09,-0.13169022242817424,-0.7134209916589435,-0.12268303985171457,-0.4240616311399444,-0.5043443002780352,0.0,1.0
2018-10-10,-0.1316056174895034,-0.7133053424062545,-0.12277399739394818,-0.4240915013754163,-0.5038366874185609,0.0,1.0
2018-10-11,-0.09061030203434013,-0.7209724032413443,-0.07502691675638919,-0.4199863999546665,-0.5267467558225194,0.0,1.0
2018-10-12,-0.08646987510220192,-0.7224054808424258,-0.07189376638754968,-0.4152640333812625,-0.5233302320336068,0.0,1.0
