Date,BLL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2449117678900076,-0.5006766266103714,-0.0,-0.48238064306593054,-0.47853740391902133,0.0
2018-09-25,1.0,-0.2492757547042101,-0.4998510897522675,-0.0003248950859618248,-0.4817923378908894,-0.4762149722485447,0.0
2018-09-26,1.0,-0.24753550769899246,-0.5002036770496701,-0.0,-0.48428971023545064,-0.48366510061646256,0.0
2018-09-27,1.0,-0.2502985236647851,-0.49492509769865395,-0.0,-0.48477529309596185,-0.4838525835866262,0.0
2018-09-28,1.0,-0.24856103388357953,-0.4972306689834926,-0.0,-0.48501303214596003,-0.4842256733275413,0.0
2018-10-01,1.0,-0.24953151734064802,-0.4964286684229109,-0.0,-0.48564677765405617,-0.48423454007224137,0.0
2018-10-02,1.0,-0.24983702737940028,-0.4965775749674055,-0.0,-0.48557692307692313,-0.4841916558018253,0.0
2018-10-03,1.0,-0.24951696737148607,-0.48542738182708794,-0.0,-0.49206737965003944,-0.49432606743407626,0.0
2018-10-04,1.0,-0.24811475409836067,-0.4937978142076503,-0.0,-0.4905191256830601,-0.49980874316939894,0.0
2018-10-05,1.0,-0.2297872340425532,-0.4847790507364975,-0.0,-0.5002727768685216,-0.5129023458810693,0.0
2018-10-08,1.0,-0.2270461664169958,-0.4815742884379681,-0.0,-0.5028734849516546,-0.5121884788233693,0.0
2018-10-09,1.0,-0.22266444947250771,-0.48180356023226023,-0.0,-0.5052749229888504,-0.5162881988932203,0.0
2018-10-10,1.0,-0.2211688205240294,-0.4848501407065381,-0.0,-0.5058058522991175,-0.5203136526324418,0.0
2018-10-11,1.0,-0.20075532775829513,-0.4773131912597788,-0.0,-0.49910979228486646,-0.5204208254653359,0.0
2018-10-12,1.0,-0.2047193707505666,-0.46999066791094524,-0.0,-0.48585521930409276,-0.5057459005465937,0.0
2018-10-15,1.0,-0.20029827691816027,-0.4721297504593997,-0.0,-0.48507283815814,-0.5056859037524302,0.0
2018-10-16,1.0,-0.19421697031129131,-0.484142014991064,-0.0,-0.48430206193816855,-0.5047880711675424,0.0
2018-10-17,1.0,-0.18999601963646012,-0.4762372296669762,-0.0,-0.48231391800451107,-0.5050285259387024,0.0
2018-10-18,1.0,-0.1894767565272766,-0.47521757588622376,-0.0,-0.48344300573126725,-0.5052005943536405,0.0
2018-10-19,1.0,-0.17618068732869493,-0.464842926417879,-0.0,-0.4872707147375079,-0.507168458781362,0.0
2018-10-22,1.0,-0.1766923239139604,-0.4653890763390975,-0.0,-0.48700442851117676,-0.5069327288064108,0.0
2018-10-23,1.0,-0.1724429864013969,-0.468252288480872,-0.0,-0.49351817556484473,-0.5114291761468861,0.0
2018-10-24,1.0,-0.1709566596194503,-0.4651427061310782,-0.0,-0.49389534883720926,-0.512737843551797,0.0
2018-10-25,1.0,-0.15539490049751245,-0.44304519071310117,-0.0,-0.49409203980099503,-0.4986784825870647,0.0
2018-10-26,1.0,-0.13706852138073158,-0.43626996393611545,-0.0,-0.507908294693457,-0.4947449768160742,0.0
2018-10-29,1.0,-0.1196090001795931,-0.4439284706365292,-0.0,-0.5010390743258845,-0.5010134181696898,0.0
2018-10-30,1.0,-0.10476288341982222,-0.445923033448081,-0.0,-0.5033653599136824,-0.5149257565637363,0.0
2018-10-31,1.0,-0.1050646551724138,-0.44373460591133,-0.0,-0.5027452791461412,-0.5141112479474549,0.0
