Date,DSPG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3911446713574738,-0.8875922430066929,-0.08766088896516218,-0.5720610949030376,-0.49383902522738976,0.0
2018-09-25,1.0,-0.3941307705508838,-0.8855328642526171,-0.09205423030719066,-0.5701390080659001,-0.49044105028316454,0.0
2018-09-26,1.0,-0.39491932715413663,-0.8866117404737384,-0.09375214555441126,-0.569790593889461,-0.48784757981462407,0.0
2018-09-27,1.0,-0.3977978252666964,-0.8789489932425479,-0.09594209858333619,-0.5698555894762117,-0.4876342057421192,0.0
2018-09-28,1.0,-0.3957525645864068,-0.8807767523244244,-0.0965450989810272,-0.569869969465125,-0.48790613099118263,0.0
2018-10-01,1.0,-0.3955802621645734,-0.8811337588360442,-0.09687049619106444,-0.569761855740855,-0.48809278704275616,0.0
2018-10-02,1.0,-0.3977682403433476,-0.865304721030043,-0.10269527896995707,-0.5744549356223175,-0.49328755364806864,0.0
2018-10-03,1.0,-0.3973166798201969,-0.8592457880108431,-0.10204851937000307,-0.5761589403973509,-0.4966201146072813,0.0
2018-10-04,1.0,-0.3999108337048596,-0.8539387496141843,-0.1027127130560033,-0.579409444768339,-0.4935011488734181,0.0
2018-10-05,1.0,-0.38795164264736015,-0.848200259545113,-0.09026022812649408,-0.5868451608496686,-0.5018099856567173,0.0
2018-10-08,1.0,-0.38870272857826715,-0.8502701224099022,-0.09047391096218287,-0.5871572180811051,-0.5026670313889079,0.0
2018-10-09,1.0,-0.38595166163142,-0.8559804998626751,-0.07789755561658884,-0.5977066739906619,-0.5155863773688548,0.0
2018-10-10,1.0,-0.38557487457906675,-0.8579822692598447,-0.07648958834444368,-0.5982750326438045,-0.5178338258538933,0.0
2018-10-11,1.0,-0.34028426531429334,-0.858367809955959,-0.01561457360202856,-0.5883824903243028,-0.5337982116642199,0.0
2018-10-12,1.0,-0.3440576942075279,-0.8518786840978694,-0.011723252214575031,-0.571640267395528,-0.5137814074488755,0.0
2018-10-15,1.0,-0.3521923153230606,-0.8460419284438858,-0.017955161695655048,-0.5755902387408239,-0.5148799682560676,0.0
2018-10-16,1.0,-0.34957704428595127,-0.8661137833803284,-0.004843257588323105,-0.5793000497594958,-0.5174655830154254,0.0
2018-10-17,1.0,-0.3340403315277687,-0.8333224564380343,-0.0,-0.5737779808131567,-0.5219278209227958,0.0
2018-10-18,1.0,-0.33337683949489344,-0.8320227102163343,-0.0,-0.5753907397135118,-0.5221718275850817,0.0
2018-10-19,1.0,-0.3232090761750405,-0.8254781199351702,-0.0,-0.5741004862236628,-0.5187034035656402,0.0
2018-10-22,1.0,-0.3254383967205648,-0.8370367960438561,-0.0,-0.5729251390831898,-0.518007612974591,0.0
2018-10-23,1.0,-0.3258620689655172,-0.8369551073519844,-0.0,-0.5724788549121665,-0.517729342875732,0.0
2018-10-24,1.0,-0.32630890052356026,-0.8346204188481676,-0.0,-0.5814136125654451,-0.5299410994764399,0.0
2018-10-25,1.0,-0.3056113822694356,-0.8027881455960697,-0.0,-0.5763230931189587,-0.505343414042811,0.0
2018-10-26,1.0,-0.29506227476765506,-0.7916482265916418,-0.0,-0.576626414617184,-0.49781880255421385,0.0
