Date,IWF,IWM,MTUM,NPTN,SPY,VLUE,VXX
2018-09-24,-1.2541270635317658,-2.343338335834584,-0.4119559779889945,1.0,-1.6834250458562614,-1.6445722861430716,0.0
2018-09-25,-1.2601951463597698,-2.3398382119923276,-0.42081561170878157,1.0,-1.6803435910266034,-1.6383954632641147,0.0
2018-09-26,-1.2827004219409284,-2.37789029535865,-0.43831223628691984,1.0,-1.701181434599156,-1.638649789029536,0.0
2018-09-27,-1.2886415380723502,-2.3614132726199513,-0.4431233662197487,1.0,-1.701323889029429,-1.637912134244034,0.0
2018-09-28,-1.284955304435824,-2.3643953449148256,-0.4445100354191263,1.0,-1.701045707539214,-1.6381345926800472,0.0
2018-10-01,-1.2860516107269353,-2.3627087198515766,-0.44493169168493846,1.0,-1.701467363805026,-1.6379659301737224,0.0
2018-10-02,-1.2871630186765823,-2.384348854897321,-0.44139271528775453,1.0,-1.700921152708527,-1.6370320290712412,0.0
2018-10-03,-1.2870667793744717,-2.3647506339814033,-0.43871513102282333,1.0,-1.7103972950126796,-1.6521555367709215,0.0
2018-10-04,-1.2869837508463102,-2.370599187542316,-0.4388117806364252,1.0,-1.7105619498984428,-1.656144211238998,0.0
2018-10-05,-1.2616743794699201,-2.357593605384939,-0.4091712242322255,1.0,-1.7182162389566682,-1.6672275978123685,0.0
2018-10-08,-1.2594335658458693,-2.3559963022102695,-0.4052441381628708,1.0,-1.7178754517186319,-1.6655181107656105,0.0
2018-10-09,-1.2686957254868898,-2.364387488407386,-0.41665964083972684,1.0,-1.7189107157912489,-1.6624230671950089,0.0
2018-10-10,-1.2689125295508275,-2.370567375886525,-0.4134582911178656,1.0,-1.7218000675447482,-1.6682708544410672,0.0
2018-10-11,-1.1464579901153213,-2.405354200988468,-0.21886326194398684,1.0,-1.718533772652389,-1.748023064250412,0.0
2018-10-12,-1.1871618298081652,-2.416379734382686,-0.2069191670765699,1.0,-1.6845384489260533,-1.7030660764059682,0.0
2018-10-15,-1.1753108638743455,-2.4339005235602094,-0.18422774869109945,1.0,-1.6834914921465969,-1.7037794502617802,0.0
2018-10-16,-1.173837784371909,-2.4951368282228814,-0.15257171117705243,1.0,-1.7015331355093968,-1.7196669963732278,0.0
2018-10-17,-1.1271077565440821,-2.3975429580857557,-0.115464910872009,1.0,-1.673679139232375,-1.7156736791392324,0.0
2018-10-18,-1.1253820170500242,-2.3954479652565546,-0.11846549782853466,1.0,-1.6832073347273604,-1.7198809715296768,0.0
2018-10-19,-1.0984248820660432,-2.378587990725194,-0.0824338370512513,1.0,-1.7033661149756139,-1.7327896378028305,0.0
2018-10-22,-1.099784293361029,-2.3697371574658463,-0.07901254294159941,1.0,-1.7057601661740034,-1.7348406167612047,0.0
2018-10-23,-1.1036989694016137,-2.3687784612926417,-0.08772069984820643,1.0,-1.6986498362227371,-1.7303667012862507,0.0
2018-10-24,-1.1038142355569742,-2.3654644111075647,-0.07548675390999043,1.0,-1.7008458346632622,-1.7338812639642518,0.0
2018-10-25,-1.0174944854339392,-2.2319160264699174,-0.053852589944474026,1.0,-1.6693542252985472,-1.6336806876093404,0.0
2018-10-26,-0.9877190354949827,-2.197394039239179,-0.023139134341770257,1.0,-1.6706604762617943,-1.6094054215965254,0.0
2018-10-29,-0.9487179487179488,-2.2249552772808587,-0.0,1.0,-1.654293381037567,-1.6257453786523555,0.0
2018-10-30,-0.9493850167722699,-2.2251956764815506,-0.0,1.0,-1.6544912411479689,-1.6252702199030937,0.0
2018-10-31,-0.9528482880755608,-2.176505312868949,-0.0,1.0,-1.642266824085006,-1.6073642266824084,0.0
2018-11-01,-0.9109487974029807,-2.213368747233289,-0.0,1.0,-1.642688505238306,-1.610889774236388,0.0
2018-11-02,-0.9120699881376039,-2.233244365361803,-0.0,1.0,-1.6480575326215894,-1.620625741399763,0.0
2018-11-05,-0.9031899109792284,-2.2623145400593474,-0.0,1.0,-1.6514836795252226,-1.6014094955489615,0.0
2018-11-06,-0.939189189189189,-2.312687687687687,-0.0,1.0,-1.6599849849849848,-1.5955705705705705,0.0
2018-11-07,-0.9370828646419198,-2.3117360329958756,-0.0,1.0,-1.6566929133858268,-1.5934758155230597,0.0
2018-11-08,-0.8695878202747865,-2.3173412551058297,-0.0,1.0,-1.6336427775714817,-1.6060898626067583,0.0
2018-11-09,-0.8722581604580266,-2.319503308796193,-0.0,1.0,-1.6349170942077478,-1.6087441445460628,0.0
2018-11-12,-0.8720800889877641,-2.280163144234334,-0.0,1.0,-1.6571746384872081,-1.6061549870226177,0.0
2018-11-13,-0.8310602727672679,-2.2691010412083883,-0.0,1.0,-1.6445226572811262,-1.5878427921982694,0.0
2018-11-14,-0.8329544621251008,-2.2678741658722594,-0.0,1.0,-1.64486323971548,-1.5872992593678963,0.0
2018-11-15,-0.8342395297575312,-2.2805290227773694,-0.0,1.0,-1.6629684055841294,-1.5698750918442321,0.0
2018-11-16,-0.8249121265377857,-2.2588605741066203,-0.0,1.0,-1.6592706502636207,-1.5797451669595783,0.0
2018-11-19,-0.8232493407559333,-2.2604014063873423,-0.0,1.0,-1.6607090536185174,-1.5805742748315266,0.0
2018-11-20,-0.7695772192357984,-2.2456051140491065,-0.0,1.0,-1.6552375417695773,-1.5938544239430479,0.0
2018-11-21,-0.7876316928849761,-2.240005772838793,-0.0,1.0,-1.656876894212729,-1.531461971424448,0.0
2018-11-23,-0.7928370279442558,-2.2088237417864107,-0.0,1.0,-1.6780995017690807,-1.5409776879197052,0.0
2018-11-26,-0.7918741430324023,-2.211589810204229,-0.0,1.0,-1.6751100526809555,-1.5379952370642997,0.0
2018-11-27,-0.7693246249910284,-2.2194789349027486,-0.0,1.0,-1.6631019880858393,-1.5252996483169452,0.0
2018-11-28,-0.7694350728590913,-2.2229559974158355,-0.0,1.0,-1.661330844878329,-1.5245136745387986,0.0
2018-11-29,-0.6916684423609631,-2.2004403721855246,-0.0,1.0,-1.6639676113360324,-1.5466297322253002,0.0
2018-11-30,-0.6908380681818181,-2.200994318181818,-0.0,1.0,-1.6642755681818182,-1.5461647727272727,0.0
2018-12-03,-0.6848174247277387,-2.2099793579614206,-0.0,1.0,-1.671506868816286,-1.551640686169834,0.0
2018-12-04,-0.668321043675553,-2.214903573454339,-0.0,1.0,-1.6617271695972773,-1.5453062960862167,0.0
2018-12-06,-0.6514313372977458,-2.0811782602682896,-0.0,1.0,-1.6866961692711935,-1.4954363158622597,0.0
2018-12-07,-0.6278525453481568,-2.2031889994148623,-0.0,1.0,-1.8267992978349912,-1.656377998829725,0.0
2018-12-10,-0.5582777616700493,-2.226804870977095,-0.0,1.0,-1.838938822847202,-1.6244563641635257,0.0
2018-12-11,-0.5677105988110773,-2.223575467594606,-0.0,1.0,-1.8415253008554444,-1.616717413368131,0.0
2018-12-12,-0.5715736777189291,-2.224261771747805,-0.0,1.0,-1.8445911630269172,-1.6148879053906986,0.0
2018-12-13,-0.5706214689265537,-2.2155584528465884,-0.0,1.0,-1.8473127625669998,-1.6098073301463134,0.0
2018-12-14,-0.5797437196843553,-2.1905451386375154,-0.0,1.0,-1.8596249909505538,-1.6096430898429017,0.0
2018-12-17,-0.5417537286548023,-2.1902874846890987,-0.0,1.0,-1.8326968801786871,-1.6403919590748615,0.0
