Date,ARGX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7863321268633826,-1.8347340653947612,-0.04269676706950494,-1.246426599595117,-1.2244034108336912,0.0
2018-09-25,1.0,-0.7891252375406118,-1.830748482805125,-0.04799852878072703,-1.2429350824495802,-1.2192729724759395,0.0
2018-09-26,1.0,-0.7954349698535745,-1.841146794635167,-0.05469422911283377,-1.2468315491571307,-1.2142857142857142,0.0
2018-09-27,1.0,-0.8002981551649172,-1.8691844213926332,-0.05404062364121995,-1.2605130753462948,-1.2274675445679857,0.0
2018-09-28,1.0,-0.8003726708074534,-1.868385093167702,-0.05496894409937888,-1.2601863354037266,-1.2272670807453414,0.0
2018-10-01,1.0,-0.8020503261882572,-1.8669773221497357,-0.0552345448897173,-1.261323392357875,-1.2275240757999377,0.0
2018-10-02,1.0,-0.8023104155021428,-1.8620582572511026,-0.057760387553568104,-1.2611017949195704,-1.2275635053723373,0.0
2018-10-03,1.0,-0.8010919468916741,-1.848182156595111,-0.05639657525747612,-1.2643007817347065,-1.2342722422136743,0.0
2018-10-04,1.0,-0.8091129182444596,-1.8374200757340615,-0.05816624247315165,-1.27481532062822,-1.2282574958097958,0.0
2018-10-05,1.0,-0.786422719152344,-1.8238772870079467,-0.03418961374976899,-1.2798004065791904,-1.2360623421425492,0.0
2018-10-08,1.0,-0.7829590895109196,-1.8187634573977238,-0.024915410642879113,-1.2888957243924946,-1.2364195632113195,0.0
2018-10-09,1.0,-0.7906273153865152,-1.8253272412941468,-0.034576438626821436,-1.2897629044208447,-1.2340701407755001,0.0
2018-10-10,1.0,-0.7908011869436202,-1.8290059347181011,-0.032826409495548964,-1.2915430267062316,-1.2376978239366965,0.0
2018-10-11,1.0,-0.6872659176029963,-1.7555009363295881,-0.0,-1.2107326779026217,-1.1985603932584268,0.0
2018-10-12,1.0,-0.9656789597100831,-2.175229162225538,-0.0,-1.5067149861436795,-1.4581823349676686,0.0
2018-10-15,1.0,-0.9071565359245337,-2.232285977728917,-0.0,-1.4945740832683168,-1.4587559401375982,0.0
2018-10-16,1.0,-0.8975672215108833,-2.259282970550576,-0.0,-1.4962299046806087,-1.460378432209418,0.0
2018-10-17,1.0,-0.8367918088737202,-2.12839590443686,-0.0,-1.435972696245734,-1.4248464163822527,0.0
2018-10-18,1.0,-0.8355173355173354,-2.126126126126126,-0.0,-1.4383019383019382,-1.425061425061425,0.0
2018-10-19,1.0,-0.8312342569269522,-2.2284994602374955,-0.0,-1.5819359481827997,-1.5550917596257647,0.0
2018-10-22,1.0,-0.833033465275279,-2.2273479668945666,-0.0,-1.5815041381792012,-1.5549478229578986,0.0
2018-10-23,1.0,-0.8474649718330204,-2.2366026289180994,-0.0,-1.5806731185902065,-1.5575617506861186,0.0
2018-10-24,1.0,-0.8418738738738738,-2.2276036036036038,-0.0,-1.5792432432432433,-1.5585585585585584,0.0
2018-10-25,1.0,-0.7342034805890227,-2.0392904953145914,-0.0,-1.5052878179384204,-1.4146586345381527,0.0
2018-10-26,1.0,-0.6932916042999048,-2.067492175806232,-0.0,-1.5951149816301537,-1.4477479929242074,0.0
2018-10-29,1.0,-0.644652604622953,-2.078981063413977,-0.0,-1.566143271109913,-1.4491542556776065,0.0
2018-10-30,1.0,-0.6231971963876533,-2.0804016713842834,-0.0,-1.5680684728400052,-1.4677180212966705,0.0
2018-10-31,1.0,-0.6306012384313204,-2.022637991876956,-0.0,-1.5562287768826155,-1.4486983154670752,0.0
2018-11-01,1.0,-0.653910708291373,-2.0249748237663647,-0.0,-1.5720040281973817,-1.4627727425310506,0.0
2018-11-02,1.0,-0.7654093157156566,-2.2509780763268616,-0.0,-1.7204547132206391,-1.6448660219974902,0.0
2018-11-05,1.0,-0.7587402271721493,-2.2670010326006786,-0.0,-1.7197964301519397,-1.6301076854993362,0.0
2018-11-06,1.0,-0.7603037676030378,-2.2666814126668138,-0.0,-1.7179827471798275,-1.6280321462803216,0.0
2018-11-07,1.0,-0.7582449941107186,-2.2641342756183747,-0.0,-1.7141489988221439,-1.6251472320376916,0.0
2018-11-08,1.0,-0.6824467695909856,-2.283236994219653,-0.0,-1.7002268237360063,-1.6509841223384794,0.0
2018-11-09,1.0,-0.6819278870767206,-2.2817962407664742,-0.0,-1.7000658231551233,-1.6498939515834128,0.0
2018-11-12,1.0,-0.676135951880571,-2.2379157909993475,-0.0,-1.6994709761576925,-1.633451699398507,0.0
2018-11-13,1.0,-0.6216869182121794,-2.2085553897534287,-0.0,-1.6738435301641441,-1.601790662971648,0.0
