Date,ARCC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13127062865525294,-0.3312165839911984,-0.0,-0.23102163716728752,-0.23665772356154333,0.0
2018-09-25,1.0,-0.13326900810497877,-0.3305287533770745,-0.0,-0.23054805094558087,-0.23539174064067928,0.0
2018-09-26,1.0,-0.13279802347127856,-0.3302385731933292,-0.0,-0.23069796170475604,-0.23644996911673874,0.0
2018-09-27,1.0,-0.1339621549678838,-0.3276816542252571,-0.0,-0.23081226009297304,-0.23642536118665974,0.0
2018-09-28,1.0,-0.13357254470744834,-0.3281632810540734,-0.0,-0.23085826726083686,-0.23651060053629647,0.0
2018-10-01,1.0,-0.13592214224905194,-0.3280125377292779,-0.0,-0.23332172432474269,-0.23759770915563813,0.0
2018-10-02,1.0,-0.1369582043343653,-0.3243034055727554,-0.0,-0.23471362229102166,-0.2390092879256966,0.0
2018-10-03,1.0,-0.13774323590976045,-0.32826188076595086,-0.0,-0.23439801535002716,-0.2377316071013257,0.0
2018-10-04,1.0,-0.13815024420497712,-0.32775796573377786,-0.0,-0.23478564229785256,-0.2374602682378479,0.0
2018-10-05,1.0,-0.14187376035468438,-0.33308054291603467,-0.0,-0.23404503558511255,-0.23554233267218916,0.0
2018-10-08,1.0,-0.14108141702921068,-0.3320385332504661,-0.0,-0.23407395898073338,-0.23500621504039776,0.0
2018-10-09,1.0,-0.1441432682585362,-0.333242591584351,-0.0,-0.2336664851831687,-0.23341370459671776,0.0
2018-10-10,1.0,-0.14723866645894998,-0.3330347406138028,-0.0,-0.23619333229474995,-0.23087708365789064,0.0
2018-10-11,1.0,-0.12638732890403395,-0.32475394543966185,-0.0,-0.2243522625597289,-0.22823583163585826,0.0
2018-10-12,1.0,-0.125151171579743,-0.3219765684051399,-0.0,-0.2193877551020408,-0.2231292517006803,0.0
2018-10-15,1.0,-0.11421195447350568,-0.3310281148714856,-0.0,-0.21645812919273383,-0.2226577221677847,0.0
2018-10-16,1.0,-0.11318586071751584,-0.3326236056677721,-0.0,-0.2161214953271028,-0.22232062104311126,0.0
2018-10-17,1.0,-0.10648527767424526,-0.31943719716735003,-0.0,-0.21358553857622067,-0.22405888930301904,0.0
2018-10-18,1.0,-0.10661100031685089,-0.31990755409762733,-0.0,-0.21324063892047043,-0.22406948353307365,0.0
2018-10-19,1.0,-0.10236264245344205,-0.3163902529417215,-0.0,-0.21187806911887336,-0.2224219401463912,0.0
2018-10-22,1.0,-0.10269959580227685,-0.31748062446694103,-0.0,-0.2116846516112285,-0.22225312418882337,0.0
2018-10-23,1.0,-0.10320344073263875,-0.3174335397278558,-0.0,-0.21122687330836823,-0.22199770123465942,0.0
2018-10-24,1.0,-0.10274759909525752,-0.3185509288442286,-0.0,-0.2110942192888131,-0.22158774889688163,0.0
2018-10-25,1.0,-0.08899017852298009,-0.29871398339573496,-0.0,-0.21308806771935537,-0.20793314884149983,0.0
2018-10-26,1.0,-0.08243238389425668,-0.29361373513882405,-0.0,-0.21531195000179593,-0.20453647498293884,0.0
2018-10-29,1.0,-0.07374383532270745,-0.29667286112500896,-0.0,-0.21024229862054178,-0.20620398827817882,0.0
2018-10-30,1.0,-0.06223041540636802,-0.2983015051992913,-0.0,-0.2121955148282713,-0.21704580029710238,0.0
2018-10-31,1.0,-0.06476356582249194,-0.2886686006157789,-0.0,-0.2114114862339604,-0.21486411931160904,0.0
2018-11-01,1.0,-0.1136691740749183,-0.2918661195957754,-0.0,-0.24884127345946358,-0.2451941341843325,0.0
2018-11-02,1.0,-0.11581595022410501,-0.2809917355371901,-0.0,-0.25147039355485373,-0.24292225353178135,0.0
