Date,IWF,IWM,MTUM,SMOG,SPY,VLUE,VXX
2018-09-24,-0.19303812568592832,-0.4485374815097581,-0.09292837715321849,1.0,-0.3266688934484897,-0.3246886481843775,0.0
2018-09-25,-0.19246012797249548,-0.44967051857511225,-0.09163403686371883,1.0,-0.32769076496991695,-0.3260911087766212,0.0
2018-09-26,-0.19207433594496462,-0.44945537932352375,-0.09022071469520351,1.0,-0.3284444869099943,-0.3285161475253201,0.0
2018-09-27,-0.19297156635710364,-0.4467495881777162,-0.09098288251724877,1.0,-0.328335760498484,-0.328335760498484,0.0
2018-09-28,-0.19135522388059703,-0.4484298507462687,-0.09136716417910448,1.0,-0.3283820895522388,-0.32852537313432834,0.0
2018-10-01,-0.19378991938377627,-0.4476951414970218,-0.0907590364327919,1.0,-0.330598282419922,-0.32933043083032315,0.0
2018-10-02,-0.19513303981623276,-0.4371171516079633,-0.09451569678407351,1.0,-0.3335327335375191,-0.33255168453292494,0.0
2018-10-03,-0.1951050289487535,-0.4358581750322982,-0.09443035551940283,1.0,-0.33386764916981676,-0.333221685248098,0.0
2018-10-04,-0.19623553046972161,-0.43363149335119106,-0.09470965273127332,1.0,-0.33523868745814595,-0.33181861666507223,0.0
2018-10-05,-0.19929030401841372,-0.43895655509734344,-0.09508967104632204,1.0,-0.3344921837537163,-0.32984079792845494,0.0
2018-10-08,-0.20106864349667855,-0.4431741600077019,-0.09641860017329353,1.0,-0.33448060075093866,-0.33173678636757487,0.0
2018-10-09,-0.20036583311271028,-0.4433560374497581,-0.09470745384967147,1.0,-0.335363065296397,-0.3329803364701918,0.0
2018-10-10,-0.2007554796333277,-0.44272550104660396,-0.09530110915958906,1.0,-0.335514760724683,-0.33168924283617646,0.0
2018-10-11,-0.18529139904723532,-0.4409736212167895,-0.07742990543455075,1.0,-0.33095537174412815,-0.3354110871471571,0.0
2018-10-12,-0.18618823529411765,-0.4383294117647059,-0.07607058823529411,1.0,-0.3243058823529412,-0.3280470588235294,0.0
2018-10-15,-0.1811112416304476,-0.44574180664865504,-0.06937624809115471,1.0,-0.3241395512745214,-0.3290027017502643,0.0
2018-10-16,-0.17955288088577542,-0.45332518394884697,-0.06389430875196878,1.0,-0.3248313312489715,-0.3292037894637862,0.0
2018-10-17,-0.17825219941348974,-0.45093255131964805,-0.06285043988269795,1.0,-0.3244340175953079,-0.3295483870967742,0.0
2018-10-18,-0.1770476413987327,-0.4491903309082375,-0.06390518657592115,1.0,-0.3267542830321521,-0.32996949072987564,0.0
2018-10-19,-0.17501815541031226,-0.44943425398833364,-0.061400426359313136,1.0,-0.32700822264389623,-0.32977253027853914,0.0
