Date,IWF,IWM,MTUM,SPY,ULH,VLUE,VXX
2018-09-24,-0.3240461004811458,-0.932527693856999,-0.0,-0.6849427473798068,1.0,-0.7882958487188094,0.0
2018-09-25,-0.328125,-0.9311605011933174,-0.0,-0.6840319212410502,1.0,-0.7857622315035799,0.0
2018-09-26,-0.3317277174115978,-0.9352526044583848,-0.0,-0.6851872596243606,1.0,-0.7818229341697472,0.0
2018-09-27,-0.33483791546984004,-0.9283769164770397,-0.0,-0.6854552915283322,1.0,-0.7816988100123102,0.0
2018-09-28,-0.3326490239259453,-0.9316561531857713,-0.0,-0.685976633944235,1.0,-0.7823149565152477,0.0
2018-10-01,-0.3328854050018663,-0.931578947368421,-0.0,-0.6859649122807017,1.0,-0.7822695035460993,0.0
2018-10-02,-0.3329225483605945,-0.935133318395698,-0.0,-0.6851519904399133,1.0,-0.7812383299723653,0.0
2018-10-03,-0.3337942374528196,-0.937927426286483,-0.0,-0.685003176501364,1.0,-0.7803355880264584,0.0
2018-10-04,-0.33419292147849167,-0.9378854131629107,-0.0,-0.6849048847030684,1.0,-0.7803565422132527,0.0
2018-10-05,-0.320851634035584,-0.9324797141368273,-0.0,-0.6852155140326063,1.0,-0.7835926449787836,0.0
2018-10-08,-0.31683389074693424,-0.9280564845782237,-0.0,-0.6886659234485322,1.0,-0.7825343738387216,0.0
2018-10-09,-0.3173034041920618,-0.9284599375650364,-0.0,-0.6884941281403301,1.0,-0.7821094098409396,0.0
2018-10-10,-0.3169199895945594,-0.9286484075959717,-0.0,-0.6885057044111635,1.0,-0.7821546694414508,0.0
2018-10-11,-0.25896112334404214,-0.9101902321048262,-0.0,-0.6603977908529762,1.0,-0.7801682128289354,0.0
2018-10-12,-0.25529029725582564,-0.9027941333904294,-0.0,-0.6447204082360918,1.0,-0.7657281518752453,0.0
2018-10-15,-0.22288770053475937,-0.9347950089126559,-0.0,-0.6392513368983956,1.0,-0.7681283422459892,0.0
2018-10-16,-0.21650367620815192,-0.9473552716111072,-0.0,-0.6383039474623456,1.0,-0.7670069241202085,0.0
2018-10-17,-0.20154057191094227,-0.918574795118005,-0.0,-0.6300165312510991,1.0,-0.7671907424993845,0.0
2018-10-18,-0.20178741071742723,-0.919883184968861,-0.0,-0.6294641286372752,1.0,-0.7674254952323986,0.0
2018-10-19,-0.23967127381397085,-1.0053044452745612,-0.0,-0.675831154277176,1.0,-0.8147553231228988,0.0
2018-10-22,-0.24156252338546735,-1.011599191798249,-0.0,-0.674848462171668,1.0,-0.8136645962732919,0.0
2018-10-23,-0.24714558454684984,-1.0126530153857671,-0.0,-0.6715082544079662,1.0,-0.8121513869651481,0.0
2018-10-24,-0.24481778043852429,-1.012908777969019,-0.0,-0.6712564543889845,1.0,-0.8127291775798847,0.0
2018-10-25,-0.20619863137695066,-0.9629240740070243,-0.0,-0.6727615047612151,1.0,-0.7788478945653354,0.0
2018-10-26,-0.19055123750850675,-0.9480640424083957,-0.0,-0.6748809054765572,1.0,-0.7683298112396576,0.0
2018-10-29,-0.21107456140350878,-0.9601973684210526,-0.0,-0.7049342105263158,1.0,-0.7788011695906432,0.0
2018-10-30,-0.27491864073261185,-0.9993566941648376,-0.0,-0.7411261636267312,1.0,-0.7687504730189965,0.0
2018-10-31,-0.2766405779650813,-0.9857390126429861,-0.0,-0.7369807344972908,1.0,-0.7634331727874774,0.0
2018-11-01,-0.26350589826433235,-0.9948531069201291,-0.0,-0.7355548876699977,1.0,-0.7629048012623036,0.0
2018-11-02,-0.26991001754844485,-0.9621401635365716,-0.0,-0.7447261322480677,1.0,-0.756935369450771,0.0
2018-11-05,-0.2663755458515284,-0.9717463516590154,-0.0,-0.745306609935431,1.0,-0.7488896353525174,0.0
2018-11-06,-0.28327760453845285,-0.9924860051846565,-0.0,-0.742570537626329,1.0,-0.7386632603223503,0.0
2018-11-07,-0.28229413312286245,-0.9947382267824258,-0.0,-0.7417972713947458,1.0,-0.7395422257300711,0.0
2018-11-08,-0.263420817178646,-0.9925067104085895,-0.0,-0.7321428571428572,1.0,-0.7399716671637341,0.0
2018-11-09,-0.26386040788934045,-0.9924313038290893,-0.0,-0.7320383281756832,1.0,-0.7400917191752732,0.0
2018-11-12,-0.2627493221409204,-0.980982802808008,-0.0,-0.7339078111651747,1.0,-0.7366563904468298,0.0
2018-11-13,-0.23808997864663872,-0.9775421544805243,-0.0,-0.7338561225241147,1.0,-0.7321257639349091,0.0
2018-11-14,-0.2368692829743287,-0.9808571850103275,-0.0,-0.7359102980230156,1.0,-0.7347300088521687,0.0
2018-11-15,-0.23576636959563965,-0.9812550637106873,-0.0,-0.7373499300287251,1.0,-0.72832731825882,0.0
2018-11-16,-0.2291589887226358,-0.9698533205572344,-0.0,-0.741984226431783,1.0,-0.7444165991007592,0.0
2018-11-19,-0.23311458486948827,-0.9691417195103967,-0.0,-0.7404143931573515,1.0,-0.7441380327385342,0.0
2018-11-20,-0.20652612282309807,-0.963409715857012,-0.0,-0.7412282309807516,1.0,-0.7551237396883593,0.0
2018-11-21,-0.20771470160116448,-0.957896652110626,-0.0,-0.7365356622998545,1.0,-0.7368631732168851,0.0
2018-11-23,-0.20747206193849974,-0.9702724417500549,-0.0,-0.7357022861733985,1.0,-0.7385508728361697,0.0
2018-11-26,-0.20715589631252282,-0.9712668857247171,-0.0,-0.7348302300109529,1.0,-0.7376779846659366,0.0
2018-11-27,-0.19164323021293694,-0.9873625771576757,-0.0,-0.7362577157675592,1.0,-0.7371708243544324,0.0
2018-11-28,-0.1892277836769067,-1.0034418366226063,-0.0,-0.7329281241990406,1.0,-0.7359305774230164,0.0
2018-11-29,-0.17657526784092972,-0.9931360087161794,-0.0,-0.7272199019429817,1.0,-0.7348102415108045,0.0
2018-11-30,-0.17504377006127808,-0.9975926466297053,-0.0,-0.7303034724248614,1.0,-0.7446016924423693,0.0
2018-12-03,-0.17285750738162065,-0.9981409251631247,-0.0,-0.7301425290708271,1.0,-0.7441038165712828,0.0
2018-12-04,-0.16575790621592149,-1.0009087604507452,-0.0,-0.7262813522355507,1.0,-0.7420937840785169,0.0
2018-12-06,-0.16114414153132253,-0.9987311484918795,-0.0,-0.7255655452436196,1.0,-0.739849187935035,0.0
2018-12-07,-0.16656995720606368,-0.9986581562341337,-0.0,-0.7257924131428157,1.0,-0.7355842460288678,0.0
