Date,IWF,IWM,MTUM,SPY,TGTX,VLUE,VXX
2018-09-24,-1.2374380480365994,-2.2830346930995047,-0.3338924895158216,-1.4496378192908885,1.0,-1.3207777354174612,0.0
2018-09-25,-1.25162673199112,-2.286151726249713,-0.3483120263339202,-1.4517339049222997,1.0,-1.3173849804792161,0.0
2018-09-26,-2.0847190192984586,-2.8425779827648983,-1.452967593154509,-2.3825707003277095,1.0,-2.374438645466683,0.0
2018-09-27,-2.096130445363835,-2.83791676807009,-1.4616695059625213,-2.3909710391822827,1.0,-2.3817230469700656,0.0
2018-09-28,-2.1277093596059116,-2.8724137931034486,-1.4762315270935962,-2.424753694581281,1.0,-2.414039408866995,0.0
2018-10-01,-2.130391915208282,-2.8735518856297757,-1.4769534138526004,-2.4275326596006903,1.0,-2.415947744638896,0.0
2018-10-02,-2.130391915208282,-2.8736751294059646,-1.4770766576287897,-2.4274094158245005,1.0,-2.415824500862706,0.0
2018-10-03,-2.129481335468769,-2.8618947887150425,-1.4754219539238635,-2.4308241961315757,1.0,-2.4222003203153872,0.0
2018-10-04,-2.1371484953132707,-2.8569314257523435,-1.4782930439072521,-2.440305870744943,1.0,-2.42081894425259,0.0
2018-10-05,-2.111247544204322,-2.8412328094302555,-1.4483055009823183,-2.4463408644400784,1.0,-2.431851669941061,0.0
2018-10-08,-2.1153514711313557,-2.845992859780869,-1.4450326234149944,-2.4628831712421517,1.0,-2.441462513849563,0.0
2018-10-09,-2.1147359349993846,-2.8473470392712055,-1.4424473716607165,-2.4637449218269114,1.0,-2.4424473716607165,0.0
2018-10-10,-2.1477003614608003,-2.881590427520878,-1.4666583572229839,-2.500934812414309,1.0,-2.46728156549919,0.0
2018-10-11,-2.005778954972309,-2.8576932338068866,-1.2646279797736577,-2.443895978810499,1.0,-2.4672525884902483,0.0
2018-10-12,-2.028471888515137,-2.8662902450744836,-1.2538443056222972,-2.424675636713119,1.0,-2.4402931283037,0.0
2018-10-15,-1.9887694145758663,-2.9078853046594983,-1.1974910394265232,-2.413978494623656,1.0,-2.4393070489844684,0.0
2018-10-16,-1.9835302542069457,-2.9147869674185465,-1.188327962764053,-2.411266260890321,1.0,-2.436686955483948,0.0
2018-10-17,-1.9085012740328933,-2.800555941626129,-1.1140838545286078,-2.3573083159601573,1.0,-2.401783646050498,0.0
2018-10-18,-1.9074803149606296,-2.7992125984251968,-1.1138258452987493,-2.3576887447892543,1.0,-2.40145900880037,0.0
2018-10-19,-1.8752150475972016,-2.771762816836793,-1.075582062163092,-2.352678059410483,1.0,-2.3938525060213327,0.0
2018-10-22,-1.8738687134837895,-2.7658380112269447,-1.0706839271394202,-2.352388589758277,1.0,-2.3934013059915222,0.0
2018-10-23,-1.8766368022053757,-2.7763611302549966,-1.0663909947162877,-2.3633126579370547,1.0,-2.403514817367333,0.0
2018-10-24,-1.8873385608856088,-2.782864391143911,-1.057541512915129,-2.38030442804428,1.0,-2.4233164206642064,0.0
2018-10-25,-1.770713970912296,-2.639158219479947,-0.9722344645218158,-2.325473776994271,1.0,-2.3105993829881006,0.0
2018-10-26,-1.7404087878456662,-2.621707290414253,-0.923707509017379,-2.342441796917696,1.0,-2.301890917040114,0.0
2018-10-29,-1.7042620106279147,-2.6312764342262227,-0.8851534540722265,-2.3212232946535085,1.0,-2.3027871163648195,0.0
2018-10-30,-1.7260798250410059,-2.6582832148715143,-0.8904319300164024,-2.344231820667031,1.0,-2.3160196828868234,0.0
2018-10-31,-1.711864406779661,-2.603692108388211,-0.8764978948504804,-2.318255424808377,1.0,-2.285112814422973,0.0
2018-11-01,-1.686968686107823,-2.625739804153664,-0.8475196384375336,-2.315613902937695,1.0,-2.2849456580221674,0.0
2018-11-02,-1.6724431214118647,-2.57761003614714,-0.8267063576440569,-2.2975760153093767,1.0,-2.2570699553476503,0.0
