Date,IWF,IWM,MTUM,ROAD,SPY,VLUE,VXX
2019-01-02,-0.0,-0.9369086769542121,-0.0,1.0,-1.553351884644574,-1.5691879585125221,0.0
2019-01-03,-0.0,-0.9666250130167656,-0.0,1.0,-1.5430073935228574,-1.6970217640320733,0.0
2019-01-04,-0.0,-0.9998964374482187,-0.0,1.0,-1.4481151615575807,-1.7301159900579948,0.0
2019-01-07,-0.0,-0.9256571602557595,-0.0,1.0,-1.4697046584796507,-1.6792347508373082,0.0
2019-01-08,-0.0,-0.8988934364104896,-0.0,1.0,-1.4849679147087058,-1.6688898994492445,0.0
2019-01-09,-0.0,-0.9408080496945429,-0.0,1.0,-1.5167616407413111,-1.6761640741311157,0.0
2019-01-10,-0.0,-0.9310256278568128,-0.0,1.0,-1.5321246982692207,-1.6726927225104,0.0
2019-01-11,-0.0,-0.9269608094920129,-0.0,1.0,-1.5341825466125636,-1.6751759206944372,0.0
2019-01-14,-0.0,-0.924008350730689,-0.0,1.0,-1.5403444676409186,-1.754801670146138,0.0
2019-01-15,-0.0,-0.9106145251396648,-0.0,1.0,-1.546702866391688,-1.7638490053777476,0.0
2019-01-16,-0.0,-0.915174063247409,-0.0,1.0,-1.5132606962529893,-1.8864735583311185,0.0
2019-01-17,-0.0,-0.9266602707600468,-0.0,1.0,-1.5144973883381303,-1.8887645240379491,0.0
2019-01-18,-0.0,-0.9200255918106205,-0.0,1.0,-1.5214331413947537,-1.890168479419919,0.0
2019-01-22,-0.0,-0.923737802291048,-0.0,1.0,-1.5102885023334747,-1.8692723801442512,0.0
2019-01-23,-0.0,-0.9210667813743414,-0.0,1.0,-1.5740402193784278,-1.8818152489515,0.0
2019-01-24,-0.0,-0.9265497201894103,-0.0,1.0,-1.5690916917778734,-1.8853852776582007,0.0
2019-01-25,-0.0,-0.9243801430645942,-0.0,1.0,-1.5746248588178344,-1.8793632012047545,0.0
2019-01-28,-0.0,-0.9103189493433396,-0.0,1.0,-1.5774859287054408,-1.8726882873224338,0.0
2019-01-29,-0.0,-0.9107324653056852,-0.0,1.0,-1.564432299201629,-1.8830305952955047,0.0
2019-01-30,-0.0,-0.910031079198371,-0.0,1.0,-1.563765941485371,-1.8847390419033327,0.0
2019-01-31,-0.0,-0.9089502880307233,-0.0,1.0,-1.5133347557072756,-1.9116172391721782,0.0
2019-02-01,-0.0,-0.9044090206322974,-0.0,1.0,-1.5062643279842194,-1.920669616676441,0.0
