Date,IWF,IWM,MTUM,OGIG,SPY,VLUE,VXX
2019-02-01,-0.5801605534188585,-0.323249270798379,-0.5613949046230092,1.0,-0.11643994734260861,-0.0,0.0
2019-02-04,-0.5807217719035572,-0.3231194176261036,-0.560509060870463,1.0,-0.1170943259848211,-0.0,0.0
2019-02-05,-0.5843880766647724,-0.3255411479051506,-0.5556646174510513,1.0,-0.11747688174820478,-0.0,0.0
2019-02-06,-0.5884541836787431,-0.3243061656933175,-0.5522507623132978,1.0,-0.11907592123623961,-0.0,0.0
2019-02-07,-0.5891504923371153,-0.324296384358928,-0.5511074354534412,1.0,-0.11989248701315483,-0.0,0.0
2019-02-08,-0.5919865580974537,-0.3241308000516996,-0.5491017190125371,1.0,-0.1197621817241825,-0.0,0.0
2019-02-11,-0.5912252126476899,-0.3241552263502158,-0.5501434887148065,1.0,-0.11985832105276764,-0.0,0.0
2019-02-12,-0.5905153466242598,-0.3253432627414475,-0.5498151164895405,1.0,-0.12010963721459415,-0.0,0.0
2019-02-13,-0.5898284060367996,-0.32476224932809594,-0.5513489766384122,1.0,-0.11828095927227619,-0.0,0.0
2019-02-14,-0.587906976744186,-0.3242894056847545,-0.554470284237726,1.0,-0.11731266149870802,-0.0,0.0
2019-02-15,-0.5878249186088574,-0.32525450881091417,-0.5545966616712315,1.0,-0.1161438685339259,-0.0,0.0
2019-02-19,-0.6104940339664459,-0.3065226915444682,-0.5498801639048527,1.0,-0.11022343633224237,-0.0,0.0
2019-02-20,-0.608420998349835,-0.3081167491749175,-0.5496338696369637,1.0,-0.11221122112211221,-0.0,0.0
2019-02-21,-0.6090285655357327,-0.3055842012993709,-0.5512014024956172,1.0,-0.11227699288439723,-0.0,0.0
2019-02-22,-0.6082540664552883,-0.3053901477070606,-0.5527028072074859,1.0,-0.1114634083468667,-0.0,0.0
2019-02-25,-0.6136181437327058,-0.31112777677209136,-0.5482686389614421,1.0,-0.11303628229330989,-0.0,0.0
2019-02-26,-0.6185713915589295,-0.3120449775889318,-0.5392128921936938,1.0,-0.12104567712516517,-0.0,0.0
2019-02-27,-0.6204368215146255,-0.30559369899214966,-0.5410524134000052,1.0,-0.12381791330932457,-0.0,0.0
2019-02-28,-0.6206628488507684,-0.3067554611178772,-0.5397113316576404,1.0,-0.12417403021429867,-0.0,0.0
2019-03-01,-0.6202902306296968,-0.30673749676081885,-0.5399067115833117,1.0,-0.12441046903342834,-0.0,0.0
2019-03-04,-0.6161814979799026,-0.3011240029006526,-0.5457888739252046,1.0,-0.1267740598777582,-0.0,0.0
2019-03-05,-0.6183757475341083,-0.298910088797991,-0.5443601625805784,1.0,-0.12724260232479873,-0.0,0.0
2019-03-06,-0.6199289732223864,-0.29299841874692173,-0.5467247323534749,1.0,-0.13259195893926434,-0.0,0.0
2019-03-07,-0.6235239279055313,-0.28503729024238655,-0.5488916511290657,1.0,-0.13217319245908432,-0.0,0.0
2019-03-08,-0.6289247841530764,-0.28564391091290936,-0.5440379579455003,1.0,-0.1341232596126423,-0.0,0.0
2019-03-11,-0.6291581321786928,-0.2861106069641422,-0.5436490445694729,1.0,-0.1338380564702222,-0.0,0.0
2019-03-12,-0.6319190346438303,-0.2878422213572077,-0.5414039185156351,1.0,-0.1338782924613987,-0.0,0.0
2019-03-13,-0.6317797269943426,-0.2879275445061504,-0.54134011522292,1.0,-0.1340634245082265,-0.0,0.0
2019-03-14,-0.6310218694061795,-0.288764365579682,-0.5418579915427919,1.0,-0.13259138194930864,-0.0,0.0
2019-03-15,-0.6307269236756083,-0.2874228194884034,-0.5426762828827894,1.0,-0.13350282779017278,-0.0,0.0
2019-03-18,-0.6316308266971025,-0.2891234987419263,-0.5407641825114783,1.0,-0.13244792612383596,-0.0,0.0
2019-03-19,-0.6315830436361749,-0.2896539199916982,-0.5400560369428734,1.0,-0.13303585326622736,-0.0,0.0
2019-03-20,-0.6299371983183683,-0.29246898842580576,-0.5389007110603623,1.0,-0.13380391342710335,-0.0,0.0
2019-03-21,-0.6404316584087784,-0.2848322913694259,-0.5358634465226076,1.0,-0.13297361799268465,-0.0,0.0
2019-03-22,-0.6349716299194238,-0.28261263828794986,-0.5403528771666192,1.0,-0.13293779309272744,-0.0,0.0
2019-03-25,-0.6314279807742003,-0.26905783244612125,-0.55338777197788,1.0,-0.13023928885213706,-0.0,0.0
2019-03-26,-0.6310308292632504,-0.26952993772127043,-0.5535054396981678,1.0,-0.13008760369020855,-0.0,0.0
2019-03-27,-0.6391491778311262,-0.2636103151862464,-0.5523632515036526,1.0,-0.1262293812437079,-0.0,0.0
2019-03-28,-0.639949372320091,-0.262824817895335,-0.551790050111071,1.0,-0.12848065299374903,-0.0,0.0
