Date,IWF,IWM,LSXMK,MTUM,SPY,VLUE,VXX
2018-09-24,-0.32226781051846326,-0.5373261576170938,1.0,-0.12940267490808335,-0.3793893536526882,-0.29586508232535835,0.0
2018-09-25,-0.35822842408615196,-0.6789625360230548,1.0,-0.08766873957227361,-0.49576823904140754,-0.412892461701805,0.0
2018-09-26,-0.35962116382843096,-0.6809337340254379,1.0,-0.0902164344473788,-0.4955529247488086,-0.40925234495947543,0.0
2018-09-27,-0.3702663083312973,-0.6716039579770339,1.0,-0.09458221353530417,-0.5026569753237233,-0.41491570974835085,0.0
2018-09-28,-0.3692472133150099,-0.6722247671400213,1.0,-0.09497633226446785,-0.5024889296075736,-0.414933577645442,0.0
2018-10-01,-0.36897088920792986,-0.6728472370712039,1.0,-0.0952744600910285,-0.5023673519259554,-0.415187708097871,0.0
2018-10-02,-0.3688203622124327,-0.6822381302006854,1.0,-0.09287812041116006,-0.5013154674498287,-0.4139745472344591,0.0
2018-10-03,-0.3684210526315789,-0.6746995320957828,1.0,-0.09183767087678522,-0.5042050215602923,-0.41903422123000705,0.0
2018-10-04,-0.36749203236087274,-0.6795170384898259,1.0,-0.09187300809021819,-0.5031257661191468,-0.42246874233880854,0.0
2018-10-05,-0.3583264670877964,-0.6742653117275474,1.0,-0.0820592633281455,-0.5085904360828832,-0.42845372150508104,0.0
2018-10-08,-0.35743020846031937,-0.6727416798732171,1.0,-0.08070218212848958,-0.5091125198098256,-0.42770937461904174,0.0
2018-10-09,-0.3553799688825162,-0.674425699380701,1.0,-0.07422435095640502,-0.5134079746178956,-0.433295707617682,0.0
2018-10-10,-0.35563953667004644,-0.6845484990936185,1.0,-0.06943804344486434,-0.5181429932098197,-0.4447107260269764,0.0
2018-10-11,-0.326691436447534,-0.6798106310301433,1.0,-0.0314316533828729,-0.5085096182657158,-0.449901120632828,0.0
2018-10-12,-0.3364712847838958,-0.6747779751332149,1.0,-0.028922439313203076,-0.49135583185316756,-0.4288040260509177,0.0
2018-10-15,-0.33228886458364126,-0.681161133938337,1.0,-0.022259008542966096,-0.4912353306334802,-0.4290992935055722,0.0
2018-10-16,-0.3296984103402169,-0.705422671222701,1.0,-0.006834051403951864,-0.4964492645966424,-0.43289258653989,0.0
2018-10-17,-0.32183874284035835,-0.6863562931414304,1.0,-0.0015273902188280217,-0.49293582023792043,-0.434630635923043,0.0
2018-10-18,-0.321799917758327,-0.6864242495447336,1.0,-0.0013804852258708807,-0.49298008576631613,-0.4346178699406685,0.0
2018-10-19,-0.31127179427371854,-0.6779404046883201,1.0,-0.0,-0.4937605691293953,-0.43264913406029504,0.0
2018-10-22,-0.31212236200706384,-0.6818938089261216,1.0,-0.0,-0.49286318923494554,-0.43206164803409325,0.0
2018-10-23,-0.31233764338460634,-0.6818540030938969,1.0,-0.0,-0.49263010420011094,-0.4319196754327077,0.0
2018-10-24,-0.3120687638872646,-0.6861770553151678,1.0,-0.0,-0.4936557127821307,-0.4317038942813706,0.0
2018-10-25,-0.3028116159575082,-0.6727094278621326,1.0,-0.0,-0.4907915247387564,-0.42035679233300616,0.0
2018-10-26,-0.29729031517308685,-0.6662552385326368,1.0,-0.0,-0.490642401974855,-0.4162121821000057,0.0
