Date,IWF,IWM,LIT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.27093725387240747,-0.4173798897348385,1.0,-0.11310055132580729,-0.4132318193751641,-0.41073772643738515,0.0
2018-09-25,-0.27232881026744704,-0.416104564184667,1.0,-0.1153513031154038,-0.4120101834597517,-0.4088081677646256,0.0
2018-09-26,-0.2719563105521569,-0.41586368052091266,1.0,-0.1140021529655788,-0.41268674350828366,-0.4110326358074934,0.0
2018-09-27,-0.2726867160027292,-0.41355692017005197,1.0,-0.11468010287093897,-0.4125334592977484,-0.4108276911772424,0.0
2018-09-28,-0.2723264663429996,-0.41385644928487075,1.0,-0.11491930192888074,-0.41243931242619075,-0.41078598609106415,0.0
2018-10-01,-0.2749809406135808,-0.413128631141723,1.0,-0.11427745208864587,-0.4148636925260917,-0.411656457845895,0.0
2018-10-02,-0.2765621712602567,-0.40064169997896065,1.0,-0.11876709446665264,-0.4183936461182411,-0.4155270355564906,0.0
2018-10-03,-0.2762763552237237,-0.39560439560439564,1.0,-0.11806614438193386,-0.42023765707976235,-0.41876544508123453,0.0
2018-10-04,-0.27736458962970745,-0.3934193582297443,1.0,-0.11839373472444877,-0.4215132322409398,-0.4173346298389004,0.0
2018-10-05,-0.27262244817736314,-0.3897376765638512,1.0,-0.11339395686469772,-0.42419874734662866,-0.42066091878718,0.0
2018-10-08,-0.2731302956375751,-0.39104430628787284,1.0,-0.11374308124131058,-0.42404448991369587,-0.42126387030770446,0.0
2018-10-09,-0.27303727408650946,-0.3910237914120085,1.0,-0.11347480523568448,-0.4241533982110537,-0.4213729244812843,0.0
2018-10-10,-0.27227931488801055,-0.3973913043478261,1.0,-0.10961791831357048,-0.42640316205533596,-0.4293807641633729,0.0
2018-10-11,-0.2571970484306797,-0.39297963001455,1.0,-0.08984618582415298,-0.42314487632508835,-0.4350446892537934,0.0
2018-10-12,-0.2593815283831532,-0.38820828927346346,1.0,-0.08789621643927474,-0.4162432620638073,-0.4274108271219663,0.0
2018-10-15,-0.26292413365697465,-0.38328254919175747,1.0,-0.09125652016732945,-0.4173423539740743,-0.42741310747301553,0.0
2018-10-16,-0.2607560244079015,-0.3951029061950564,1.0,-0.08294549591477919,-0.4187351328989555,-0.42804323094425484,0.0
2018-10-17,-0.2536484202980184,-0.3775922986328025,1.0,-0.07632239233959752,-0.41868503251574585,-0.43404680219161246,0.0
2018-10-18,-0.2552487887410598,-0.3806813812197185,1.0,-0.07480325053192853,-0.41790356071675766,-0.4348483683252583,0.0
2018-10-19,-0.251973331289754,-0.37683602830357377,1.0,-0.07083556849822464,-0.41926584412598666,-0.43553784453470257,0.0
2018-10-22,-0.2543308293729879,-0.37160815575655376,1.0,-0.06448975420307629,-0.424600132863202,-0.44000715417241554,0.0
2018-10-23,-0.2565996268942782,-0.37139352431575984,1.0,-0.06928011039840536,-0.4204594822519231,-0.43773478827528045,0.0
2018-10-24,-0.2562549515704465,-0.37192363720003063,1.0,-0.06884919113700835,-0.4207620946101357,-0.43785938817756653,0.0
2018-10-25,-0.2443673305169986,-0.3532488432910883,1.0,-0.06716455441561055,-0.42325487829410585,-0.4265741299537317,0.0
2018-10-26,-0.24328395681647,-0.35194576952046197,1.0,-0.06640723073060507,-0.4235500878734622,-0.42545819733868945,0.0
2018-10-29,-0.23658524376814496,-0.3558414255681249,1.0,-0.060441485634197614,-0.4206126739413354,-0.42929722694964456,0.0
2018-10-30,-0.23460373864517903,-0.35604714596731807,1.0,-0.059157678736768346,-0.42103550962188135,-0.43157078151197414,0.0
2018-10-31,-0.23489865793617076,-0.35358508484742457,1.0,-0.05950566066028541,-0.4204383575338015,-0.43076000299902534,0.0
2018-11-01,-0.2370329615365378,-0.35132296303706295,1.0,-0.06162156754864202,-0.4202971039863952,-0.43060071024858704,0.0
2018-11-02,-0.233596927818903,-0.3732346327783533,1.0,-0.06285844218185493,-0.41936787852757634,-0.43738157196634747,0.0
2018-11-05,-0.22782533812876754,-0.3949901220809483,1.0,-0.06134441011093662,-0.4241679752798744,-0.4244719112506965,0.0
2018-11-06,-0.23117639609978474,-0.3973914144611878,1.0,-0.059820184880334304,-0.42254020514119284,-0.42165379257946056,0.0
2018-11-07,-0.23141416955849947,-0.3975024696674181,1.0,-0.05947465741280175,-0.42280706198231977,-0.4217938650928342,0.0
2018-11-08,-0.22115287715408646,-0.4004333366925325,1.0,-0.048624407941146836,-0.42109241156908195,-0.4280963418321072,0.0
2018-11-09,-0.2224379665120032,-0.40127597337099047,1.0,-0.047836392979624776,-0.42114686302198906,-0.4290145249142626,0.0
2018-11-12,-0.22232562819126192,-0.3940941217898735,1.0,-0.04756395100233921,-0.423673818447066,-0.4276479613652942,0.0
2018-11-13,-0.21823924596410307,-0.3929860623683947,1.0,-0.04216384237441091,-0.4254737792038504,-0.42790534442996087,0.0
2018-11-14,-0.21918323347288723,-0.3923888791396124,1.0,-0.04214194389430669,-0.4257063350798465,-0.4275614831156459,0.0
2018-11-15,-0.22013382452447186,-0.3949076510538055,1.0,-0.039771445755958194,-0.43102022404330503,-0.42024409192291307,0.0
2018-11-16,-0.22040314897457755,-0.3955773955773956,1.0,-0.04023968309682595,-0.431028431028431,-0.4198967056109913,0.0
2018-11-19,-0.22056501140550974,-0.3947810392800742,1.0,-0.04253879126663825,-0.4296493119093575,-0.41917128318251323,0.0
2018-11-20,-0.20325812657721812,-0.3933987956924769,1.0,-0.022437098668265747,-0.44022187242335664,-0.4392474327261825,0.0
2018-11-21,-0.20239613816562868,-0.39471248843200524,1.0,-0.01953427878242165,-0.4421600260123559,-0.4423601210575023,0.0
2018-11-23,-0.202204503986603,-0.3907370841560649,1.0,-0.02097028168662051,-0.4431752855607488,-0.44237546552025797,0.0
2018-11-26,-0.20221461244282252,-0.390581648211563,1.0,-0.02097133001724698,-0.4432974229509836,-0.44249756292648784,0.0
