Date,IWF,IWM,MTUM,SPY,UVSP,VLUE,VXX
2018-09-24,-0.09464678562698606,-0.6996333414813003,-0.0,-0.31698851136641404,1.0,-0.3331214861891958,0.0
2018-09-25,-0.09290193004800627,-0.701871264818262,-0.0,-0.3187763299696287,1.0,-0.3357744685020084,0.0
2018-09-26,-0.09311780553514572,-0.7021307861866275,-0.0,-0.3187362233651727,1.0,-0.3351947097722263,0.0
2018-09-27,-0.09194724821336477,-0.7078268130356835,-0.0,-0.31975244971634864,1.0,-0.3363049190795452,0.0
2018-09-28,-0.09237835580772726,-0.7075381327831405,-0.0,-0.3198732591555523,1.0,-0.3364036057279002,0.0
2018-10-01,-0.09307981428255582,-0.7067826172402781,-0.0,-0.3202888938020488,1.0,-0.3364286240695703,0.0
2018-10-02,-0.0925370197274561,-0.7133861366655188,-0.0,-0.31893540611009985,1.0,-0.33492399271904366,0.0
2018-10-03,-0.09230163998918146,-0.710063681738831,-0.0,-0.319785596616754,1.0,-0.3366280642226648,0.0
2018-10-04,-0.09236710697857477,-0.7106732590460728,-0.0,-0.31953361375544237,1.0,-0.3372690822325536,0.0
2018-10-05,-0.07731504164625183,-0.7057079862812347,-0.0,-0.32324840764331214,1.0,-0.3435080842724155,0.0
2018-10-08,-0.07557968887584386,-0.7040407005185403,-0.0,-0.3236963115155073,1.0,-0.3426279229038255,0.0
2018-10-09,-0.06994532839736203,-0.705288190443502,-0.0,-0.32763735320797277,1.0,-0.34877050185098923,0.0
2018-10-10,-0.06990196078431372,-0.7052205882352941,-0.0,-0.3276470588235294,1.0,-0.34821078431372554,0.0
2018-10-11,-0.022242905897233958,-0.7027755900813824,-0.0,-0.30984940693539537,1.0,-0.3516861172764373,0.0
2018-10-12,-0.015306487375724197,-0.7078654364256252,-0.0,-0.3093722432825501,1.0,-0.35164389767064824,0.0
2018-10-15,-0.0,-0.7538379967705396,-0.0,-0.30113513122695396,1.0,-0.3550719398452751,0.0
2018-10-16,-0.0,-0.7619334909986003,-0.0,-0.2984700033785414,1.0,-0.3528645204884405,0.0
2018-10-17,-0.0,-0.7336810268867139,-0.0,-0.290871853492415,1.0,-0.35690981400776356,0.0
2018-10-18,-0.0,-0.732753899273723,-0.0,-0.29160614358852244,1.0,-0.3568520061912132,0.0
2018-10-19,-0.0,-0.7313712469762368,-0.0,-0.2868424797229996,1.0,-0.3533652705971636,0.0
2018-10-22,-0.0,-0.7390663273799615,-0.0,-0.2863326119527218,1.0,-0.35277890080620233,0.0
2018-10-23,-0.0,-0.7432406519654842,-0.0,-0.2947507190795781,1.0,-0.3589165867689358,0.0
2018-10-24,-0.0,-0.7430247874506049,-0.0,-0.293521733924081,1.0,-0.3583762423661837,0.0
2018-10-25,-0.0,-0.7402826434069733,-0.0,-0.2894830914420533,1.0,-0.3533995853292343,0.0
2018-10-26,-0.0,-0.8091025641025641,-0.0,-0.3405641025641025,1.0,-0.4144358974358974,0.0
2018-10-29,-0.0,-0.8160793232986635,-0.0,-0.3238864327515269,1.0,-0.41555288645830674,0.0
2018-10-30,-0.0,-0.816250417963425,-0.0,-0.3211245145194063,1.0,-0.4347076828107718,0.0
