Date,IWF,IWM,MTUM,PLSE,SPY,VLUE,VXX
2018-09-24,-1.674249706290719,-3.06087792374239,-0.4953540531880807,1.0,-2.3197693047100287,-2.1299797073587525,0.0
2018-09-25,-1.6881225232944204,-3.063724965192246,-0.5100139231016387,1.0,-2.321730748634465,-2.126593124129806,0.0
2018-09-26,-1.6879820051413883,-3.063838903170523,-0.5092116538131962,1.0,-2.3223007712082264,-2.127784918594687,0.0
2018-09-27,-1.7137774902975422,-3.055735230702889,-0.5213454075032342,1.0,-2.34368262181975,-2.1458602846054333,0.0
2018-09-28,-1.7098898725977114,-3.0660764413733537,-0.5239689052040596,1.0,-2.3470092852515654,-2.149859641546102,0.0
2018-10-01,-1.7103530173809778,-3.064449962215265,-0.5246680341142178,1.0,-2.3467559106121123,-2.14951959408399,0.0
2018-10-02,-1.713745815786632,-3.041248245329878,-0.5341755749919015,1.0,-2.352661699600475,-2.1561386459345644,0.0
2018-10-03,-1.714609898422304,-3.0192349254376483,-0.5314458612491896,1.0,-2.3652474605575966,-2.1754916792738275,0.0
2018-10-04,-1.7243839169909208,-3.004647643752702,-0.5342628620838737,1.0,-2.3774319066147855,-2.167639429312581,0.0
2018-10-05,-1.6879957127545553,-2.9797427652733117,-0.49346195069667736,1.0,-2.381993569131833,-2.17491961414791,0.0
2018-10-08,-1.6784037558685445,-2.9648954332052924,-0.48271446862996165,1.0,-2.3784677763551003,-2.165492957746479,0.0
2018-10-09,-1.6774778619438815,-2.9655393150538782,-0.47999573242291693,1.0,-2.3793876026885736,-2.166542195668409,0.0
2018-10-10,-1.6802611860415329,-2.980732177263969,-0.47452365660458146,1.0,-2.3886748019695996,-2.180154142581888,0.0
2018-10-11,-1.5130291482129983,-2.9735297146977033,-0.23565763724379443,1.0,-2.3482335976928623,-2.2291688124420643,0.0
2018-10-12,-1.5130399758332496,-2.929513644144598,-0.20813613936159503,1.0,-2.2746953982479106,-2.1440942503272584,0.0
2018-10-15,-1.4681110772047608,-3.0814769606347268,-0.11575628115145967,1.0,-2.3097345132743365,-2.1969280846302515,0.0
