Date,ASG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5417065772669221,-0.932471264367816,-0.05104565772669221,-0.7692768199233716,-0.6965996168582376,0.0
2018-09-25,1.0,-0.5434817296952289,-0.9303893409925004,-0.05425243338120312,-0.7673528003829583,-0.6936732088718685,0.0
2018-09-26,1.0,-0.5438589492999321,-0.9308309066975148,-0.055087957238023046,-0.7670828513303282,-0.6921696118712354,0.0
2018-09-27,1.0,-0.5518206163315879,-0.9197809664654861,-0.05943482952955753,-0.7709340900915304,-0.6949918062272672,0.0
2018-09-28,1.0,-0.5489380424783008,-0.9234830606775729,-0.06027758889644414,-0.7713691452341905,-0.6957721691132354,0.0
2018-10-01,1.0,-0.5496619864794592,-0.9225969038761551,-0.060402416096643874,-0.7717508700348014,-0.6957478299131966,0.0
2018-10-02,1.0,-0.5542410266693403,-0.8994986966111891,-0.0698616402646882,-0.78115099258071,-0.7056747543613395,0.0
2018-10-03,1.0,-0.5536229560756654,-0.8929945495351074,-0.06925296569413274,-0.7827428663033024,-0.7090012824623277,0.0
2018-10-04,1.0,-0.5543539213330129,-0.8904109589041096,-0.06997516622606745,-0.7833453496755588,-0.7074020668108627,0.0
2018-10-05,1.0,-0.5492631494868007,-0.8878948839809896,-0.06050561124645553,-0.7863333200207676,-0.7097727545029753,0.0
2018-10-08,1.0,-0.5486690346011094,-0.8870175998722912,-0.05942451211238376,-0.7864868100730334,-0.7093027896396216,0.0
2018-10-09,1.0,-0.5462360408130473,-0.8969631236442516,-0.04294207439543665,-0.8024825259098578,-0.7283682815136178,0.0
2018-10-10,1.0,-0.5486359435895376,-0.8954960022499899,-0.04524086946040419,-0.8041303387038451,-0.7243762304632568,0.0
2018-10-11,1.0,-0.5057475743288001,-0.879008689553053,-0.0,-0.7856836690955851,-0.7262595955266336,0.0
2018-10-12,1.0,-0.5133297480024586,-0.8672787338660111,-0.0,-0.7622541487400123,-0.6985633066994469,0.0
2018-10-15,1.0,-0.4825708478736051,-0.896613874295356,-0.0,-0.7563753499252215,-0.6992368754074472,0.0
2018-10-16,1.0,-0.4877645883753986,-0.8920133686758096,-0.0,-0.7595174983673313,-0.7022780530905459,0.0
2018-10-17,1.0,-0.46167779916223256,-0.8443337484433374,-0.0,-0.7542926148156535,-0.7134231480433224,0.0
2018-10-18,1.0,-0.46167490659319926,-0.844737140053591,-0.0,-0.754160848397932,-0.7134392572744085,0.0
2018-10-19,1.0,-0.4398233762312715,-0.8354908102804092,-0.0,-0.7724270672151564,-0.7262708985922935,0.0
2018-10-22,1.0,-0.44336901237379484,-0.8537159341076443,-0.0,-0.7721096181583541,-0.7264859940787974,0.0
