Date,FLIR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.4971896437264881,-0.0,-0.0,-0.0,-1.3031644169063952,-0.0,-0.44018588183226376,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.105333038282806,-0.0798849302943129,-0.0
2019-01-03,1.0,-0.0,-0.5186227518578779,-0.0,-0.0,-0.0,-1.2699529484191547,-0.033991469152631806,-0.4474737258695748,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0915087287278484,-0.03583835363440482,-0.0
2019-01-04,1.0,-0.0,-0.537066969551352,-0.0,-0.0,-0.0,-1.2638591586212922,-0.03538508584159713,-0.41518500720807305,-0.0027958586343977986,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.096806605216024,-0.01743043117382377,-0.0
2019-01-07,1.0,-0.0,-0.47894340254521095,-0.0,-0.0,-0.0,-1.3288680509042197,-0.0,-0.34435699933020764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0087491627595444,-0.025326523777628934,-0.0
2019-01-08,1.0,-0.0,-0.44426236396487245,-0.0,-0.0,-0.0,-1.3427875120803396,-0.0,-0.36068742384133784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0209252489600402,-0.033236690617252825,-0.0
2019-01-09,1.0,-0.0,-0.4220814404201225,-0.0,-0.0,-0.0,-1.3490184637185847,-0.0,-0.3583961988913433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9956654024090359,-0.04272079356478973,-0.0
2019-01-10,1.0,-0.0,-0.433641975308642,-0.0,-0.0,-0.0,-1.342926259592926,-0.006339673006339673,-0.34939105772439105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9937020353687019,-0.044753086419753084,-0.0
2019-01-11,1.0,-0.0,-0.42201834862385323,-0.0,-0.0,-0.0,-1.3197784940904207,-0.02111744772295231,-0.3330853789569386,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9683031655508719,-0.06822877923795355,-0.0
2019-01-14,1.0,-0.0,-0.4185258634936374,-0.0,-0.0,-0.0,-1.3167658238307718,-0.03296975706494794,-0.3270533796066766,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9665344571145266,-0.06969922326888117,-0.0
2019-01-15,1.0,-0.0,-0.37513270722743974,-0.0,-0.026133115557370357,-0.0,-1.3784401796651693,-0.05912617394855043,-0.3164556962025316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8846467946100449,-0.04340547162106983,-0.0
2019-01-16,1.0,-0.0,-0.33081909732131937,-0.0,-0.04696864679740694,-0.0,-1.3574835895135975,-0.08578301463693074,-0.3819056549924573,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.874179475679863,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.3256439517443756,-0.0,-0.04727746984023475,-0.0,-1.3624877730681448,-0.0878301271600913,-0.38115422236713403,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8712504075643951,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.3258198388802995,-0.0,-0.04499959313206933,-0.0,-1.3654080885344617,-0.08955163154040198,-0.37444055659532915,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8684595980144845,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.3508963619440735,-0.0,-0.0,-0.0,-1.365141030310388,-0.07701023835538828,-0.3719396220306746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8817530654364453,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.34978775015160707,-0.0,-0.0,-0.0,-1.3731554477461088,-0.06715180917727916,-0.37117444916110776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8815847988680009,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.35253335483090814,-0.0,-0.0,-0.0,-1.3508807287677858,-0.06691120158007174,-0.383933250030231,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8765367406989398,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.3739335337612741,-0.0,-0.0,-0.0,-1.3035670756480051,-0.1146908263589827,-0.35695132851222877,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.913626391484521,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.37745499181669395,-0.0,-0.0,-0.0,-1.3226268412438624,-0.09844517184942717,-0.3972585924713584,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8958674304418985,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.37209207077326345,-0.0,-0.0,-0.0,-1.336377785058978,-0.0907192005242464,-0.4045707732634339,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8919151376146789,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.38072624554795925,-0.0,-0.0,-0.0,-1.335980677119581,-0.09776067466328243,-0.38801326401113523,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8913906742538994,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.3818868544215453,-0.0,-0.0,-0.0,-1.3510961491091222,-0.09015518515477462,-0.38923556942277693,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8930536168815174,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.3538041484983088,-0.0,-0.0,-0.0,-1.3573495252455274,-0.06418354456171808,-0.43995272831003707,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8598557398426994,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.35718654434250763,-0.0,-0.0,-0.0,-1.3528236493374108,-0.06262996941896025,-0.44016309887869526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8646687054026504,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.34589529435730293,-0.0,-0.0,-0.0,-1.3452026889386839,-0.07080871867997555,-0.4464860460378896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8657567732735791,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.345774590497922,-0.0,-0.0,-0.0,-1.3456930975470622,-0.0703284165919648,-0.4470295819411621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8658626028848504,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.34123938602220766,-0.0,-0.0,-0.0,-1.338504245591117,-0.09715871979098628,-0.43427498367080336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8711218158066623,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.3405584129316679,-0.0,-0.0,-0.0,-1.3388031676055188,-0.09780390235937626,-0.4344028083925218,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8703567638174544,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.33826948965854853,-0.0,-0.0,-0.0,-1.332109492922123,-0.10455676579773998,-0.4342185778974422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8703137110920737,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.32857084540964204,-0.0,-0.0,-0.0,-1.338612891374454,-0.10956443646160755,-0.43527778911703474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8701473649834673,-0.0,-0.0
