Date,BGS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6678582434514637,-1.8873343605546995,-0.0,-1.324684129429892,-1.2834514637904468,0.0
2018-09-25,1.0,-0.6675920784749213,-1.8894441359738414,-0.0,-1.326546980072799,-1.2858905546301438,0.0
2018-09-26,1.0,-0.6668312858818446,-1.8896228162232236,-0.0,-1.3276745478115934,-1.2891536514599666,0.0
2018-09-27,1.0,-0.670138033029332,-1.8781119053487798,-0.0,-1.3264111412373674,-1.2875277298496424,0.0
2018-09-28,1.0,-0.6682141751779636,-1.8935314144227793,-0.0,-1.3335809346951408,-1.294707520891365,0.0
2018-10-01,1.0,-0.6714586689800471,-1.8927996034204984,-0.0,-1.3362870244144256,-1.2960094187631677,0.0
2018-10-02,1.0,-0.6725724232251646,-1.913278627377844,-0.0,-1.3356956359567325,-1.2950391644908616,0.0
2018-10-03,1.0,-0.671055900621118,-1.8988198757763974,-0.0,-1.3391304347826087,-1.3022360248447205,0.0
2018-10-04,1.0,-0.6800298340481074,-1.8884330909316924,-0.0,-1.350363602461309,-1.2966001616010938,0.0
2018-10-05,1.0,-0.6418547140649149,-1.8719010819165378,-0.0,-1.3587017001545594,-1.3099227202472952,0.0
2018-10-08,1.0,-0.6363523880227666,-1.868349418460777,-0.0,-1.3702053947042812,-1.311680277159119,0.0
2018-10-09,1.0,-0.6292622442653442,-1.8716676999380037,-0.0,-1.3771233725976442,-1.3216367017978923,0.0
2018-10-10,1.0,-0.6286778398510242,-1.8750465549348232,-0.0,-1.3785226567349473,-1.3250775915580384,0.0
2018-10-11,1.0,-0.45383544227159894,-1.8849670036931645,-0.0,-1.3444935520978385,-1.3711933159774776,0.0
2018-10-12,1.0,-0.45571649056155766,-1.8654279947762078,-0.0,-1.2969250860738455,-1.3180576991570698,0.0
2018-10-15,1.0,-0.40490288962576976,-1.9111795357650403,-0.0,-1.28671245855045,-1.318569398389389,0.0
2018-10-16,1.0,-0.3946819292911226,-1.9505753293984383,-0.0,-1.2927323674953795,-1.3240326715554762,0.0
2018-10-17,1.0,-0.343854780899526,-1.854491848768644,-0.0,-1.2630361891548156,-1.319632327436698,0.0
2018-10-18,1.0,-0.34254494999132795,-1.852344337168295,-0.0,-1.2661155113603515,-1.3203445684222697,0.0
