Date,IWF,IWM,MTUM,SPY,UDR,VLUE,VXX
2018-09-24,-0.2772503772941921,-0.39462538337958225,-0.0,-0.43802638625188645,1.0,-0.3242539311620661,0.0
2018-09-25,-0.2738728578783496,-0.40224080021574443,-0.0,-0.4437225722621296,1.0,-0.3318051435436024,0.0
2018-09-26,-0.2749497327252219,-0.4032661468294836,-0.0,-0.4437742141140699,1.0,-0.33004757000637536,0.0
2018-09-27,-0.2737150020894275,-0.4087165998869251,-0.0,-0.44465475283301786,1.0,-0.3310636415034045,0.0
2018-09-28,-0.2749274435535442,-0.40828373259875056,-0.0,-0.4449308869103252,1.0,-0.3313984947611786,0.0
2018-10-01,-0.27451270663705896,-0.4132247717739946,-0.0,-0.44599062422896624,1.0,-0.3335800641500123,0.0
2018-10-02,-0.27319715105351666,-0.42462162429518246,-0.0,-0.443812444356514,1.0,-0.3314126026313186,0.0
2018-10-03,-0.2726014190007664,-0.4189266025561791,-0.0,-0.44565029294702235,1.0,-0.3349237348891251,0.0
2018-10-04,-0.2780804278922346,-0.41330725039619653,-0.0,-0.4531745245641839,1.0,-0.3316412440570523,0.0
2018-10-05,-0.2673733514113152,-0.40591643042031306,-0.0,-0.45662516948107973,1.0,-0.33526439048440776,0.0
2018-10-08,-0.26528854435831184,-0.40314999384766825,-0.0,-0.4582010582010582,1.0,-0.33429309708379473,0.0
2018-10-09,-0.25959095058347514,-0.40443589174253075,-0.0,-0.4624133422149853,1.0,-0.3407100387338711,0.0
2018-10-10,-0.2639177296548996,-0.4044546623158311,-0.0,-0.4661327004845249,1.0,-0.3375605656086226,0.0
2018-10-11,-0.22602327206148062,-0.392107735671782,-0.0,-0.45301019056108316,1.0,-0.33797489701028693,0.0
2018-10-12,-0.22141213515804772,-0.39658471599854667,-0.0,-0.4608453433450406,1.0,-0.3433208186992855,0.0
2018-10-15,-0.19891107078039927,-0.41877797943133693,-0.0,-0.4576406533575318,1.0,-0.34451300665456747,0.0
2018-10-16,-0.19494007989347537,-0.4257838034136303,-0.0,-0.45672436750998674,1.0,-0.34359036436266793,0.0
2018-10-17,-0.18812973802897995,-0.41241243642644665,-0.0,-0.45401113136935034,1.0,-0.3444487093369159,0.0
2018-10-18,-0.18802475651297798,-0.41234467207215847,-0.0,-0.4540853044187497,1.0,-0.34440819459770666,0.0
