Date,CYTK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1473159571860445,-2.410899583299289,-0.18931285235721873,-1.765013481493586,-1.6580602990440396,0.0
2018-09-25,1.0,-1.1856929212362912,-2.442921236291127,-0.21660019940179462,-1.7904619474908607,-1.6726487205051512,0.0
2018-09-26,1.0,-1.189485942438862,-2.4481783397105312,-0.2222591914822825,-1.7912992846448181,-1.6668607552819832,0.0
2018-09-27,1.0,-1.2031510503501168,-2.431643881293765,-0.23016005335111703,-1.7986828942980992,-1.6724741580526843,0.0
2018-09-28,1.0,-1.2227543903873626,-2.4439963028316947,-0.23224939080749518,-1.8158137971599024,-1.6878413578690865,0.0
2018-10-01,1.0,-1.2229877331540917,-2.4428667450848596,-0.2329860527642413,-1.8154931944211057,-1.687531507309696,0.0
2018-10-02,1.0,-1.2445339963988682,-2.5577467203978395,-0.21975478007373747,-1.8419789076566921,-1.7101088913658578,0.0
2018-10-03,1.0,-1.2428265524625268,-2.5412419700214133,-0.21798715203426122,-1.8454817987152035,-1.7177730192719485,0.0
2018-10-04,1.0,-1.2430555555555556,-2.544753086419753,-0.2195644718792867,-1.8452503429355283,-1.7207647462277094,0.0
2018-10-05,1.0,-1.212637315847739,-2.5292514689602315,-0.18385421101933067,-1.85574384739845,-1.7342246444690452,0.0
2018-10-08,1.0,-1.2088892665930142,-2.5251975864706386,-0.17872014957083368,-1.8545933542959123,-1.7308574827908558,0.0
2018-10-09,1.0,-1.2219185102929873,-2.5390791833945507,-0.19244896215939183,-1.8588024258990348,-1.7296489279918,0.0
2018-10-10,1.0,-1.2230406852248394,-2.5500642398286937,-0.18749464668094218,-1.8647537473233402,-1.7398715203426123,0.0
2018-10-11,1.0,-1.0814833086663378,-2.5415227758592334,-0.0,-1.824699884887354,-1.7745436605821412,0.0
2018-10-12,1.0,-1.0950992304576752,-2.52620494127177,-0.0,-1.7695423248278654,-1.709680032401782,0.0
2018-10-15,1.0,-1.048129635601419,-2.5581264108352144,-0.0,-1.7533053853595615,-1.7022734601741374,0.0
2018-10-16,1.0,-1.041193067311568,-2.569205965336558,-0.0,-1.750826279725917,-1.7000403063280936,0.0
2018-10-17,1.0,-1.0210592985511835,-2.500514606919484,-0.0,-1.7178370675322618,-1.6776977278125245,0.0
2018-10-18,1.0,-1.0240438025710206,-2.510474527852722,-0.0,-1.718933502618632,-1.6817171877479766,0.0
2018-10-19,1.0,-0.9885472230938185,-2.4860370254157513,-0.0,-1.7052871038594288,-1.6644963915908375,0.0
2018-10-22,1.0,-0.998262654979073,-2.518202637605623,-0.0,-1.7103372028745163,-1.6702203269367448,0.0
2018-10-23,1.0,-0.9987366758784049,-2.517962889853928,-0.0,-1.709435452033162,-1.6696407422029214,0.0
2018-10-24,1.0,-0.9971537001897534,-2.5117014547754586,-0.0,-1.7165559772296013,-1.680977229601518,0.0
2018-10-25,1.0,-0.9018856584779505,-2.369468860341071,-0.0,-1.6713244684847117,-1.5699045901885658,0.0
2018-10-26,1.0,-0.8801067694817232,-2.334766812486098,-0.0,-1.6553718395491956,-1.5443019203677617,0.0
2018-10-29,1.0,-0.8481366917071733,-2.3409191338930624,-0.0,-1.635734276034762,-1.5400648107232286,0.0
2018-10-30,1.0,-0.8412219359587781,-2.340301803459698,-0.0,-1.6351858667648143,-1.5443503864556496,0.0
2018-10-31,1.0,-0.8559706959706959,-2.291282051282051,-0.0,-1.6397802197802196,-1.538974358974359,0.0
