Date,IWF,IWM,MTUM,SF,SPY,VLUE,VXX
2018-09-24,-0.28984700973574407,-0.551784886416319,-0.23409055787358987,1.0,-0.48811621078658624,-0.5268737443980838,0.0
2018-09-25,-0.28862883502058756,-0.5549363796786476,-0.2309216432927773,1.0,-0.4908516764186867,-0.530540850128479,0.0
2018-09-26,-0.28880564670918213,-0.5551668627329577,-0.23144077766082596,1.0,-0.49068169153612784,-0.5296885641755928,0.0
2018-09-27,-0.2873566809334875,-0.5772439001530819,-0.22687369177418854,1.0,-0.4969539816926489,-0.5356930863194727,0.0
2018-09-28,-0.2866291783817557,-0.577788191190253,-0.22714776632302405,1.0,-0.49681349578256795,-0.535613870665417,0.0
2018-10-01,-0.29034379109524705,-0.5771494771119043,-0.22625086104327136,1.0,-0.500313106644123,-0.5370092053353372,0.0
2018-10-02,-0.2908487523872139,-0.5737140352524968,-0.22757584296045835,1.0,-0.5009235778466548,-0.5377101530947684,0.0
2018-10-03,-0.2907042253521127,-0.5713302034428795,-0.22735524256651016,1.0,-0.5015649452269171,-0.5389358372456964,0.0
2018-10-04,-0.28897541369673757,-0.5800232360975917,-0.22699155336452412,1.0,-0.49938769742832917,-0.544666687600088,0.0
2018-10-05,-0.2739566990900534,-0.5733291496705366,-0.21295889551302166,1.0,-0.5144022591779103,-0.563100094132413,0.0
2018-10-08,-0.2729694993887339,-0.5719883389235446,-0.2116548070593398,1.0,-0.5152503056330522,-0.562803673866023,0.0
2018-10-09,-0.27196639603774175,-0.5722704617410113,-0.2092724366007335,1.0,-0.5165355318015109,-0.5646531456694147,0.0
2018-10-10,-0.27201780229423933,-0.5719613865730584,-0.20945903591800916,1.0,-0.5166426377483858,-0.5641258697423682,0.0
2018-10-11,-0.23999015929638967,-0.570637800602743,-0.17230456977673902,1.0,-0.5120548619226274,-0.5802324866227935,0.0
2018-10-12,-0.24300347539784162,-0.565544783854643,-0.17130053045546004,1.0,-0.5003963172977258,-0.5683190049387233,0.0
2018-10-15,-0.21851624770079706,-0.6228694052728387,-0.1304414469650521,1.0,-0.5095340282035561,-0.5842734518700184,0.0
2018-10-16,-0.21598305292889597,-0.6372958369151418,-0.12037946702689427,1.0,-0.5112980474026771,-0.5851344713250645,0.0
2018-10-17,-0.20801898272085664,-0.619524215137503,-0.11383548308590898,1.0,-0.5103431491847165,-0.5903504502311998,0.0
2018-10-18,-0.20744616133349555,-0.6187492395668572,-0.11418664071054872,1.0,-0.5109806545808493,-0.5903698746806181,0.0
2018-10-19,-0.2012063896214119,-0.6158649328604772,-0.10930253705556062,1.0,-0.5126852778030373,-0.5920705646994635,0.0
2018-10-22,-0.20343709271663685,-0.6107659200436456,-0.10387051798866427,1.0,-0.5171703088533931,-0.5957324280908072,0.0
2018-10-23,-0.20191460264397507,-0.6141923719799423,-0.09718887707035405,1.0,-0.5248442485944385,-0.6009724965810668,0.0
2018-10-24,-0.20049316569758593,-0.6185880848732077,-0.0984809278821273,1.0,-0.5255867758531462,-0.6010533045145972,0.0
2018-10-25,-0.1886712992208886,-0.6043979183587522,-0.09647143759588485,1.0,-0.5263965346087899,-0.5922149023854646,0.0
2018-10-26,-0.17992769428426306,-0.5984642505004631,-0.08144850458633363,1.0,-0.5385281902656189,-0.5894708536257433,0.0
