Date,IQV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3905892028432121,-0.493126945896728,-0.17076895964283617,-0.5064031016859544,-0.37631439816718565,0.0
2018-09-25,1.0,-0.3934257681687327,-0.4913929851360085,-0.17490159215087245,-0.5046707008988897,-0.37315668879619296,0.0
2018-09-26,1.0,-0.3948675740027632,-0.4934007466415827,-0.17760663158823012,-0.5043652076780623,-0.36926423469237785,0.0
2018-09-27,1.0,-0.3966043943132417,-0.4884854893667019,-0.17900364234520033,-0.5042591939842556,-0.36902244154623426,0.0
2018-09-28,1.0,-0.39685663924794357,-0.488337250293772,-0.17917156286721506,-0.5042303172737955,-0.3691539365452409,0.0
2018-10-01,1.0,-0.3988531098367887,-0.4874577268048816,-0.17870901338038522,-0.505955006616674,-0.36976915159535356,0.0
2018-10-02,1.0,-0.3992061158482799,-0.4830932078800353,-0.18038812114084093,-0.5067333137312555,-0.3708909144369303,0.0
2018-10-03,1.0,-0.39880672466494244,-0.47760404420409125,-0.17963790265694804,-0.5086115683047261,-0.3743827886197978,0.0
2018-10-04,1.0,-0.4006462984723855,-0.4739424206815511,-0.18005287896592245,-0.5109283196239718,-0.372150411280846,0.0
2018-10-05,1.0,-0.4032291268417493,-0.4768696879687086,-0.17883716142693293,-0.5118077816663236,-0.37017322000999914,0.0
2018-10-08,1.0,-0.40200458526835575,-0.47454588207630355,-0.17429898301099286,-0.5175768620304508,-0.3708482746458174,0.0
2018-10-09,1.0,-0.40413578068008005,-0.47502647370278855,-0.17831509589363456,-0.5160312977997412,-0.3680138839863514,0.0
2018-10-10,1.0,-0.40604865993939576,-0.4736547909740814,-0.1803418551969639,-0.5172839869377188,-0.3645670912888706,0.0
2018-10-11,1.0,-0.3856075251752893,-0.46732261880716736,-0.15197506997143434,-0.5123640245837782,-0.36817958853911187,0.0
2018-10-12,1.0,-0.39708737864077664,-0.4610793832095945,-0.15151342090234152,-0.49774414620217017,-0.34808680753854937,0.0
2018-10-15,1.0,-0.39268911636394743,-0.4677368766217102,-0.1446494254512275,-0.4979327649625046,-0.3483504890080123,0.0
2018-10-16,1.0,-0.39213617700729936,-0.46980497262773724,-0.14310561131386862,-0.4979470802919708,-0.3482835310218978,0.0
2018-10-17,1.0,-0.39043043156877244,-0.4653437197930289,-0.1416671405015068,-0.49724228123045433,-0.34832546767498723,0.0
2018-10-18,1.0,-0.39035137593813957,-0.4651751193995906,-0.14165908574027744,-0.49738458039572436,-0.3482772344780532,0.0
