Date,IWF,IWM,MTUM,NXPI,SPY,VLUE,VXX
2018-09-24,-0.7470391417494291,-1.3183918423708108,-0.0,1.0,-1.1438207021084497,-1.1017048170375485,0.0
2018-09-25,-0.7460883448642895,-1.3226716338477913,-0.0,1.0,-1.1472059606173497,-1.1060138371474189,0.0
2018-09-26,-0.7525052814040409,-1.3465142733329722,-0.0,1.0,-1.17295921131033,-1.1448458913384973,0.0
2018-09-27,-0.7541648636953701,-1.339517524881004,-0.0,1.0,-1.1717330160103852,-1.1434984855041108,0.0
2018-09-28,-0.7532987237724422,-1.339876703439325,-0.0,1.0,-1.1713173264114212,-1.1432511356262167,0.0
2018-10-01,-0.7537446601416751,-1.3392635051100417,-0.0,1.0,-1.1713080625101389,-1.1431352403612176,0.0
2018-10-02,-0.7553105237554727,-1.3324144640830224,-0.0,1.0,-1.1726933679260578,-1.1446948813577644,0.0
2018-10-03,-0.753984117551726,-1.3188914699367944,-0.0,1.0,-1.1768137863972774,-1.1525039165901356,0.0
2018-10-04,-0.7550877192982457,-1.3154116059379217,-0.0,1.0,-1.1772739541160595,-1.1503373819163294,0.0
2018-10-05,-0.74050190767908,-1.3066258262131227,-0.0,1.0,-1.1760975871889945,-1.1504648288462571,0.0
2018-10-08,-0.7350335570469798,-1.3008859060402684,-0.0,1.0,-1.1833020134228187,-1.1499060402684564,0.0
2018-10-09,-0.7373086220789686,-1.302283105022831,-0.0,1.0,-1.1834004834810636,-1.1490196078431372,0.0
2018-10-10,-0.7371361048447739,-1.3020195509721773,-0.0,1.0,-1.1834783542808034,-1.148458481039854,0.0
2018-10-11,-0.6122019994873109,-1.2522430146116381,-0.0,1.0,-1.121814919251474,-1.1405793386311203,0.0
2018-10-12,-0.6229516462461553,-1.2346089850249584,-0.0,1.0,-1.0851610951444561,-1.0993798215096053,0.0
2018-10-15,-0.5968065876682064,-1.2511046394858405,-0.0,1.0,-1.0768226551516369,-1.0964049005824463,0.0
2018-10-16,-0.5944982681592289,-1.254254304502786,-0.0,1.0,-1.0756990110938207,-1.0953767381155564,0.0
2018-10-17,-0.5633802816901409,-1.1884780907668233,-0.0,1.0,-1.0517410015649453,-1.0868544600938967,0.0
2018-10-18,-0.5641364459452846,-1.191014535310527,-0.0,1.0,-1.0513385210199186,-1.0876033866784123,0.0
2018-10-19,-0.5405418480890178,-1.1682148040638607,-0.0,1.0,-1.0474600870827286,-1.0817610062893082,0.0
2018-10-22,-0.5403810813424896,-1.1568817100299835,-0.0,1.0,-1.0524712254570074,-1.0863236289776574,0.0
2018-10-23,-0.5395965362101495,-1.1573702288229888,-0.0,1.0,-1.0536500411204102,-1.0871268927482947,0.0
2018-10-24,-0.5391785610253423,-1.1533644043110982,-0.0,1.0,-1.062481794348966,-1.0998155160695213,0.0
2018-10-25,-0.5031514076287409,-1.082123348428965,-0.0,1.0,-1.0357626406461553,-1.0477146458751576,0.0
2018-10-26,-0.4837804260801546,-1.0581143882574886,-0.0,1.0,-1.0299084341784384,-1.0294943173975062,0.0
2018-10-29,-0.4685711669642448,-1.058828915442018,-0.0,1.0,-1.021242503319141,-1.0295289108638923,0.0
2018-10-30,-0.45565217391304347,-1.0590846681922197,-0.0,1.0,-1.0218306636155605,-1.040091533180778,0.0
