Date,CPAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-07,1.0,-0.06176881040261891,-0.05172616175185528,-0.08588420956529678,-0.1048609027949865,-0.0,0.0
2020-05-08,1.0,-0.06040242183830053,-0.05010699932146771,-0.08998381961480242,-0.1043895819197244,-0.0,0.0
2020-05-11,1.0,-0.06036023111134298,-0.0494567840047996,-0.0901099474391246,-0.10431312195949029,-0.0,0.0
2020-05-12,1.0,-0.06027679584675789,-0.049906734669918996,-0.08939123175456216,-0.10482240454978281,-0.0,0.0
2020-05-13,1.0,-0.06122289407839866,-0.03694484987489575,-0.09470131359466222,-0.11030025020850709,-0.0,0.0
2020-05-14,1.0,-0.06212093604393888,-0.025769841476429706,-0.10268891376213655,-0.11092745399172241,-0.0,0.0
2020-05-15,1.0,-0.06164303293097386,-0.02877716577470474,-0.10406656510019922,-0.10764743414456293,-0.0,0.0
2020-05-18,1.0,-0.06198078074949869,-0.02799552071668533,-0.1035183207896039,-0.10862262038073907,-0.0,0.0
2020-05-19,1.0,-0.06401060346171838,-0.015944175892717915,-0.11309059722438795,-0.10641145589687614,-0.0,0.0
2020-05-20,1.0,-0.06290556331683879,-0.02177801569374992,-0.11066574401692106,-0.11028710945150214,-0.0,0.0
2020-05-21,1.0,-0.06523850778399097,-0.029180121288493344,-0.1058255230894437,-0.11240187970911762,-0.0,0.0
2020-05-22,1.0,-0.0650368095744262,-0.02960513365615527,-0.10550765717885123,-0.11213469285986116,-0.0,0.0
2020-05-26,1.0,-0.06509442628974893,-0.029528721603212724,-0.10543722193787156,-0.1123272569786212,-0.0,0.0
2020-05-27,1.0,-0.06572332410117743,-0.02848404499691532,-0.10663796385020281,-0.11178346875287137,-0.0,0.0
2020-05-28,1.0,-0.0672458594713772,-0.025998057691802936,-0.10769311530486364,-0.11143337095461824,-0.0,0.0
2020-05-29,1.0,-0.06562454883122679,-0.030069168274468115,-0.10640364347495111,-0.11038049113412345,-0.0,0.0
2020-06-01,1.0,-0.06820342205323193,-0.023130544993662867,-0.11756706801858893,-0.11133555133079848,-0.0,0.0
2020-06-02,1.0,-0.06839762807221438,-0.023600417332505712,-0.11763229836632813,-0.11102893593417769,-0.0,0.0
2020-06-03,1.0,-0.06842675260182789,-0.023561730677795975,-0.11788789687780654,-0.11084843362037086,-0.0,0.0
2020-06-04,1.0,-0.06848283967409247,-0.02254149774849129,-0.11925733225929985,-0.11025129742364018,-0.0,0.0
2020-06-05,1.0,-0.07577346269726451,-0.019736405505488233,-0.1244840263859947,-0.10728269381362568,-0.0,0.0
2020-06-08,1.0,-0.07777066325169414,-0.026119203884531244,-0.11781655194493357,-0.11226722159970119,-0.0,0.0
2020-06-09,1.0,-0.0802695669580303,-0.023019950623874026,-0.11927670647894843,-0.11192366717822114,-0.0,0.0
2020-06-10,1.0,-0.09318619723244001,-0.009094951291483083,-0.13468612312542946,-0.11041944567956129,-0.0,0.0
2020-06-11,1.0,-0.09310567878608197,-0.009594911462684957,-0.13426138048136269,-0.11063795380427459,-0.0,0.0
2020-06-12,1.0,-0.09335645068075211,-0.0008198594142709299,-0.14139214816606857,-0.10847680873083075,-0.0,0.0
2020-06-15,1.0,-0.09286040697830703,-0.0,-0.1446466492836214,-0.10654283487003037,-0.0,0.0
2020-06-16,1.0,-0.09279559888354032,-0.0009573507004840689,-0.14849722907649368,-0.10611760581422003,-0.0,0.0
2020-06-17,1.0,-0.09193404994746626,-0.0,-0.14889948543872408,-0.10618551146313208,-0.0,0.0
2020-06-18,1.0,-0.09193776520509195,-0.0,-0.14882467838620597,-0.10631103926719204,-0.0,0.0
2020-06-19,1.0,-0.0922027948423682,-0.0,-0.15012489029906162,-0.10783771011948963,-0.0,0.0
2020-06-22,1.0,-0.09193027934167712,-0.0,-0.15094441519165078,-0.1072542427801855,-0.0,0.0
2020-06-23,1.0,-0.09147485656429294,-0.0,-0.1508876139048262,-0.10762065474181573,-0.0,0.0
2020-06-24,1.0,-0.09106250843796408,-0.0,-0.15138382611043605,-0.10762791953557445,-0.0,0.0
2020-06-25,1.0,-0.09034389750505731,-0.0,-0.15134187457855697,-0.10694538098449088,-0.0,0.0
2020-06-26,1.0,-0.09085014993111273,-0.0,-0.15224086230650782,-0.10761271848069806,-0.0,0.0
2020-06-29,1.0,-0.08983610979968977,-0.0,-0.15238416402508936,-0.1066702637081001,-0.0,0.0
2020-06-30,1.0,-0.0902459414271075,-0.0,-0.15376732646567068,-0.10434981931934632,-0.0,0.0
2020-07-01,1.0,-0.08962785308146272,-0.0,-0.1523080654288717,-0.10544611819235226,-0.0,0.0
2020-07-02,1.0,-0.09065289501361884,-0.0,-0.15301636956932121,-0.10473018527008442,-0.0,0.0
2020-07-06,1.0,-0.09020200929026682,-0.0,-0.15457221562061144,-0.1055552554823377,-0.0,0.0
2020-07-07,1.0,-0.1081137395991054,-0.0,-0.16992873911292,-0.11105863395796578,-0.0,0.0
2020-07-08,1.0,-0.12024766920503878,-0.0,-0.16904134937015158,-0.1340972172799089,-0.0,0.0
2020-07-09,1.0,-0.1191672240326735,-0.0,-0.16878940103314313,-0.1350912894366097,-0.0,0.0
2020-07-10,1.0,-0.1199777977029162,-0.0,-0.17010375304214168,-0.13315685353600046,-0.0,0.0
2020-07-13,1.0,-0.12190262023028424,-0.0,-0.1700658971548939,-0.13129616714820455,-0.0,0.0
2020-07-14,1.0,-0.11737042509661287,-0.0,-0.16705501250284155,-0.1363378040463742,-0.0,0.0
