Date,IWF,IWM,LAUR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4981978543866344,-1.2303778145274136,1.0,-0.06305389475469618,-0.7552898274180554,-0.6934232285968707,0.0
2018-09-25,-0.4985044013332194,-1.244295359370994,1.0,-0.0556790017947184,-0.7673703102298948,-0.707332706606273,0.0
2018-09-26,-0.49846166994273994,-1.2444235535424322,1.0,-0.055636270404238956,-0.7673703102298948,-0.707247243825314,0.0
2018-09-27,-0.499060551712358,-1.2411392945597404,1.0,-0.05658040823298317,-0.7667606114954308,-0.7066786232812367,0.0
2018-09-28,-0.49722435733196685,-1.242377658211632,1.0,-0.057349047741053885,-0.7665471005209668,-0.7067213254761295,0.0
2018-10-01,-0.496897599383799,-1.2472078394454191,1.0,-0.058239548119303354,-0.7677264752449826,-0.709101801531944,0.0
2018-10-02,-0.4970647469683336,-1.2571024553284484,1.0,-0.056262587307708785,-0.7666795217894331,-0.7079316107468826,0.0
2018-10-03,-0.49644570058239124,-1.2478160328879753,1.0,-0.0552415210688592,-0.7695272353545735,-0.7132579650565263,0.0
2018-10-04,-0.49871630295250324,-1.242148053059478,1.0,-0.05609756097560976,-0.7721009841677364,-0.7099272571673085,0.0
2018-10-05,-0.4865831842576029,-1.2382230172927848,1.0,-0.04212454212454213,-0.7768549280177187,-0.7154783201294829,0.0
2018-10-08,-0.4847155994550409,-1.235609673024523,1.0,-0.035209468664850134,-0.7852094686648502,-0.7167489782016349,0.0
2018-10-09,-0.4847155994550409,-1.2360779972752043,1.0,-0.034868869209809264,-0.7852520435967302,-0.7166212534059945,0.0
2018-10-10,-0.4850187265917603,-1.2354868913857677,1.0,-0.03515491998638066,-0.785367722165475,-0.7149727613210759,0.0
2018-10-11,-0.38854882365188426,-1.2513012700395585,1.0,-0.0,-0.7713512388090776,-0.7528627940870288,0.0
2018-10-12,-0.4057845442917853,-1.2532079052688039,1.0,-0.0,-0.7456368362421091,-0.7212938895077774,0.0
2018-10-15,-0.3801102245619808,-1.274697705025911,1.0,-0.0,-0.7386279509747471,-0.719420909763922,0.0
2018-10-16,-0.3698879378075508,-1.3030641359632802,1.0,-0.0,-0.7408510110408139,-0.7213331679278833,0.0
2018-10-17,-0.3420423704783894,-1.2518734556649247,1.0,-0.0,-0.7301413699517965,-0.7266577550937741,0.0
2018-10-18,-0.3438324471323619,-1.2571741689329057,1.0,-0.0,-0.7295531111742501,-0.7283760198076065,0.0
2018-10-19,-0.3215348724961789,-1.2442281393290966,1.0,-0.0,-0.7303515405035798,-0.7260477837663905,0.0
2018-10-22,-0.32194259065691083,-1.2395674197957707,1.0,-0.0,-0.731567098174801,-0.7271850124628126,0.0
2018-10-23,-0.3299243034305041,-1.2421887582541473,1.0,-0.0,-0.7280560476727331,-0.7262038975680464,0.0
2018-10-24,-0.327221552070768,-1.2392038600723765,1.0,-0.0,-0.7276236429433052,-0.7268596702854845,0.0
2018-10-25,-0.284309931109219,-1.1799674897437882,1.0,-0.0,-0.72377893025776,-0.6822122455298398,0.0
