Date,ECL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23156722133259067,-0.3305483998236209,-0.11392698832648704,-0.34192021165494674,-0.3028151036227344,0.0
2018-09-25,1.0,-0.23066911474190627,-0.33265159086155205,-0.11174378878378692,-0.3437841355427987,-0.305296674181328,0.0
2018-09-26,1.0,-0.23030598958333331,-0.33244977678571425,-0.1104213169642857,-0.3444707961309524,-0.307524181547619,0.0
2018-09-27,1.0,-0.23076029100713571,-0.33100899518862004,-0.11082444273992981,-0.3443506961392743,-0.307393719638333,0.0
2018-09-28,1.0,-0.2297303579730358,-0.3319618781961878,-0.1111111111111111,-0.3442817294281729,-0.3074616457461645,0.0
2018-10-01,1.0,-0.23007183206639237,-0.33158983657623725,-0.11109561336215915,-0.34446846595532,-0.3074365948346003,0.0
2018-10-02,1.0,-0.23071201097189614,-0.32583277156605217,-0.11318254724656546,-0.34580069271717145,-0.309002998675004,0.0
2018-10-03,1.0,-0.2305493586168433,-0.3234569622606433,-0.11291596951106155,-0.34653281279048154,-0.31042015244469234,0.0
2018-10-04,1.0,-0.23451306855176263,-0.318365733420147,-0.11326853315970609,-0.35199051251046415,-0.3072504883266673,0.0
2018-10-05,1.0,-0.22699997683200887,-0.3126520399416166,-0.10645691912054304,-0.3572967587980446,-0.3134165836480319,0.0
2018-10-08,1.0,-0.2261234327562632,-0.31120072307585345,-0.10211128879000674,-0.3634383183851306,-0.31470022480242876,0.0
2018-10-09,1.0,-0.22598660579797464,-0.31117187681041875,-0.10180057006465366,-0.36356684355664726,-0.31483326767548026,0.0
2018-10-10,1.0,-0.22528559130778714,-0.3161629557246225,-0.09867150601428538,-0.3652544147413973,-0.32121169819222445,0.0
2018-10-11,1.0,-0.2115296489780955,-0.311199706717991,-0.08170653468976262,-0.36224910640637886,-0.3245806983777839,0.0
2018-10-12,1.0,-0.20919751667049896,-0.31423315704759713,-0.07760404690733502,-0.36854449298689357,-0.32979995401241663,0.0
2018-10-15,1.0,-0.1983784280398732,-0.3329964628600303,-0.062060728558959985,-0.36983784280398735,-0.3335706738940695,0.0
2018-10-16,1.0,-0.19703131821419548,-0.3392615059396613,-0.057512465246662536,-0.3702810137634705,-0.33365501711817286,0.0
2018-10-17,1.0,-0.19089233290093532,-0.324298491158599,-0.05197878974078878,-0.3701554356978676,-0.3384538358253112,0.0
