Date,DISH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5512125968305402,-1.2911751303731458,-0.0,-1.0874892410510861,-1.1331578147941876,0.0
2018-09-25,1.0,-0.549553208773355,-1.2968623070674248,-0.0,-1.0918968318440292,-1.1389114541023557,0.0
2018-09-26,1.0,-0.5519097927671679,-1.2993193823648923,-0.0,-1.0922897196261683,-1.1356663957740756,0.0
2018-09-27,1.0,-0.5578963399157317,-1.2884410376161226,-0.0,-1.0937103406264277,-1.1363520990913245,0.0
2018-09-28,1.0,-0.5562211279760394,-1.2902685415503325,-0.0,-1.0935580486319103,-1.1363520990913245,0.0
2018-10-01,1.0,-0.5562157221206581,-1.2915904936014626,-0.0,-1.093591306114158,-1.1368068251066423,0.0
2018-10-02,1.0,-0.5571747740428556,-1.2898344673504623,-0.0,-1.093734132223012,-1.1369452625165024,0.0
2018-10-03,1.0,-0.5594327109478624,-1.2729823487399246,-0.0,-1.109784715845322,-1.159371492704826,0.0
2018-10-04,1.0,-0.5643261434908979,-1.2649533425118555,-0.0,-1.1153944214981386,-1.1544541328846054,0.0
2018-10-05,1.0,-0.5338689991863304,-1.2511187957689176,-0.0,-1.1278986981285597,-1.1725488201790073,0.0
2018-10-08,1.0,-0.542151386255317,-1.2661302721262748,-0.0,-1.1345769487008661,-1.1819299953876903,0.0
2018-10-09,1.0,-0.5375269147954476,-1.26627704296114,-0.0,-1.1368296934276632,-1.185994053111863,0.0
2018-10-10,1.0,-0.5379490596012915,-1.2653615538359042,-0.0,-1.137190590888126,-1.1842873981448265,0.0
2018-10-11,1.0,-0.4216146734562713,-1.2359717209670242,-0.0,-1.0941316062688486,-1.192168883175953,0.0
2018-10-12,1.0,-0.418232259320549,-1.2191667477854569,-0.0,-1.066290275479412,-1.16338946753626,0.0
2018-10-15,1.0,-0.4115472542438835,-1.2221411547254244,-0.0,-1.0661510773870324,-1.1642103215136923,0.0
2018-10-16,1.0,-0.40059637287969885,-1.2536051229408027,-0.0,-1.0681918169819622,-1.1658600967883854,0.0
2018-10-17,1.0,-0.3646088166162997,-1.1914424137765627,-0.0,-1.0607761308581571,-1.1800738715402697,0.0
2018-10-18,1.0,-0.3635141622659625,-1.1892942870859338,-0.0,-1.0660105616898703,-1.181901104176668,0.0
2018-10-19,1.0,-0.3337944852590402,-1.1716439271061923,-0.0,-1.0758992462551284,-1.1891995038641352,0.0
2018-10-22,1.0,-0.3347036328871893,-1.156548757170172,-0.0,-1.0883365200764819,-1.2004780114722753,0.0
2018-10-23,1.0,-0.3364235878811049,-1.1562649335754565,-0.0,-1.0866386313676766,-1.1994169932141832,0.0
2018-10-24,1.0,-0.3525470489703419,-1.22041580451276,-0.0,-1.1242486944526553,-1.229382205143364,0.0
2018-10-25,1.0,-0.29889141557703236,-1.1442107257911693,-0.0,-1.1160223611900701,-1.1783683911313247,0.0
2018-10-26,1.0,-0.26935332708528587,-1.1245548266166823,-0.0,-1.12717900656045,-1.1649484536082473,0.0
2018-10-29,1.0,-0.27129337539432175,-1.128819624276096,-0.0,-1.1386129290456235,-1.169640755214464,0.0
2018-10-30,1.0,-0.26401242411407594,-1.1284766341945502,-0.0,-1.1385006353240152,-1.1751141230175537,0.0
2018-10-31,1.0,-0.26474172682103686,-1.1181213087091029,-0.0,-1.1342458048185995,-1.1702915533889566,0.0
2018-11-01,1.0,-0.2781307355640265,-1.1139347734011011,-0.0,-1.139630100240011,-1.1744082074450561,0.0
2018-11-02,1.0,-0.2814662427529456,-1.0860763044697963,-0.0,-1.1417149803628204,-1.1662614550215074,0.0
2018-11-05,1.0,-0.28256700500491133,-1.0841012208241732,-0.0,-1.1420552878993404,-1.1687637401188082,0.0
2018-11-06,1.0,-0.28701019358458807,-1.0870663050593847,-0.0,-1.13840830449827,-1.1634714299074163,0.0
2018-11-07,1.0,-0.28654232692936943,-1.0868040947973636,-0.0,-1.137895573318375,-1.163184219137101,0.0
2018-11-08,1.0,-0.2498727499884318,-1.084956734996067,-0.0,-1.1238721021701912,-1.1685715607792329,0.0
2018-11-09,1.0,-0.2491323862847624,-1.084956734996067,-0.0,-1.1250289204571746,-1.1681551061959188,0.0
2018-11-12,1.0,-0.24739799207884314,-1.061803444782168,-0.0,-1.1324030579349729,-1.1637192594639405,0.0
2018-11-13,1.0,-0.20340300965100858,-1.059232493253442,-0.0,-1.1446279101678634,-1.1667200292732012,0.0
2018-11-14,1.0,-0.20595101853971162,-1.0588235294117647,-0.0,-1.146166170748455,-1.1668116273746854,0.0
2018-11-15,1.0,-0.20494279176201374,-1.063020594965675,-0.0,-1.154508009153318,-1.154187643020595,0.0
2018-11-16,1.0,-0.20483524518989077,-1.059000959736758,-0.0,-1.1523239340066722,-1.1540606005210001,0.0
2018-11-19,1.0,-0.2091981347718753,-1.0582426625217154,-0.0,-1.1505440248697083,-1.1536070220352932,0.0
2018-11-20,1.0,-0.18031370766083202,-1.0500113662195953,-0.0,-1.1518072289156627,-1.1644010002273244,0.0
2018-11-21,1.0,-0.1791287092991792,-1.0406331739875532,-0.0,-1.1465680526743034,-1.1434112023090106,0.0
2018-11-23,1.0,-0.17925382595309244,-1.056325273929186,-0.0,-1.1462012134383772,-1.145974825681427,0.0
2018-11-26,1.0,-0.17917949646803116,-1.056149248324579,-0.0,-1.146531425466401,-1.146259735555153,0.0
2018-11-27,1.0,-0.17493106721511548,-1.055598246169145,-0.0,-1.1450074583013152,-1.1446458436920852,0.0
2018-11-28,1.0,-0.17748134750169567,-1.048473886502374,-0.0,-1.1488130228351796,-1.1470495139045895,0.0
2018-11-29,1.0,-0.14944377429299022,-1.031139704239825,-0.0,-1.140061653933789,-1.147031229057767,0.0
2018-11-30,1.0,-0.14835508671553727,-1.0317807974253532,-0.0,-1.1405775075987843,-1.1491596638655461,0.0
2018-12-03,1.0,-0.14467685706623762,-1.0339679985697685,-0.0,-1.1414588361491016,-1.1493251095021007,0.0
2018-12-04,1.0,-0.13631907308377897,-1.0355614973262033,-0.0,-1.1373885918003566,-1.147058823529412,0.0
2018-12-06,1.0,-0.12105331543159079,-0.9561262939061891,-0.0,-1.13829096106371,-1.1156394820044175,0.0
2018-12-07,1.0,-0.125,-0.9556479556479557,-0.0,-1.1384268884268884,-1.1121794871794872,0.0
2018-12-10,1.0,-0.07931390250193449,-0.9711546728570201,-0.0,-1.1524374516378644,-1.0959074886080302,0.0
2018-12-11,1.0,-0.08571919869314762,-0.9690482331699769,-0.0,-1.1538130857191988,-1.0902759865875677,0.0
2018-12-12,1.0,-0.08475961124967747,-0.9698546486625957,-0.0,-1.153607981422551,-1.0921131848284167,0.0
2018-12-13,1.0,-0.08526365550732734,-0.9678112510206713,-0.0,-1.1537668142163393,-1.090721560874984,0.0
2018-12-14,1.0,-0.08101571946795647,-0.9926153048885819,-0.0,-1.1491622041803422,-1.0957419243392643,0.0
2018-12-17,1.0,-0.05599070407987605,-0.9935014632466861,-0.0,-1.1337579617834395,-1.120416594938888,0.0
2018-12-18,1.0,-0.039258404887009275,-0.9790678798752617,-0.0,-1.1298218633858772,-1.1237131017984536,0.0
2018-12-19,1.0,-0.02725753225046072,-0.9868855269360991,-0.0,-1.1410877298247117,-1.1305447220674583,0.0
