Date,ETY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20007106531346466,-0.30507006595749403,-0.11537009482777766,-0.3101334695418508,-0.29014635012991624,0.0
2018-09-25,1.0,-0.19994225173800056,-0.3052884081469471,-0.11509672833884903,-0.3103302756368967,-0.29042933611709565,0.0
2018-09-26,1.0,-0.19979565091846027,-0.30516869905155375,-0.11470202794251572,-0.31047733280024875,-0.29104195819728573,0.0
2018-09-27,1.0,-0.2005461569202078,-0.30298388171040364,-0.11533679676746149,-0.31039918298476976,-0.29090626526353186,0.0
2018-09-28,1.0,-0.2022441950894345,-0.30238862348627926,-0.1151872014220642,-0.3108987890234418,-0.29125652705254973,0.0
2018-10-01,1.0,-0.20208013867591174,-0.30279796430873174,-0.115341022734849,-0.31079849767762296,-0.2913527568504567,0.0
2018-10-02,1.0,-0.20262672503833418,-0.29800662236938597,-0.11706926820596013,-0.31194026533922975,-0.29265094779884,0.0
2018-10-03,1.0,-0.2024571225450991,-0.2954989780502977,-0.1167466453390207,-0.31273882520216834,-0.2941882164756065,0.0
2018-10-04,1.0,-0.20436221486795636,-0.2923172600670768,-0.1170290740288297,-0.3152166670368478,-0.29216178397707837,0.0
2018-10-05,1.0,-0.2030023504368265,-0.29127677502328264,-0.1153709698877999,-0.31555723091933124,-0.2921859062486141,0.0
2018-10-08,1.0,-0.20608334449953103,-0.298092813435169,-0.11749073205592031,-0.31604805931484214,-0.29552458796730535,0.0
2018-10-09,1.0,-0.2052971258849014,-0.29826481163045176,-0.1155229013600125,-0.3171129324013488,-0.29701422541816475,0.0
2018-10-10,1.0,-0.2062382781102081,-0.2972447977136733,-0.11670536750915424,-0.3176520496561579,-0.2949004197552916,0.0
2018-10-11,1.0,-0.20961922051144133,-0.2987068289293799,-0.11835765032833548,-0.32096192205114416,-0.29352966225150723,0.0
2018-10-12,1.0,-0.210426645872786,-0.2952656789573354,-0.1175002784894731,-0.3166536704912554,-0.28806951097248523,0.0
2018-10-15,1.0,-0.2190401610918447,-0.28488645262333595,-0.1267255845172838,-0.3189394786888914,-0.28779505537532163,0.0
2018-10-16,1.0,-0.2191394625556575,-0.28463070279462105,-0.12695500413935068,-0.31895375114671204,-0.2878303089969347,0.0
2018-10-17,1.0,-0.2138483382881484,-0.2715090739672539,-0.12213249323334961,-0.3189199982251409,-0.2921861827217465,0.0
2018-10-18,1.0,-0.21245364304590172,-0.269614265728054,-0.12338167040483222,-0.3221780551175856,-0.293042570673536,0.0
2018-10-19,1.0,-0.20790810691407113,-0.26364037994256684,-0.12003534349458803,-0.3241219350563287,-0.2932847360282748,0.0
2018-10-22,1.0,-0.20906962360841136,-0.2608234670436473,-0.11682717794663368,-0.326669906343877,-0.29548065029157095,0.0
2018-10-23,1.0,-0.2084309651178213,-0.26157212962553605,-0.11474866262876342,-0.32888279764799505,-0.2968964145187674,0.0
2018-10-24,1.0,-0.20772518881087904,-0.26493322407034176,-0.11676374831122234,-0.3292064406103962,-0.29618391619233236,0.0
2018-10-25,1.0,-0.1989558531204264,-0.2509884444832784,-0.11610126914087246,-0.3310469866095808,-0.28733698857554774,0.0
2018-10-26,1.0,-0.19442090855764846,-0.24747441830150557,-0.10943101088444242,-0.33583175823937084,-0.28538530057137895,0.0
2018-10-29,1.0,-0.19320820223500054,-0.24723879787349465,-0.108191385483346,-0.3357925572312032,-0.28547249647390693,0.0
2018-10-30,1.0,-0.19781484860332768,-0.247273991050871,-0.11086493766019376,-0.3353534037099787,-0.28081150354055345,0.0
2018-10-31,1.0,-0.19906495530399776,-0.24042769637020844,-0.11172918335100972,-0.3343217679271011,-0.2789117118677085,0.0
2018-11-01,1.0,-0.199367910641614,-0.2401073686033423,-0.11204433284267036,-0.3342713654861893,-0.27889860593990823,0.0
2018-11-02,1.0,-0.20085553179078358,-0.23466632099725623,-0.11115431978741332,-0.3358610408970121,-0.2778966016376088,0.0
