Date,FLEX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5696693581126799,-1.1504804005593396,-0.15693084938427534,-0.8099598538499707,-0.8237629121746584,0.0
2018-09-25,1.0,-0.5714672197673369,-1.148390296690414,-0.16011362611597077,-0.8080981152493462,-0.8208585084317792,0.0
2018-09-26,1.0,-0.5712607851109002,-1.1496137688033607,-0.1562994082305642,-0.811537245335863,-0.8286127298188554,0.0
2018-09-27,1.0,-0.5732015524866866,-1.142747540391732,-0.15809188554923728,-0.811038902428017,-0.8279176821012727,0.0
2018-09-28,1.0,-0.5714608059930502,-1.144004693352588,-0.15871654858071213,-0.8107766595965521,-0.8278351911187327,0.0
2018-10-01,1.0,-0.5711573236889693,-1.1483273056057866,-0.15981012658227847,-0.8117088607594936,-0.8297920433996383,0.0
2018-10-02,1.0,-0.5710666787297566,-1.1545281823939202,-0.1585994752555867,-0.8107753551072107,-0.8286890436985433,0.0
2018-10-03,1.0,-0.5707114106101036,-1.143910270905884,-0.15716159377685315,-0.815024196101488,-0.8358735471032518,0.0
2018-10-04,1.0,-0.5752272418939086,-1.1364808031474698,-0.15814226925338037,-0.8208745986523764,-0.8315018315018315,0.0
2018-10-05,1.0,-0.5619455077685206,-1.1304661112362082,-0.14271560459356003,-0.8276964647601892,-0.8407115514523756,0.0
2018-10-08,1.0,-0.5598705501618123,-1.1272923408845739,-0.13960805465659834,-0.8286587558432218,-0.8393563466378999,0.0
2018-10-09,1.0,-0.5617072951335792,-1.1282720158316093,-0.14275434019969416,-0.827606368624629,-0.8372762435908968,0.0
2018-10-10,1.0,-0.5624943800017984,-1.1271468393130113,-0.1436021940472979,-0.8278931750741839,-0.8348619728441686,0.0
2018-10-11,1.0,-0.5032539855863726,-1.1305962000436778,-0.057916575671544006,-0.8162917667613017,-0.8597073596855209,0.0
2018-10-12,1.0,-0.5202077022933794,-1.1297273907399392,-0.05106014712245781,-0.7935525746430117,-0.8325832972739073,0.0
2018-10-15,1.0,-0.5098005353596409,-1.1451515413176754,-0.03514376996805112,-0.7928935325101459,-0.8344270788360245,0.0
2018-10-16,1.0,-0.508159917105604,-1.1514117951817633,-0.03048096019342026,-0.7930662291684656,-0.8342975563422848,0.0
2018-10-17,1.0,-0.4918659474153676,-1.1148961474748333,-0.017797222104234806,-0.7857112517521132,-0.8372764728369366,0.0
2018-10-18,1.0,-0.4914419197281801,-1.1143342535570184,-0.017880654066680827,-0.7862391165852624,-0.8372902951794436,0.0
2018-10-19,1.0,-0.4805819101834282,-1.1063461943917352,-0.004722749314779675,-0.7878557874762808,-0.8372338182584862,0.0
2018-10-22,1.0,-0.48204350025290843,-1.1013319844882818,-0.0010537851964255605,-0.7909290170291687,-0.8397824987354577,0.0
2018-10-23,1.0,-0.48200134884505136,-1.101374135896139,-0.0009273309728544933,-0.7910133198448828,-0.8398246501433148,0.0
2018-10-24,1.0,-0.4802088596934479,-1.099166245578575,-0.0,-0.7908455448879906,-0.8407023749368367,0.0
2018-10-25,1.0,-0.4466241621709989,-1.051536700997221,-0.0,-0.7831044629720451,-0.8056645414418833,0.0
2018-10-26,1.0,-0.42127228525121563,-1.0375607779578608,-0.0,-0.7959481361426256,-0.7970826580226905,0.0
2018-10-29,1.0,-0.8868007542426147,-1.472972972972973,-0.2998114393463231,-1.3598365807668134,-1.2659962287869264,0.0
2018-10-30,1.0,-0.8811707071975883,-1.4729305363647782,-0.2954402713226981,-1.3601934430347946,-1.2709458610727296,0.0
2018-10-31,1.0,-0.88794470162978,-1.4950852939311308,-0.29875071342507453,-1.3738347390449617,-1.285877354302746,0.0
2018-11-01,1.0,-0.8762730090454803,-1.5052185463976215,-0.28584983237396416,-1.3726358403441077,-1.2855335568347144,0.0
2018-11-02,1.0,-0.8779527559055117,-1.5164465328930656,-0.28854457708915415,-1.375730251460503,-1.2913385826771653,0.0
2018-11-05,1.0,-0.8731167757930202,-1.537410209141186,-0.2879028669506071,-1.3784247663848452,-1.2800203419998728,0.0
2018-11-06,1.0,-0.8796896858705328,-1.543431260333206,-0.285005723006486,-1.3758743482131501,-1.274895078214422,0.0
2018-11-07,1.0,-0.876588713777326,-1.5430223690899847,-0.2888917132689375,-1.373029994916116,-1.2732587697000508,0.0
2018-11-08,1.0,-0.8460231563050591,-1.5481374276365467,-0.25182481751824815,-1.364837654165618,-1.2816511452303045,0.0
