Date,IWF,IWM,MTUM,SPY,TGI,VLUE,VXX
2018-09-24,-0.688965715932008,-1.3842120426390088,-0.18818784212042639,-1.29346009795448,1.0,-1.2072601555747624,0.0
2018-09-25,-0.688347665493161,-1.3886420038090839,-0.18525999884573208,-1.2971662722917987,1.0,-1.2119813008599294,0.0
2018-09-26,-0.6899538106235565,-1.3908198614318708,-0.18839491916859122,-1.2967667436489607,1.0,-1.2077367205542726,0.0
2018-09-27,-0.6907811238029307,-1.3861197646244376,-0.1895696319372332,-1.2958347755855544,1.0,-1.206703588323526,0.0
2018-09-28,-0.6918238993710693,-1.3854942011424616,-0.19012174715827132,-1.29577058450176,1.0,-1.2067393687611794,0.0
2018-10-01,-0.692093992360227,-1.3945479800902882,-0.19168885287649032,-1.2982984141683065,1.0,-1.2110776710267392,0.0
2018-10-02,-0.6923522595596755,-1.4057937427578215,-0.18974507531865586,-1.2965816917728852,1.0,-1.2093279258400926,0.0
2018-10-03,-0.6918934568616097,-1.400926462072959,-0.1895773016792125,-1.2970469021424436,1.0,-1.2110017371163868,0.0
2018-10-04,-0.6944974830758548,-1.3943759763929873,-0.19064977145171555,-1.2996586240814672,1.0,-1.2068506625007231,0.0
2018-10-05,-0.6770365249452701,-1.385643507316511,-0.1711602719207282,-1.3095402696163152,1.0,-1.2175941928793639,0.0
2018-10-08,-0.6736430542778289,-1.3800597976080957,-0.16444342226310948,-1.3149149034038639,1.0,-1.216708831646734,0.0
2018-10-09,-0.6777221166580296,-1.3825070536074164,-0.17101399205389534,-1.3136408130362183,1.0,-1.2131628951459665,0.0
2018-10-10,-0.6853899713299397,-1.4187584108595166,-0.16172254402902111,-1.3354982154350243,1.0,-1.2496635656193318,0.0
2018-10-11,-0.5989556728531699,-1.417901129462512,-0.042681196435666036,-1.327657642317952,1.0,-1.2885521312219763,0.0
2018-10-12,-0.6164944980911745,-1.4113518975971255,-0.03256231753873793,-1.3004154502582528,1.0,-1.2533685156074557,0.0
2018-10-15,-0.5676883058131644,-1.5018095453517304,-0.0,-1.3094322551458946,1.0,-1.275899117846641,0.0
2018-10-16,-0.5569921742089147,-1.5283543155268233,-0.0,-1.3095724169218554,1.0,-1.2759441987070432,0.0
2018-10-17,-0.5176804181029689,-1.4605248526631824,-0.0,-1.2972311798065161,1.0,-1.28444345602135,0.0
2018-10-18,-0.5165953188413854,-1.4584422082615223,-0.0,-1.2996608661811309,1.0,-1.284872407850114,0.0
2018-10-19,-0.492993490014344,-1.4440582588546838,-0.0,-1.298686968994814,1.0,-1.2811431093456913,0.0
2018-10-22,-0.4932134186713749,-1.4300375193114103,-0.0,-1.3061686161995143,1.0,-1.2880710659898476,0.0
2018-10-23,-0.4942630185348632,-1.4297771403353927,-0.0,-1.3049977934686674,1.0,-1.2872903795233894,0.0
2018-10-24,-0.4902468591580339,-1.4257769451179192,-0.0,-1.3054882080670045,1.0,-1.2887370509147014,0.0
2018-10-25,-0.4280858296154664,-1.344327597195666,-0.0,-1.305343106012322,1.0,-1.2334820480135968,0.0
2018-10-26,-0.3966911764705882,-1.3222163865546217,-0.0,-1.3148634453781514,1.0,-1.218329831932773,0.0
2018-10-29,-0.35963398692810455,-1.3386143790849674,-0.0,-1.3010718954248366,1.0,-1.229437908496732,0.0
2018-10-30,-0.34629658669175684,-1.3388218075375047,-0.0,-1.3016569964978306,1.0,-1.2403428989598033,0.0
2018-10-31,-0.3469228771747598,-1.3191898208257595,-0.0,-1.2951441184108023,1.0,-1.2321474941573616,0.0
2018-11-01,-0.3295319060701882,-1.3305686589601369,-0.0,-1.29272717847701,1.0,-1.230988543880566,0.0
