Date,IWF,IWM,MRCY,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9129337927639676,-1.6974526212158505,1.0,-0.32002215111986215,-1.2063130691607187,-1.0163672163426039,0.0
2018-09-25,-0.9142786865084247,-1.694809986471529,1.0,-0.3229000122986103,-1.2040954372155948,-1.0132210060263191,0.0
2018-09-26,-0.9187157207123928,-1.7011154249091023,1.0,-0.3290195353423307,-1.2057065384852406,-1.0080729648117335,0.0
2018-09-27,-0.9289199036620762,-1.688260359414562,1.0,-0.3350213055023776,-1.2110788612363368,-1.0122892607917002,0.0
2018-09-28,-0.9273894788836751,-1.688626821437392,1.0,-0.33570017288219317,-1.2105458137811806,-1.0121017535193877,0.0
2018-10-01,-0.9275791813298759,-1.687905167623634,1.0,-0.33611162560968083,-1.210471074890412,-1.012039266530839,0.0
2018-10-02,-0.9280059376546265,-1.7026224641266703,1.0,-0.33337456704601687,-1.2096734289955469,-1.011318654131618,0.0
2018-10-03,-0.9278114561425215,-1.6883582828157864,1.0,-0.3314363478906347,-1.2161944822466906,-1.0220215266608932,0.0
2018-10-04,-0.931021694789542,-1.6801409234192475,1.0,-0.3325298226095556,-1.219914704246245,-1.0172445763026146,0.0
2018-10-05,-0.9096586693049715,-1.676106851348009,1.0,-0.3044150383378679,-1.2467227306455602,-1.0466237942122185,0.0
2018-10-08,-0.9058105107327906,-1.6699358499876638,1.0,-0.29774241302738713,-1.2503700962250186,-1.0444115470022206,0.0
2018-10-09,-0.9041391647646659,-1.6709024736290172,1.0,-0.2929492320029609,-1.2529146875578312,-1.0476836715810252,0.0
2018-10-10,-0.9044212863044953,-1.670222605907381,1.0,-0.2930258370845409,-1.252944441018684,-1.0457544552013318,0.0
2018-10-11,-0.8180092537667576,-1.6611104520109146,1.0,-0.17451655000593191,-1.2242852058369913,-1.053920987068454,0.0
2018-10-12,-0.8224451703219784,-1.646406906206253,1.0,-0.1619225384974335,-1.1907372841810544,-1.0113742417172187,0.0
2018-10-15,-0.7940747652650609,-1.7033300285764272,1.0,-0.11617192511809646,-1.1954860908613751,-1.0229194611302268,0.0
2018-10-16,-0.7911196685920999,-1.7168446233735926,1.0,-0.10665733123286074,-1.196452535153743,-1.0235719703599977,0.0
2018-10-17,-0.7609703072258137,-1.6519823788546255,1.0,-0.07483265633045369,-1.1931460609874707,-1.040219692202071,0.0
2018-10-18,-0.7845713618313478,-1.7020555944872693,1.0,-0.06499649614576034,-1.2163046017285681,-1.0717706143424433,0.0
2018-10-19,-0.7651006711409396,-1.6871673223790788,1.0,-0.04136773894931729,-1.2219972228650777,-1.0700069428373062,0.0
2018-10-22,-0.7664642960393179,-1.6804856895056377,1.0,-0.03769875686614629,-1.2246892165365713,-1.0726799653078924,0.0
2018-10-23,-0.7696177644133465,-1.679928294685711,1.0,-0.04464234083155034,-1.2191638235124038,-1.069334412768172,0.0
2018-10-24,-0.7703327171903882,-1.677218114602588,1.0,-0.034600277264325324,-1.2218692236598891,-1.0722620147874307,0.0
2018-10-25,-0.7103429049344857,-1.598661834402007,1.0,-0.010259269584611095,-1.2392528575411208,-1.017117368274324,0.0
2018-10-26,-0.6784491328841269,-1.5799734894510107,1.0,-0.0,-1.257704628300011,-1.006903788799293,0.0
2018-10-29,-0.6412977728897442,-1.5996700577398955,1.0,-0.0,-1.2421776189166895,-1.0159472092383832,0.0
2018-10-30,-0.6556137931034484,-1.604689655172414,1.0,-0.0,-1.2465655172413794,-1.0103724137931034,0.0
2018-10-31,-0.6563763523112228,-1.5748552070811934,1.0,-0.0,-1.2358212217244018,-0.9968309474374385,0.0
2018-11-01,-0.6529264031447914,-1.5762721118148069,1.0,-0.0,-1.234658222319284,-0.9958506224066391,0.0
2018-11-02,-0.6623623243448538,-1.5254191308122187,1.0,-0.0,-1.2501763333514189,-0.9877380500244153,0.0
2018-11-05,-0.6550562408302995,-1.5521925772971799,1.0,-0.0,-1.2545237189588654,-0.972124110199424,0.0
2018-11-06,-0.6602922801108273,-1.556092790786114,1.0,-0.0,-1.2502852175802683,-0.9659911990003802,0.0
2018-11-07,-0.6590687072614784,-1.5553022902420492,1.0,-0.0,-1.248127645718007,-0.9646152176272659,0.0
2018-11-08,-0.6392834086507425,-1.5482031418119218,1.0,-0.0,-1.2343447385409942,-0.9579836453625996,0.0
2018-11-09,-0.6380239198362245,-1.5504256006895807,1.0,-0.0,-1.239036741730417,-0.9598642387673741,0.0
2018-11-12,-0.6353067238146263,-1.5301366193410126,1.0,-0.0,-1.2401285829091884,-0.9520492901151888,0.0
2018-11-13,-0.6058517968832821,-1.522633308597477,1.0,-0.0,-1.2352909996819676,-0.9367645499840984,0.0
2018-11-14,-0.6052715316079762,-1.5240772168010184,1.0,-0.0,-1.2361582520152736,-0.9378447178616885,0.0
2018-11-15,-0.6054447038845255,-1.5306728932286138,1.0,-0.0,-1.2464975589046912,-0.9241668435576311,0.0
2018-11-16,-0.6020521499973556,-1.519754588247739,1.0,-0.0,-1.2419209816470091,-0.9253186650446925,0.0
2018-11-19,-0.6057448159119763,-1.5188848920863307,1.0,-0.0,-1.2403195090986034,-0.9249365213711384,0.0
2018-11-20,-0.5719237435008665,-1.5094270258914972,1.0,-0.0,-1.2386429284176252,-0.9318313113807049,0.0
