Date,IWF,IWM,MTUM,SPY,TCO,VLUE,VXX
2018-09-24,-0.3019882112207189,-0.7332559631066182,-0.0,-0.5237760742754177,1.0,-0.4950981889258773,0.0
2018-09-25,-0.29877520722504025,-0.7487009773598912,-0.0,-0.5357849808239515,1.0,-0.5096189533589014,0.0
2018-09-26,-0.2998236877107241,-0.7497293451699713,-0.0,-0.535803767515234,1.0,-0.5078412570756905,0.0
2018-09-27,-0.3003617698896138,-0.7482452614328562,-0.0,-0.5357286416622863,1.0,-0.507714665594756,0.0
2018-09-28,-0.2994558159668543,-0.7490569538061963,-0.0,-0.5356502380805146,1.0,-0.5077917259291324,0.0
2018-10-01,-0.30067051302042724,-0.7622641509433963,-0.0,-0.5409324808981756,1.0,-0.5147668797754562,0.0
2018-10-02,-0.2993335627796377,-0.7788554801163918,-0.0,-0.5385626231970214,1.0,-0.512092863176997,0.0
2018-10-03,-0.29879917443242227,-0.7735005316154856,-0.0,-0.53993370442179,1.0,-0.5149165050972544,0.0
2018-10-04,-0.31277602523659304,-0.768422712933754,-0.0,-0.5603154574132492,1.0,-0.5130599369085174,0.0
2018-10-05,-0.31358851977115404,-0.7746625786262921,-0.0,-0.5608306729462339,1.0,-0.5117741884502324,0.0
2018-10-08,-0.3104231752343084,-0.7710562024677333,-0.0,-0.5635078418378617,1.0,-0.5106819401053994,0.0
2018-10-09,-0.30374097987086973,-0.7731991391315356,-0.0,-0.5690277250284846,1.0,-0.5189897455374097,0.0
2018-10-10,-0.30371495474969934,-0.773083982026454,-0.0,-0.5691095500284792,1.0,-0.5184798430479083,0.0
2018-10-11,-0.24154782394885665,-0.7627858372264569,-0.0,-0.5465023358741087,1.0,-0.5227133021883452,0.0
2018-10-12,-0.24234879766820502,-0.7567403449113432,-0.0,-0.5315460286616469,1.0,-0.5054955064367258,0.0
2018-10-15,-0.2106814108211562,-0.7910198377737947,-0.0,-0.5275997205091594,1.0,-0.5086125710119391,0.0
2018-10-16,-0.20837763129917072,-0.7945384405090976,-0.0,-0.5268065976124662,1.0,-0.5078217551107196,0.0
