Date,FBM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4040408248281608,-1.2968964799000207,-0.0,-0.7429702145386378,-0.7219329306394501,0.0
2018-09-25,1.0,-0.41513454788567605,-1.2986378071201738,-0.0,-0.7448604379074043,-0.7199147584823666,0.0
2018-09-26,1.0,-0.4145407089332323,-1.30428559400522,-0.0,-0.753641491959249,-0.7372653026858634,0.0
2018-09-27,1.0,-0.4199520343333193,-1.2945680986241428,-0.0,-0.7550384987587831,-0.7379559893970631,0.0
2018-09-28,1.0,-0.4385747813100064,-1.3053125666737786,-0.0,-0.7712822701088116,-0.7519095370172818,0.0
2018-10-01,1.0,-0.46619811113551507,-1.3358225345925763,-0.0,-0.8095321765868658,-0.7811552822314957,0.0
2018-10-02,1.0,-0.4658215590474932,-1.348386812799859,-0.0,-0.807958096747216,-0.7794357146001144,0.0
2018-10-03,1.0,-0.4657250967969025,-1.3457849348820836,-0.0,-0.8081661386835621,-0.7801830341429075,0.0
2018-10-04,1.0,-0.46565491683945825,-1.3526712842458197,-0.0,-0.8079145894913309,-0.7854590373670975,0.0
2018-10-05,1.0,-0.43513681041353053,-1.3482688391038697,-0.0,-0.8307358540688922,-0.813379969892854,0.0
2018-10-08,1.0,-0.4304621104815864,-1.3444139518413598,-0.0,-0.8379957507082152,-0.8134737960339943,0.0
2018-10-09,1.0,-0.4218882776510577,-1.3571268840288027,-0.0,-0.8566125497562502,-0.8368442238024956,0.0
2018-10-10,1.0,-0.42137042669290636,-1.3576795777797657,-0.0,-0.8566508632256911,-0.8370158332587888,0.0
2018-10-11,1.0,-0.3062767290163722,-1.3475312108514406,-0.0,-0.8167955419240572,-0.849194349647933,0.0
2018-10-12,1.0,-0.2984270631329455,-1.3512174100409393,-0.0,-0.8137901314371903,-0.8459814695108813,0.0
2018-10-15,1.0,-0.24923156846616737,-1.4128317243170698,-0.0,-0.811680159314256,-0.8554482878046669,0.0
2018-10-16,1.0,-0.2561954776268391,-1.4077079987847751,-0.0,-0.8163274163447767,-0.8598585130853695,0.0
2018-10-17,1.0,-0.22504244482173175,-1.3508913412563668,-0.0,-0.8036502546689304,-0.8648981324278439,0.0
2018-10-18,1.0,-0.2253503184713376,-1.3524416135881105,-0.0,-0.8032696390658175,-0.8652229299363058,0.0
2018-10-19,1.0,-0.20409536223352814,-1.3408737333389396,-0.0,-0.7994786191817684,-0.8602783500819913,0.0
2018-10-22,1.0,-0.20456360045383873,-1.3346220111778797,-0.0,-0.8012354498466194,-0.8617893011724168,0.0
2018-10-23,1.0,-0.2087570384065888,-1.334944112950668,-0.0,-0.7981342969997479,-0.8601983359946214,0.0
2018-10-24,1.0,-0.2058984161660295,-1.3367222618997607,-0.0,-0.7981767004159139,-0.8603537369239171,0.0
2018-10-25,1.0,-0.16869079426767064,-1.279572504250668,-0.0,-0.7830540037243948,-0.8168974172131811,0.0
2018-10-26,1.0,-0.14819402269458207,-1.2594294390282883,-0.0,-0.7849208886047627,-0.802980661658942,0.0
2018-10-29,1.0,-0.1451490298059612,-1.2636927385477095,-0.0,-0.7881176235247049,-0.8038407681536307,0.0
