Date,IWF,IWM,MTCH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7428488315718026,-1.1447202559875884,1.0,-0.36943663337535154,-0.8947444972364976,-0.6965480461553379,0.0
2018-09-25,-0.7428363636363637,-1.1447757575757576,1.0,-0.36940606060606057,-0.8948363636363637,-0.696678787878788,0.0
2018-09-26,-0.7472169559088037,-1.151475377959263,1.0,-0.37543143259929024,-0.8963103397987457,-0.690729667979194,0.0
2018-09-27,-0.7528925619834711,-1.139912493923189,1.0,-0.37919299951385516,-0.8978123480797279,-0.6915896937287311,0.0
2018-09-28,-0.7521022699654888,-1.1399893063724298,1.0,-0.3796237787391241,-0.8974869975210227,-0.6915860593982404,0.0
2018-10-01,-0.7535738597685501,-1.138821355635515,1.0,-0.3795098706603131,-0.8985704560925799,-0.6919187007682583,0.0
2018-10-02,-0.7549753068309618,-1.1725099017162974,1.0,-0.3717177644124982,-0.8988802503545059,-0.6916532198914478,0.0
2018-10-03,-0.7542762193333985,-1.1624474635910467,1.0,-0.37034502981135764,-0.9022089727299384,-0.6977812530544424,0.0
2018-10-04,-0.7560796952827424,-1.1571442523683955,1.0,-0.37103232737572034,-0.9042875280789141,-0.6947455806231078,0.0
2018-10-05,-0.7409046692607003,-1.148589494163424,1.0,-0.35437743190661475,-0.9147373540856031,-0.7052529182879377,0.0
2018-10-08,-0.7383413403212501,-1.144028728102101,1.0,-0.3504634347551803,-0.9166302712670452,-0.7032561750861357,0.0
2018-10-09,-0.743410174107577,-1.1471160392957884,1.0,-0.35823363486042215,-0.915329248127614,-0.6992510456181305,0.0
2018-10-10,-0.7433852140077821,-1.1477626459143968,1.0,-0.3575875486381323,-0.915612840466926,-0.699464980544747,0.0
2018-10-11,-0.6876707167749836,-1.1370443628143543,1.0,-0.2852971649241782,-0.8953565037204484,-0.7040124328906471,0.0
2018-10-12,-0.711856488834906,-1.1368775109782303,1.0,-0.2819770157899654,-0.8710641876109502,-0.6699056339344109,0.0
2018-10-15,-0.7109429732380552,-1.1405819438606324,1.0,-0.27770772033067115,-0.8720283966185605,-0.669235439727243,0.0
2018-10-16,-0.7120164455242011,-1.1379181461409082,1.0,-0.2800878340497103,-0.8723603064847691,-0.6697346290413007,0.0
2018-10-17,-0.6936527605672587,-1.094451328652072,1.0,-0.2671531506723576,-0.8630501629262471,-0.671164348983432,0.0
2018-10-18,-0.6940555428046822,-1.095340830846913,1.0,-0.2666513656185449,-0.8629791140693138,-0.6712875831994493,0.0
2018-10-19,-0.6832278336900587,-1.0834282071132566,1.0,-0.2549751810191721,-0.8652488728994945,-0.6671068810055103,0.0
