Date,AKRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-18,1.0,-3.099788327789537,-2.7798609011188384,-10.910190504989416,-9.020260054429997,-3.4290898094950104,0.0
2020-02-19,1.0,-3.1202053760193293,-2.792207792207792,-10.904862579281183,-9.00362428269405,-3.381455753548777,0.0
2020-02-20,1.0,-3.084242424242424,-2.8015151515151517,-10.986060606060605,-9.036060606060605,-3.395454545454545,0.0
2020-02-21,1.0,-3.0018088634308113,-2.8498643352426893,-10.946940006029545,-8.977087729876395,-3.3720229122701237,0.0
2020-02-24,1.0,-2.6301853486319504,-2.797881729920565,-10.850544277728744,-8.827890556045896,-3.3136216534274787,0.0
2020-02-25,1.0,-2.576644633301857,-3.7223796033994336,-12.049417689644319,-8.749763928234183,-3.378029587661316,0.0
2020-02-26,1.0,-2.2635518843572537,-2.725606608156944,-10.140423335054209,-7.2622612287041814,-2.4210118740320086,0.0
2020-02-27,1.0,-2.3788772109715453,-2.632914637272494,-10.022814662906946,-7.25890797231479,-2.3411945654960262,0.0
2020-02-28,1.0,-1.9697109826589598,-3.155606936416185,-8.880231213872834,-6.0520231213872835,-2.0638150289017343,0.0
2020-03-02,1.0,-2.1120018323408156,-2.9340357306459,-8.741181859825927,-6.064590013742557,-2.0522217132386626,0.0
2020-03-03,1.0,-1.6637623762376237,-3.167128712871287,-7.1572277227722765,-5.108712871287128,-1.705148514851485,0.0
2020-03-04,1.0,-1.299540933435348,-3.3915455241009944,-7.31981637337414,-4.784621270084162,-1.3320581484315224,0.0
2020-03-05,1.0,-1.0922084713264772,-3.722328743245599,-6.375806170472372,-4.193480913369357,-1.0468886177444658,0.0
2020-03-06,1.0,-1.004217273954116,-3.638157894736842,-6.37027665317139,-3.937246963562753,-0.9191970310391363,0.0
2020-03-09,1.0,-1.0032072923700202,-3.5860904794058066,-6.467251856853477,-3.947670492910196,-0.8762660364618501,0.0
2020-03-10,1.0,-1.850941176470588,-1.4421176470588233,-4.455764705882353,-2.6622352941176466,-0.35352941176470587,0.0
2020-03-11,1.0,-1.4816628701594534,-1.9444191343963555,-4.528132118451024,-2.368906605922551,-0.0664009111617312,0.0
2020-03-12,1.0,-1.5173347214992192,-1.41634565330557,-4.180530973451328,-2.2891202498698595,-0.00801665799062988,0.0
2020-03-13,1.0,-1.4172723055512602,-0.8997989794340497,-2.5344827586206895,-1.5700479356734187,-0.30995824957476414,0.0
2020-03-16,1.0,-1.1959557053442467,-0.9510282687942776,-2.1813742348167,-1.3398445560217347,-0.2098493706582296,0.0
