Date,EVV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09309479074871556,-0.22995194785760603,-0.0,-0.17644613670751377,-0.1632276407894518,0.0
2018-09-25,1.0,-0.09291380485939034,-0.23011425055295937,-0.0,-0.17656450083983302,-0.1634431491244117,0.0
2018-09-26,1.0,-0.09367463366764799,-0.23082680504964817,-0.0,-0.17658799461104735,-0.16215092393925784,0.0
2018-09-27,1.0,-0.09450743092728664,-0.22907869800844502,-0.0,-0.17666323104032983,-0.1621504804335539,0.0
2018-09-28,1.0,-0.09388094446291985,-0.22986365147988028,-0.0,-0.17675424010641835,-0.16228799467908214,0.0
2018-10-01,1.0,-0.0943898341732781,-0.22942966917818472,-0.0,-0.17710360427789698,-0.16233388220814,0.0
2018-10-02,1.0,-0.09555814340375977,-0.22525370154716354,-0.0,-0.17875561470637166,-0.16403260688737314,0.0
2018-10-03,1.0,-0.09576433386036448,-0.22612964966297744,-0.0,-0.17866355995672797,-0.16375135225097778,0.0
2018-10-04,1.0,-0.09602836407217524,-0.22593048804847193,-0.0,-0.17892336373926362,-0.16365936480458088,0.0
2018-10-05,1.0,-0.09108068281537163,-0.22206400980181132,-0.0,-0.17860158617149857,-0.16396509760418565,0.0
2018-10-08,1.0,-0.09114242660087102,-0.22235837652552617,-0.0,-0.17844309394094948,-0.16400337809866034,0.0
2018-10-09,1.0,-0.0913425718968857,-0.22233811818076457,-0.0,-0.1782645408036557,-0.16371131972383648,0.0
2018-10-10,1.0,-0.09104003178702691,-0.22245952120790702,-0.0,-0.17812324095228635,-0.16393496904076024,0.0
2018-10-11,1.0,-0.07492664580867929,-0.21519931265906916,-0.0,-0.16924149334543745,-0.16173586006776142,0.0
2018-10-12,1.0,-0.07668657624621691,-0.2104116959438902,-0.0,-0.16123556822367052,-0.15297282582587393,0.0
2018-10-15,1.0,-0.07095857156546459,-0.2143769763950554,-0.0,-0.15942121570255854,-0.1523301498067525,0.0
2018-10-16,1.0,-0.06979046888974064,-0.21623866104510026,-0.0,-0.15904880541714575,-0.151957966015076,0.0
2018-10-17,1.0,-0.06354271991911022,-0.2042151162790698,-0.0,-0.15752970171890798,-0.1545911274014156,0.0
2018-10-18,1.0,-0.06312995671269235,-0.203339757970236,-0.0,-0.1586148061550128,-0.15476002401339695,0.0
2018-10-19,1.0,-0.05885305559041285,-0.19880160622411847,-0.0,-0.1576734847534195,-0.15325009411469445,0.0
2018-10-22,1.0,-0.059012740852319084,-0.19869139521747317,-0.0,-0.15787987196384862,-0.15347078390761312,0.0
2018-10-23,1.0,-0.058797683870259076,-0.19872267641658953,-0.0,-0.15808056239898316,-0.15357697679162677,0.0
2018-10-24,1.0,-0.05820785610203219,-0.19749933409585888,-0.0,-0.15770176895476554,-0.1534243141187346,0.0
2018-10-25,1.0,-0.04790226405260818,-0.18227386299186044,-0.0,-0.15952603583855787,-0.14317028680043534,0.0
2018-10-26,1.0,-0.045090853565429835,-0.1799053290578714,-0.0,-0.16036036036036036,-0.1415788670025958,0.0
2018-10-29,1.0,-0.04172751612510648,-0.18003833515881706,-0.0,-0.15808689302665205,-0.14136850432031153,0.0
2018-10-30,1.0,-0.04091690370077423,-0.18001916553853642,-0.0,-0.1581004821806124,-0.14202272485283604,0.0
2018-10-31,1.0,-0.042191855532662706,-0.17476669494606714,-0.0,-0.15737486365289055,-0.14061931887043994,0.0
2018-11-01,1.0,-0.040767495040358606,-0.1757908924325716,-0.0,-0.15725470598034316,-0.14058122453924554,0.0
