Date,IWF,IWM,MTUM,PTC,SPY,VLUE,VXX
2018-09-24,-0.4346417627316504,-0.6419962060411498,-0.3536845177294616,1.0,-0.33795418065080984,-0.15012403327010068,0.0
2018-09-25,-0.4358443225580581,-0.6407107013653869,-0.35570078188820164,1.0,-0.33682460030341926,-0.14838370871746995,0.0
2018-09-26,-0.43767523364485983,-0.6433703271028038,-0.3589369158878505,1.0,-0.3366822429906542,-0.1438960280373832,0.0
2018-09-27,-0.43957038204477134,-0.6380935703236728,-0.36038875755187816,1.0,-0.33674809561334385,-0.14379943379155358,0.0
2018-09-28,-0.44051268576099967,-0.6374704388193047,-0.36025225540860123,1.0,-0.337099646725643,-0.14425856179381624,0.0
2018-10-01,-0.44104765241765936,-0.6367963092735343,-0.3601086194814295,1.0,-0.3375087596355991,-0.14444639103013315,0.0
2018-10-02,-0.4409205069797325,-0.6374919689270487,-0.35982127212195547,1.0,-0.33748028736639213,-0.14467612873079844,0.0
2018-10-03,-0.4421804555301833,-0.6460858364072838,-0.36070613033549975,1.0,-0.33664148954856843,-0.14195796006791966,0.0
2018-10-04,-0.4445842722935994,-0.6415464309754455,-0.36097047030934476,1.0,-0.340015803798765,-0.1395124235418069,0.0
2018-10-05,-0.4480414847801248,-0.6467348313948378,-0.3624058828699499,1.0,-0.3382943192804617,-0.1342688893446225,0.0
2018-10-08,-0.44710666432625357,-0.6449008249956117,-0.3607746767304429,1.0,-0.3395061728395062,-0.13325726990813877,0.0
2018-10-09,-0.45111834198106293,-0.6464984023685986,-0.3680415091021018,1.0,-0.33708556855157856,-0.1286606279131123,0.0
2018-10-10,-0.45274944307656223,-0.6452397701958025,-0.36994372142103404,1.0,-0.33787665611443307,-0.1253663969984758,0.0
2018-10-11,-0.4673738634337672,-0.657752421703215,-0.380608545789505,1.0,-0.34560527723301837,-0.12004516550781481,0.0
2018-10-12,-0.47828643674105437,-0.6540825027197082,-0.38399341389550434,1.0,-0.3278939166740172,-0.09593954896945105,0.0
2018-10-15,-0.49146878788774867,-0.6421030842475678,-0.39728538900552973,1.0,-0.33143093710264065,-0.09483395925126416,0.0
2018-10-16,-0.49021115514284025,-0.647098834802153,-0.39347607499852133,1.0,-0.33169693026557046,-0.09487194653102264,0.0
2018-10-17,-0.4870685850472239,-0.638891340806779,-0.3915320563744961,1.0,-0.32992026363021154,-0.09485979933503987,0.0
2018-10-18,-0.48959316037735845,-0.6438679245283019,-0.3893573113207547,1.0,-0.32909787735849055,-0.09622641509433963,0.0
2018-10-19,-0.48991057771502533,-0.6446052476761972,-0.3892516766678433,1.0,-0.3273914578185669,-0.09036357218496294,0.0
2018-10-22,-0.48802783675395145,-0.6527777777777779,-0.3959660297239916,1.0,-0.3237791932059448,-0.08825784383109224,0.0
2018-10-23,-0.4881759745237955,-0.6526803090169252,-0.3963260010615085,1.0,-0.32343574924809815,-0.08801674824556231,0.0
2018-10-24,-0.48831789486105376,-0.6552598973390761,-0.3977225795032155,1.0,-0.3229099061891557,-0.0858457726119535,0.0
2018-10-25,-0.4882687155936295,-0.6551856104094911,-0.3981571432776944,1.0,-0.3214695752009185,-0.08077953428125643,0.0
2018-10-26,-0.4758471947292227,-0.6613880107542767,-0.36080007090731825,1.0,-0.3637840872160014,-0.09265222914881674,0.0
2018-10-29,-0.479585798816568,-0.6625443786982248,-0.3620118343195266,1.0,-0.3657988165680473,-0.08863905325443787,0.0
2018-10-30,-0.4762764006389398,-0.6629592380050878,-0.3597882032775247,1.0,-0.36653256818316277,-0.09249837306986924,0.0
2018-10-31,-0.4824509746186915,-0.6431600023555739,-0.36069724986749896,1.0,-0.3679995288852247,-0.09013014545668689,0.0
2018-11-01,-0.4963687564843634,-0.6323995850007411,-0.3721061212390692,1.0,-0.37083148065807026,-0.09257447754557582,0.0
2018-11-02,-0.49325960245105366,-0.6524286354804961,-0.3729487371095501,1.0,-0.3706172470482738,-0.09980570916156031,0.0
2018-11-05,-0.49117040666925627,-0.6579316939074311,-0.3729345325245764,1.0,-0.370932560432665,-0.09504885409507872,0.0
2018-11-06,-0.5095127889152715,-0.6765050644705599,-0.36145592257521564,1.0,-0.3703525592858645,-0.08782423131255447,0.0
2018-11-07,-0.5070287156073532,-0.6761984861227922,-0.36549321158236214,1.0,-0.3680764147542953,-0.08695782770635588,0.0
