Date,IWF,IWM,MTUM,SKT,SPY,VLUE,VXX
2018-09-24,-0.4156548793443618,-0.9126195173774472,-0.0,1.0,-0.760282288662923,-0.705645773258461,0.0
2018-09-25,-0.4138089230416332,-0.9239209389455977,-0.0,1.0,-0.7690484382765607,-0.7162518637458423,0.0
2018-09-26,-0.4198634340954427,-0.93183213134878,-0.0,1.0,-0.7722878625134264,-0.7121374865735768,0.0
2018-09-27,-0.42233716475095784,-0.9253256704980842,-0.0,1.0,-0.7720689655172414,-0.7116858237547893,0.0
2018-09-28,-0.42018095384143533,-0.92857690538261,-0.0,1.0,-0.7725808925011501,-0.7124290752952,0.0
2018-10-01,-0.42050611491423745,-0.9350434581955236,-0.0,1.0,-0.7746327205599569,-0.7156372586724099,0.0
2018-10-02,-0.42012705299039355,-0.9655639913232104,-0.0,1.0,-0.7737837000309885,-0.7140920359466998,0.0
2018-10-03,-0.4196570278326172,-0.9615220841559246,-0.0,1.0,-0.7742809584639802,-0.7155963302752293,0.0
2018-10-04,-0.42642898663049794,-0.9541561712846347,-0.0,1.0,-0.7831815539624104,-0.7114125169540786,0.0
2018-10-05,-0.4197478341584158,-0.9532023514851485,-0.0,1.0,-0.783493193069307,-0.711092202970297,0.0
2018-10-08,-0.4169869182096968,-0.9534567757462832,-0.0,1.0,-0.7962812002639649,-0.7150731726252864,0.0
2018-10-09,-0.409466947631312,-0.9589089206274878,-0.0,1.0,-0.8058612346835246,-0.7280886599547335,0.0
2018-10-10,-0.4093710986267166,-0.958645443196005,-0.0,1.0,-0.8059066791510612,-0.7274500624219725,0.0
2018-10-11,-0.31154716981132075,-0.9449056603773585,-0.0,1.0,-0.7761132075471697,-0.7410566037735848,0.0
2018-10-12,-0.3224953445065177,-0.9382495344506516,-0.0,1.0,-0.7519180633147112,-0.7116945996275605,0.0
2018-10-15,-0.2814250504145194,-0.9859212786615879,-0.0,1.0,-0.749159758010307,-0.7179027559937261,0.0
2018-10-16,-0.27626662681213576,-0.9952921835301152,-0.0,1.0,-0.7480197279928261,-0.7167837393513676,0.0
2018-10-17,-0.24966192756112712,-0.9451043456014033,-0.0,1.0,-0.7379481744088301,-0.7221227294324037,0.0
2018-10-18,-0.24947006797748705,-0.945106351874863,-0.0,1.0,-0.7380308456984139,-0.7221328850230246,0.0
2018-10-19,-0.22675704084961398,-0.9306245242669178,-0.0,1.0,-0.74348472217188,-0.7237667186197396,0.0
2018-10-22,-0.22762483179983273,-0.9180274211732189,-0.0,1.0,-0.7559006437065863,-0.7352438447830673,0.0
2018-10-23,-0.22489974480495808,-0.9206343419613562,-0.0,1.0,-0.7611009843237332,-0.739008384979949,0.0
2018-10-24,-0.22225459843380074,-0.9156802039701329,-0.0,1.0,-0.762411218357312,-0.7419777818248042,0.0
2018-10-25,-0.1753413119011687,-0.8562102972659952,-0.0,1.0,-0.7750324641139928,-0.703049871898361,0.0
2018-10-26,-0.16546962284445368,-0.8414003677873771,-0.0,1.0,-0.7706880399708546,-0.6921342076957773,0.0
2018-10-29,-0.14855172413793105,-0.844448275862069,-0.0,1.0,-0.7621724137931035,-0.6931034482758621,0.0
2018-10-30,-0.11474493361285815,-0.8618448637316561,-0.0,1.0,-0.779559748427673,-0.7379105520614954,0.0
2018-10-31,-0.11594404621059225,-0.8537128540608253,-0.0,1.0,-0.7759760595726911,-0.7341151089150253,0.0
2018-11-01,-0.07657942873223583,-0.9029477979456874,-0.0,1.0,-0.7895736597720557,-0.7485929365414381,0.0
2018-11-02,-0.08212341197822141,-0.8707943599050677,-0.0,1.0,-0.7959304760575178,-0.741309507189725,0.0
2018-11-05,-0.07330064552541535,-0.9167871882606089,-0.0,1.0,-0.8114571942572929,-0.7259515326819288,0.0
2018-11-06,-0.0797134690708917,-0.922156745121564,-0.0,1.0,-0.8074032252373056,-0.7194325840714211,0.0
2018-11-07,-0.07876181074601607,-0.9222253560851783,-0.0,1.0,-0.8057044140459738,-0.7188689888591172,0.0
2018-11-08,-0.05856295779560516,-0.9175095919079177,-0.0,1.0,-0.7942797349145448,-0.7176142309033833,0.0
2018-11-09,-0.0578486444994941,-0.9177977041973414,-0.0,1.0,-0.7958201039740413,-0.7176302292313598,0.0
2018-11-12,-0.05676492032079992,-0.8979272992396626,-0.0,1.0,-0.8032843800992951,-0.7138839704197479,0.0
2018-11-13,-0.019349498154727002,-0.8991135791397924,-0.0,1.0,-0.8153692270548063,-0.7152761011278584,0.0
2018-11-14,-0.021195070592702543,-0.8988228796299492,-0.0,1.0,-0.816597052021126,-0.7153854119921296,0.0
2018-11-15,-0.019793103448275864,-0.8986206896551725,-0.0,1.0,-0.8170000000000001,-0.7128275862068966,0.0
2018-11-16,-0.014234998104298074,-0.8876710440147519,-0.0,1.0,-0.8193568400372246,-0.7254678937028228,0.0
2018-11-19,-0.014062661565505119,-0.8877399786302692,-0.0,1.0,-0.8194602419605004,-0.7255023610105815,0.0
2018-11-20,-0.0,-0.8697797115351674,-0.0,1.0,-0.8126006372263525,-0.7435677823837747,0.0
2018-11-21,-0.0,-0.8613858033053374,-0.0,1.0,-0.8084191276076944,-0.7168111622866432,0.0
2018-11-23,-0.0,-0.8477488752832933,-0.0,1.0,-0.8156817643676216,-0.7191759970233061,0.0
2018-11-26,-0.0,-0.8507048919841781,-0.0,1.0,-0.8132796916731465,-0.7168261266439028,0.0
2018-11-27,-0.0,-0.8495212497900216,-0.0,1.0,-0.8026877204770703,-0.7074752225768519,0.0
2018-11-28,-0.0,-0.8487149336469006,-0.0,1.0,-0.8031244750545943,-0.7078111876364858,0.0
2018-11-29,-0.0,-0.826502822982398,-0.0,1.0,-0.7871471272002657,-0.7074726004649619,0.0
2018-11-30,-0.0,-0.8273823363337429,-0.0,1.0,-0.7890855947121932,-0.7049855515328661,0.0
2018-12-03,-0.0,-0.8268994589570817,-0.0,1.0,-0.7881966342483487,-0.70418561423308,0.0
2018-12-04,-0.0,-0.8264263271043493,-0.0,1.0,-0.7812799735405986,-0.6997519431122871,0.0
2018-12-06,-0.0,-0.7596110791274867,-0.0,1.0,-0.7728842832469776,-0.6658350924326745,0.0
2018-12-07,-0.0,-0.7741956366932091,-0.0,1.0,-0.7941347834530977,-0.6685440538615912,0.0
