Date,HCM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0135252422971215,-2.0970635035440472,-0.018588167221177492,-1.6556487776652684,-1.447924200781137,0.0
2018-09-25,1.0,-1.017784846732215,-2.0926836321573163,-0.025737420474262578,-1.6517495662232504,-1.441657027183343,0.0
2018-09-26,1.0,-1.0209177764910249,-2.0972785176606834,-0.03018239722061378,-1.6525767226404169,-1.4370295309785754,0.0
2018-09-27,1.0,-1.058905927455028,-2.1074166912415215,-0.043276319669713945,-1.6915364199351224,-1.471321144205249,0.0
2018-09-28,1.0,-1.0985225388210462,-2.1470676918438114,-0.04892205638474295,-1.7334539424091662,-1.5101010101010102,0.0
2018-10-01,1.0,-1.098515112685611,-2.146378231702721,-0.049747493781563276,-1.733021783372277,-1.5098364362704453,0.0
2018-10-02,1.0,-1.1056369956173493,-2.1182560072540424,-0.06301949523953453,-1.7458818195556898,-1.5235756385068762,0.0
2018-10-03,1.0,-1.1054619626803657,-2.116491652187052,-0.06413839993956334,-1.7451084082496036,-1.5233814308378033,0.0
2018-10-04,1.0,-1.1058388654194327,-2.108931804465902,-0.06615872057936029,-1.7441158720579357,-1.5187085093542545,0.0
2018-10-05,1.0,-1.0780666367847003,-2.086881816823547,-0.036231884057971016,-1.7469744509188705,-1.52233676975945,0.0
2018-10-08,1.0,-1.0710622166059613,-2.073961198245744,-0.03069947223667583,-1.7431056269976954,-1.5144577417676355,0.0
2018-10-09,1.0,-1.0698676973390815,-2.0746246469451464,-0.027278132897279622,-1.7446855953619742,-1.516277686933254,0.0
2018-10-10,1.0,-1.0713065438609521,-2.071677932110228,-0.028819728143801532,-1.7450791056970958,-1.5108816757037808,0.0
2018-10-11,1.0,-0.8843009851184237,-1.9855376231398028,-0.0,-1.6413749738000418,-1.475511772514497,0.0
2018-10-12,1.0,-0.8942248407206962,-1.9595122285401112,-0.0,-1.5870384325546347,-1.4099472494348155,0.0
2018-10-15,1.0,-0.837752870420995,-2.011481683980317,-0.0,-1.5756560962274466,-1.409513395297977,0.0
2018-10-16,1.0,-0.8313401216428621,-2.021663363630151,-0.0,-1.5734299186769631,-1.4074352490945126,0.0
2018-10-17,1.0,-0.7728588343638996,-1.8996842520720958,-0.0,-1.5231548480463097,-1.382383896855677,0.0
2018-10-18,1.0,-0.7766133846255887,-1.909133116667772,-0.0,-1.5479870000663263,-1.3989520461630298,0.0
2018-10-19,1.0,-0.737910330875155,-1.8711087907067807,-0.0,-1.5362526920315864,-1.3808653657899888,0.0
2018-10-22,1.0,-0.7384575197544571,-1.8543067981453667,-0.0,-1.5467903088878732,-1.3909096845817281,0.0
2018-10-23,1.0,-0.7407963446475195,-1.8535900783289816,-0.0,-1.543994778067885,-1.3890339425587466,0.0
2018-10-24,1.0,-0.7362143136488072,-1.8451961934558727,-0.0,-1.544909399035328,-1.3917351062442966,0.0
2018-10-25,1.0,-0.646768997536479,-1.7478996904807025,-0.0,-1.5910555239719537,-1.330932979596993,0.0
2018-10-26,1.0,-0.6004004755647331,-1.724047306176084,-0.0,-1.6161066266191102,-1.3169388649020712,0.0
2018-10-29,1.0,-0.5523927905531386,-1.7421379738968306,-0.0,-1.5948415164698573,-1.3256681168427595,0.0
