Date,COLM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32022555275263387,-0.7966167087104911,-0.10051936489093335,-0.40189939160112775,-0.3485383588069446,0.0
2018-09-25,1.0,-0.3196614196614197,-0.7978912978912979,-0.09916839916839917,-0.4031185031185031,-0.35016335016335015,0.0
2018-09-26,1.0,-0.31991921831843423,-0.7982239909714591,-0.0997891360517953,-0.4028986368091236,-0.34908378129547685,0.0
2018-09-27,1.0,-0.3256519282804555,-0.788914989146918,-0.10291100472778092,-0.40525110760905114,-0.35071808747881417,0.0
2018-09-28,1.0,-0.3282031436056204,-0.7880447725648965,-0.10279233150750178,-0.4062872112407716,-0.3516015718028102,0.0
2018-10-01,1.0,-0.32822268532301285,-0.7879130693658828,-0.10297707651086635,-0.406281631437928,-0.3516820482286395,0.0
2018-10-02,1.0,-0.32939355146029947,-0.7773675905802495,-0.10673137038911548,-0.4089731757420584,-0.3546994551787787,0.0
2018-10-03,1.0,-0.33467657053498934,-0.8018825369139627,-0.10889243075812709,-0.4106095690614381,-0.35118635912549245,0.0
2018-10-04,1.0,-0.33375508359692724,-0.805964753727971,-0.10893206808254254,-0.40954963096851926,-0.3543304714565446,0.0
2018-10-05,1.0,-0.33461932605943695,-0.8115317378986074,-0.1065163662668033,-0.4090361082645126,-0.3523419133160528,0.0
2018-10-08,1.0,-0.3330925942643917,-0.8090337335620355,-0.1031566910414974,-0.41211519364448856,-0.3518702416418405,0.0
2018-10-09,1.0,-0.3321396328618718,-0.8095395726752935,-0.1006018657839302,-0.4133915136924466,-0.3536262413481794,0.0
2018-10-10,1.0,-0.33250105288490467,-0.8090367607243849,-0.10107695084531616,-0.4134528608386981,-0.35220504181457196,0.0
2018-10-11,1.0,-0.3126089139616623,-0.8102017308089908,-0.07570074135333905,-0.40360929792952716,-0.35147827627964673,0.0
2018-10-12,1.0,-0.3195235175615311,-0.807772035852968,-0.07395404513736825,-0.38682082274970075,-0.3315523634346442,0.0
2018-10-15,1.0,-0.32283901897161565,-0.8055190154637669,-0.07635417580168961,-0.38761729369464176,-0.33087783916513197,0.0
2018-10-16,1.0,-0.3213053394935376,-0.8124159307561846,-0.07129071875548278,-0.3881221124042341,-0.3310135095619627,0.0
