Date,ADTN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.492760985521971,-1.155956311912624,-0.02785538904411142,-0.8108966217932435,-0.7458301583269833,0.0
2018-09-25,1.0,-0.4923638214831155,-1.1600627863566944,-0.02524181231970134,-0.8144408620397081,-0.7502121160699134,0.0
2018-09-26,1.0,-0.49227831989817566,-1.1601187950784897,-0.02481968604157828,-0.8146796775562155,-0.7507848960543063,0.0
2018-09-27,1.0,-0.4940044913351129,-1.1528325070971568,-0.026736155247658995,-0.8137790771577476,-0.7497563662556671,0.0
2018-09-28,1.0,-0.49354727695087325,-1.1836444979781469,-0.028262926955175086,-0.830551492729932,-0.7658521896240214,0.0
2018-10-01,1.0,-0.4931972789115646,-1.1857831740291054,-0.028933092224231467,-0.8307930767243606,-0.7668130543356584,0.0
2018-10-02,1.0,-0.49375914607902216,-1.1794353103210813,-0.031591632951708706,-0.8314539037617285,-0.767840234139623,0.0
2018-10-03,1.0,-0.49602420051858254,-1.165341400172861,-0.028262748487467588,-0.8451166810717373,-0.7867761452031116,0.0
2018-10-04,1.0,-0.4975605543802081,-1.1604852985622383,-0.02914381935149605,-0.8465523941107896,-0.7838608004835714,0.0
2018-10-05,1.0,-0.48518295825459545,-1.1544408177289125,-0.015203573269197733,-0.8509706236041918,-0.7889967359560214,0.0
2018-10-08,1.0,-0.4838529828022473,-1.152463867564438,-0.013766779602864864,-0.8508384440536948,-0.7877943131620706,0.0
2018-10-09,1.0,-0.48513322177886475,-1.1532157720856395,-0.015917964560003432,-0.8500879564079461,-0.7862015703436736,0.0
2018-10-10,1.0,-0.49382982395581637,-1.15714532274767,-0.02105626510182948,-0.8597687262685537,-0.7830082844321712,0.0
2018-10-11,1.0,-0.410221337975628,-1.1325955400812402,-0.0,-0.8215618005471276,-0.7804857829727265,0.0
2018-10-12,1.0,-0.41712887438825447,-1.121451876019576,-0.0,-0.7926590538336052,-0.7470228384991844,0.0
2018-10-15,1.0,-0.38870593974874984,-1.1454648940927756,-0.0,-0.7856649184859943,-0.7457413505712079,0.0
2018-10-16,1.0,-0.3837989508356716,-1.1538367695498353,-0.0,-0.784392663982758,-0.7444593550485951,0.0
2018-10-17,1.0,-0.3758756743699171,-1.133786939367099,-0.0,-0.7760286657540866,-0.7403977775988405,0.0
2018-10-18,1.0,-0.52544080604534,-1.4870528967254408,-0.0,-1.018387909319899,-1.0069017632241812,0.0
