Date,EVRG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26458048647171356,-0.5936594698004919,-0.0,-0.5151954085815796,-0.35952446023503687,0.0
2018-09-25,1.0,-0.26509645335810694,-0.5932564621017542,-0.0,-0.5149188480244822,-0.3590906606918411,0.0
2018-09-26,1.0,-0.26373325296583466,-0.593797090331242,-0.0,-0.5170826597988987,-0.3652154853557632,0.0
2018-09-27,1.0,-0.2629757785467128,-0.598698302850552,-0.0,-0.5181248970176305,-0.36639753940792,0.0
2018-09-28,1.0,-0.26256384906903935,-0.5991102323282254,-0.0,-0.5180150491569177,-0.3665073872686329,0.0
2018-10-01,1.0,-0.26235689123734035,-0.6027355790400705,-0.0,-0.5187967855570234,-0.36822985468956404,0.0
2018-10-02,1.0,-0.2649398552120895,-0.5934377494563572,-0.0,-0.5222549478378156,-0.37198931982713535,0.0
2018-10-03,1.0,-0.2643171806167401,-0.5848017621145374,-0.0,-0.5258810572687225,-0.3783039647577092,0.0
2018-10-04,1.0,-0.27052007173403225,-0.5790315905642157,-0.0,-0.5343909504759278,-0.37508621878879844,0.0
2018-10-05,1.0,-0.25299648119639323,-0.5699362216846273,-0.0,-0.5423356058939961,-0.3838244996701122,0.0
2018-10-08,1.0,-0.24995877082073553,-0.5672035622010885,-0.0,-0.5475784728712001,-0.3838986311912484,0.0
2018-10-09,1.0,-0.24605226960110044,-0.5675653370013755,-0.0,-0.5498762035763411,-0.38753782668500686,0.0
2018-10-10,1.0,-0.24808120821985638,-0.5666694176226239,-0.0,-0.5513465929410469,-0.38488624797117,0.0
2018-10-11,1.0,-0.18798969482882258,-0.5509813816366099,-0.0,-0.5305835170380601,-0.3864439191522137,0.0
2018-10-12,1.0,-0.18932559294997517,-0.5414345859156403,-0.0,-0.5165659893831228,-0.36766820951334955,0.0
2018-10-15,1.0,-0.17207580615729517,-0.5552774953729048,-0.0,-0.5128646281379526,-0.3666223508250567,0.0
2018-10-16,1.0,-0.169620979093895,-0.5591992075491371,-0.0,-0.5120692351806475,-0.3658568374954382,0.0
2018-10-17,1.0,-0.1533481743046493,-0.5278524090990507,-0.0,-0.5071006371382514,-0.3704869373864538,0.0
2018-10-18,1.0,-0.15321239413555765,-0.5277998106593659,-0.0,-0.5072026200649898,-0.3704423918327661,0.0
2018-10-19,1.0,-0.13827141697117337,-0.5166717417783192,-0.0,-0.512154892407633,-0.37048315062931386,0.0
2018-10-22,1.0,-0.13847876998269013,-0.5068221158741472,-0.0,-0.5212045616535994,-0.3790601771713674,0.0
2018-10-23,1.0,-0.13857353764699895,-0.5067963142086239,-0.0,-0.5210762103548338,-0.37898997098202925,0.0
2018-10-24,1.0,-0.13714619942527273,-0.5058617094321389,-0.0,-0.5213742593393179,-0.3786333697835872,0.0
