Date,IWF,IWM,MTUM,SPY,SU,VLUE,VXX
2018-09-24,-0.2649526982430776,-0.6376151114184241,-0.05710783543388754,-0.5893076028538202,1.0,-0.5939592041990132,0.0
2018-09-25,-0.27055193476275935,-0.636472403261862,-0.06378892352255912,-0.5878278391738295,1.0,-0.5898743742325493,0.0
2018-09-26,-0.27045993361782833,-0.6385648806701437,-0.05832147937411095,-0.5928560139086454,1.0,-0.6008850956219377,0.0
2018-09-27,-0.27345675112150125,-0.6313262146964048,-0.06046629177986985,-0.5931003980539584,1.0,-0.6008087445504517,0.0
2018-09-28,-0.27564183634754014,-0.6306437334007841,-0.060515998482357405,-0.5937144302516757,1.0,-0.6012394081193878,0.0
2018-10-01,-0.28003172085646316,-0.6308961141950834,-0.0596669310071372,-0.5980967486122125,1.0,-0.6033624107850912,0.0
2018-10-02,-0.2883355176933159,-0.6016686379183582,-0.07208387942332897,-0.614551034107982,1.0,-0.6199852955279226,0.0
2018-10-03,-0.28896851804453544,-0.6051958024059381,-0.07272203736882518,-0.6139621192730995,1.0,-0.6185372408497568,0.0
2018-10-04,-0.2890602502159793,-0.6053498864109046,-0.07311298115380924,-0.6136690877675743,1.0,-0.6185326208683967,0.0
2018-10-05,-0.2744284072039852,-0.5980648869587432,-0.058276919146762036,-0.6275067058372716,1.0,-0.6349789245114319,0.0
2018-10-08,-0.27509353116106544,-0.6001023246890289,-0.058548908003709266,-0.6277939436574681,1.0,-0.6360758481757427,0.0
2018-10-09,-0.2742533734092217,-0.6003069642514548,-0.056468632090554444,-0.6289249856110507,1.0,-0.637622306068939,0.0
2018-10-10,-0.27409917830994024,-0.6002813569076318,-0.05617546439875947,-0.6290884675640247,1.0,-0.6375931195447133,0.0
2018-10-11,-0.2474921630094044,-0.5929467084639499,-0.024858934169278996,-0.6239811912225706,1.0,-0.6455172413793103,0.0
2018-10-12,-0.24381048133718738,-0.5974299359054921,-0.017280382053537765,-0.6312052281010431,1.0,-0.6521930375769762,0.0
2018-10-15,-0.24944082159846268,-0.5910279431685727,-0.022146615001732664,-0.6343130768988439,1.0,-0.653403900072457,0.0
2018-10-16,-0.24744640605296345,-0.6011979823455234,-0.014974779319041615,-0.6352774274905423,1.0,-0.65375157629256,0.0
2018-10-17,-0.2315382938300059,-0.5666988507179119,-0.0,-0.6416669262154671,1.0,-0.6746503877659077,0.0
2018-10-18,-0.23311485642946317,-0.5715043695380774,-0.0,-0.6405430711610487,1.0,-0.675936329588015,0.0
2018-10-19,-0.22214981691801652,-0.5630546763482902,-0.0,-0.6416558058710358,1.0,-0.6762551976664806,0.0
2018-10-22,-0.22208429023648438,-0.5544348581714357,-0.0,-0.6464216994599963,1.0,-0.6804977965365278,0.0
2018-10-23,-0.2217566728739913,-0.5545003103662323,-0.0,-0.6467411545623837,1.0,-0.6806952203600248,0.0
2018-10-24,-0.2219240490529535,-0.5647330483352576,-0.0,-0.6509189627734266,1.0,-0.6828408275345587,0.0
