Date,IWF,IWM,MTUM,SPY,TU,VLUE,VXX
2018-09-24,-0.17878089228653482,-0.3080532297860292,-0.0,-0.30026695789345953,1.0,-0.23530720381830683,0.0
2018-09-25,-0.1767449405848238,-0.3106622865717646,-0.0,-0.3022062700247394,1.0,-0.23820821673358478,0.0
2018-09-26,-0.17602905077800093,-0.31026717789544156,-0.0,-0.30249731199156066,1.0,-0.23991236078144973,0.0
2018-09-27,-0.18299336346239975,-0.3034485566548593,-0.0,-0.3064207483408656,1.0,-0.24288506168315624,0.0
2018-09-28,-0.18415530974352706,-0.30304141457352973,-0.0,-0.30674896616349895,1.0,-0.24317056774430118,0.0
2018-10-01,-0.18458529429741458,-0.302609864922682,-0.0,-0.306990200273007,1.0,-0.243179919727808,0.0
2018-10-02,-0.18397813717292436,-0.30746640017947097,-0.0,-0.3058960292048213,1.0,-0.24210225766320642,0.0
2018-10-03,-0.1844624522871548,-0.30997530158600556,-0.0,-0.30556632850931803,1.0,-0.24118715682472291,0.0
2018-10-04,-0.19089474870407933,-0.30487430081750566,-0.0,-0.3148318888684,1.0,-0.23828549183518757,0.0
2018-10-05,-0.18662094024945394,-0.30159021781288914,-0.0,-0.315083593606467,1.0,-0.23806315961377508,0.0
2018-10-08,-0.18501762751930875,-0.2994436632634346,-0.0,-0.31617452263047424,1.0,-0.23724806912433005,0.0
2018-10-09,-0.18915222405944435,-0.3011207054932941,-0.0,-0.3158184824545287,1.0,-0.2352460856962051,0.0
2018-10-10,-0.1884931171112291,-0.30184632980678894,-0.0,-0.31573465136228096,1.0,-0.2363465544708141,0.0
2018-10-11,-0.17412204835270925,-0.2948429140351583,-0.0,-0.30930447725169957,1.0,-0.23307454040790054,0.0
2018-10-12,-0.17596592153193863,-0.2895276389911818,-0.0,-0.30184923462786395,1.0,-0.22322192806099092,0.0
2018-10-15,-0.16482665501767207,-0.2987768555657043,-0.0,-0.29931297406774954,1.0,-0.2226877407569199,0.0
2018-10-16,-0.15925645822553036,-0.3100147275405007,-0.0,-0.2988297575926442,1.0,-0.222087330334753,0.0
2018-10-17,-0.15487669933607337,-0.3012764780271894,-0.0,-0.2970874170091686,1.0,-0.22275134366108126,0.0
2018-10-18,-0.15480824326727394,-0.30119934401612297,-0.0,-0.29712908261049975,1.0,-0.22271838137954203,0.0
2018-10-19,-0.1488372093023256,-0.2951820233539398,-0.0,-0.29753704248847024,1.0,-0.2209596702973212,0.0
