Date,IWF,IWM,MTUM,SDY,SHAK,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.33545647558386416,-0.0,-0.4374886260236579,1.0,-0.0,-1.364695177434031,-0.0,-0.2103124052168638,-0.5817409766454352,-0.0,-0.0,-0.0,-0.0,-0.4021838034576888,-0.0,-1.286866848650288,-0.44731574158325754,-0.0
2019-01-03,-0.0,-0.3565044087450175,-0.0,-0.4190119579659379,1.0,-0.0,-1.329025244594758,-0.0,-0.22212827636187946,-0.6052663365140718,-0.0,-0.0,-0.0,-0.0,-0.42281676530982004,-0.0,-1.2747312477352337,-0.40995289286145664,-0.0
2019-01-04,-0.0,-0.3872481203007519,-0.0,-0.4322406015037593,1.0,-0.0,-1.2824661654135339,-0.0,-0.13106766917293233,-0.6308571428571428,-0.035849624060150374,-0.0,-0.0,-0.0,-0.4551578947368421,-0.0,-1.3030977443609022,-0.3571127819548872,-0.0
2019-01-07,-0.0,-0.2946096121899524,-0.0,-0.5601764335223692,1.0,-0.0,-1.3824253880964654,-0.0,-0.005900211949361288,-0.5470012029558343,-0.032365240304748806,-0.0,-0.0,-0.0,-0.37681159420289856,-0.0,-1.1518015695709458,-0.3773271467033282,-0.0
2019-01-08,-0.0,-0.35019298346678956,-0.0,-0.537185321735123,1.0,-0.0,-1.3868886456593121,-0.0,-0.0,-0.5336136874243909,-0.052307160550722966,-0.0,-0.0,-0.0,-0.3638458436545884,-0.038999942392994986,-1.1439022985195,-0.3537646177775218,-0.0
2019-01-09,-0.0,-0.3150645950714245,-0.0,-0.512036878948267,1.0,-0.0,-1.4253030561721016,-0.0,-0.0,-0.5040122929827556,-0.062489329008024584,-0.0,-0.0,-0.0,-0.37243184793125034,-0.013260486028114507,-1.0985145979170223,-0.38813954811905976,-0.0
2019-01-10,-0.0,-0.32200500113662195,-0.0,-0.5106842464196408,1.0,-0.0,-1.42100477381223,-0.0,-0.0,-0.4951693566719709,-0.07223232552852922,-0.0,-0.0,-0.0,-0.35508070015912707,-0.017674471470788815,-1.096271879972721,-0.3930438736076381,-0.0
2019-01-11,-0.0,-0.3120379253908234,-0.0,-0.5018906258818218,1.0,-0.0,-1.3973700547434957,-0.0,-0.0,-0.49856086686607604,-0.07364975450081834,-0.0,-0.0,-0.0,-0.3655962526101925,-0.004063434731079633,-1.0771488232970259,-0.41339804729386537,-0.0
2019-01-14,-0.0,-0.32246765719450876,-0.0,-0.4910457036325631,1.0,-0.0,-1.403084571493136,-0.0,-0.0,-0.484718377492797,-0.06852720185300265,-0.0,-0.0,-0.0,-0.38178633975481613,-0.010225410993729167,-1.0634992373312242,-0.4240438393311112,-0.0
2019-01-15,-0.0,-0.24497543546225994,-0.0,-0.5576708351942832,1.0,-0.0,-1.4149173738276015,-0.0,-0.0,-0.48509379187137114,-0.09479678427869584,-0.0,-0.0,-0.0,-0.4138008039303261,-0.08229120142920947,-0.9015743635551585,-0.38772889682894146,-0.0
2019-01-16,-0.0,-0.23707373943456717,-0.0,-0.7084232002331682,1.0,-0.0,-1.5622267560477996,-0.0,-0.16613232293791896,-0.38688429029437477,-0.11629262605654327,-0.0,-0.0,-0.0,-0.4671524336928009,-0.05980763625765083,-0.9322063538327018,-0.19300495482366656,-0.0
2019-01-17,-0.0,-0.16612339240206248,-0.0,-0.6948971729982812,1.0,-0.0,-1.6221774432525338,-0.0,-0.15640372192259824,-0.4351923190896699,-0.11965862620755052,-0.0,-0.0,-0.0,-0.5704972441178214,-0.022936051680199136,-0.9392520595033487,-0.19937177739583953,-0.0
2019-01-18,-0.0,-0.15991938829944877,-0.0,-0.7188666943275444,1.0,-0.0,-1.634876415150258,-0.0,-0.09803805346452492,-0.4690296959279237,-0.11712405903621599,-0.0,-0.0,-0.0,-0.5884654140240649,-0.012091755082686267,-0.9432754430679865,-0.18570327781400034,-0.0
2019-01-22,-0.0,-0.14865511057979677,-0.0,-0.7527794381350866,1.0,-0.0,-1.6752540346682607,-0.0,-0.10023909145248057,-0.4618649133293485,-0.12080095636580991,-0.0,-0.0,-0.0,-0.6053795576808129,-0.0,-0.9411835026897788,-0.1711297071129707,-0.0
