Date,CVLG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-03,1.0,-0.7812185527399139,-0.7462263287896808,-0.7202451742749977,-0.7680450096057085,-0.5583661147196047,0.0
2020-09-04,1.0,-0.7665104000728233,-0.7498520777388377,-0.7038823904237405,-0.7659187110281735,-0.565336124891903,0.0
2020-09-08,1.0,-0.764778156996587,-0.749806598407281,-0.7027986348122867,-0.7654152445961319,-0.5678270762229807,0.0
2020-09-09,1.0,-0.7576692684697767,-0.7523597749137774,-0.6933654020693412,-0.7627972408785623,-0.5718369940098021,0.0
2020-09-10,1.0,-0.7542937417863778,-0.7532514614582861,-0.6882675488285674,-0.7619975529070557,-0.5738432954184982,0.0
2020-09-11,1.0,-0.7525353132922855,-0.7536671495834844,-0.6870699022093445,-0.7607298080405651,-0.5733429916696849,0.0
2020-09-14,1.0,-0.7552824884374716,-0.7564614128956199,-0.6895347782715153,-0.761675886460506,-0.5713702729663553,0.0
2020-09-15,1.0,-0.7554025279753545,-0.7546776604901916,-0.688080460290853,-0.7620169437774656,-0.5702894939518869,0.0
2020-09-16,1.0,-0.7552434881087203,-0.7547451868629672,-0.6877010192525481,-0.7619932049830125,-0.5703737259343148,0.0
2020-09-17,1.0,-0.7597750158758959,-0.7521999455683571,-0.6921890592397715,-0.7640841876077292,-0.567767395445886,0.0
2020-09-18,1.0,-0.7585143530905627,-0.7521654346741644,-0.6915786132148202,-0.7636388372409415,-0.5690898371955919,0.0
2020-09-21,1.0,-0.75792337338472,-0.7524824302879166,-0.6917705735660848,-0.7629562457492632,-0.5689866243482203,0.0
2020-09-22,1.0,-0.7581376371384532,-0.752017408649923,-0.6919938344364857,-0.7628978148517546,-0.5685012240456978,0.0
2020-09-23,1.0,-0.7557722839646178,-0.7522340666817873,-0.6934452256747562,-0.7627579950102064,-0.5719664322975732,0.0
2020-09-24,1.0,-0.7540558963871847,-0.7489206998409452,-0.6915246534878436,-0.7674164962508521,-0.582503976369007,0.0
2020-09-25,1.0,-0.7549117700563944,-0.7492268510096416,-0.6917409496088777,-0.7686465344733491,-0.5834091322539567,0.0
2020-09-28,1.0,-0.7530791255737853,-0.7486251874744353,-0.6884515747852565,-0.7685315638776531,-0.5861927918920148,0.0
2020-09-29,1.0,-0.7532833446943876,-0.7488752556237218,-0.6882072256305385,-0.7688252669847762,-0.5852760736196319,0.0
2020-09-30,1.0,-0.7533293941184491,-0.7489205036134721,-0.6881959910913139,-0.7690559520021817,-0.5857006499704559,0.0
2020-10-01,1.0,-0.7536146221696827,-0.7501136673638265,-0.6877784850413748,-0.7691643175411476,-0.5860234609438938,0.0
2020-10-02,1.0,-0.753320596797671,-0.7474072052401747,-0.6875454876273653,-0.7714701601164483,-0.5890647743813683,0.0
2020-10-05,1.0,-0.7487830398980937,-0.7528774851007688,-0.6819525954233201,-0.7716209453619035,-0.5941494927437332,0.0
2020-10-06,1.0,-0.7491933651442855,-0.7485571461031584,-0.6804362644853442,-0.772233583276528,-0.5940013633265167,0.0
