Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WING
2018-09-24,-0.6488969660255439,-1.2987026099247816,-0.0374577212378212,-1.0488161946589933,-1.0143369175627241,0.0,1.0
2018-09-25,-0.6536033533659917,-1.2963486692591282,-0.04398767739003081,-1.0465633048835918,-1.0096964799757588,0.0,1.0
2018-09-26,-0.6640871601669891,-1.314071886773241,-0.05381325730577334,-1.0543732817432032,-1.0047856633744017,0.0,1.0
2018-09-27,-0.6643936695333572,-1.3117907485624143,-0.05470459518599562,-1.0537377232710805,-1.0041728156327923,0.0,1.0
2018-09-28,-0.6610972441546533,-1.316845805104172,-0.05598288421374356,-1.0546075085324231,-1.0054505628852324,0.0,1.0
2018-10-01,-0.6611481839947022,-1.3166420457439763,-0.05639040293413478,-1.0544037491722276,-1.0053486832051348,0.0,1.0
2018-10-02,-0.6615298259937745,-1.3298464050619994,-0.05408991172118181,-1.0533244884421085,-1.0040312292697862,0.0,1.0
2018-10-03,-0.6654368434537535,-1.3452216243914936,-0.05703305149884704,-1.0543684345375353,-1.002152190622598,0.0,1.0
2018-10-04,-0.6652949951134202,-1.35620595648372,-0.05791883133583663,-1.054421068875058,-1.0098760351833753,0.0,1.0
2018-10-05,-0.6456571867794005,-1.3475787855495773,-0.034230079426082506,-1.0692287983602358,-1.0275685370228032,0.0,1.0
2018-10-08,-0.6472042014210689,-1.3518175265163217,-0.023684481515806818,-1.089589125733704,-1.0365049943363196,0.0,1.0
2018-10-09,-0.6445661722908377,-1.359257919487365,-0.009560229445506694,-1.1022686166089608,-1.052090331249031,0.0,1.0
2018-10-10,-0.6444409986044348,-1.360107510208301,-0.008631829224169121,-1.102754949087714,-1.0528247273479092,0.0,1.0
2018-10-11,-0.5291600318471338,-1.333449442675159,-0.0,-1.0572253184713376,-1.0563296178343948,0.0,1.0
2018-10-12,-0.5368926802961219,-1.3215668970927097,-0.0,-1.025003677011325,-1.0192675393440211,0.0,1.0
2018-10-15,-0.5237233418117785,-1.329094110741538,-0.0,-1.0212287223635295,-1.0173645079240854,0.0,1.0
2018-10-16,-0.5120696478037198,-1.3784626038781163,-0.0,-1.0303225168183616,-1.025771666007123,0.0,1.0
2018-10-17,-0.4762457668118046,-1.3138364779874212,-0.0,-1.016400580551524,-1.0313981615868408,0.0,1.0
2018-10-18,-0.47593246577330556,-1.3136277877219293,-0.0,-1.0166416719075033,-1.031445019592666,0.0,1.0
2018-10-19,-0.4567729561256293,-1.299784224406617,-0.0,-1.0126108846799329,-1.02579717094222,0.0,1.0
2018-10-22,-0.45718119518857525,-1.2950591843580772,-0.0,-1.0134662385584896,-1.0265490966597979,0.0,1.0
2018-10-23,-0.45693745506829614,-1.2951353942008148,-0.0,-1.0138509465612269,-1.026791277258567,0.0,1.0
2018-10-24,-0.45369262432393626,-1.2912458718230988,-0.0,-1.0135930694490978,-1.0277604939453406,0.0,1.0
2018-10-25,-0.4055233893943571,-1.2170756364304751,-0.0,-0.9986214502343534,-0.9739454094292803,0.0,1.0
2018-10-26,-0.3747439340829426,-1.1999362680384211,-0.0,-1.0142486456958164,-0.9633085992625301,0.0,1.0
2018-10-29,-0.33588133588133584,-1.2276822276822277,-0.0,-1.003958503958504,-0.9825279825279825,0.0,1.0
2018-10-30,-0.35286053737890694,-1.232955583988302,-0.0,-1.0085907512337782,-0.9750502650338145,0.0,1.0
2018-10-31,-0.37726325538319055,-1.2140310257003937,-0.0,-1.0428802963648993,-0.9964806668210233,0.0,1.0
2018-11-01,-0.3508512213175426,-1.2354737231680237,-0.0,-1.0422834937083643,-0.9975943745373798,0.0,1.0
2018-11-02,-0.35710679700766446,-1.194455918123824,-0.0,-1.049795768507045,-0.9881132681628344,0.0,1.0
2018-11-05,-0.3593053705149998,-1.1910690494785685,-0.0,-1.0507649193733635,-0.9929250700601828,0.0,1.0
2018-11-06,-0.36310617193240263,-1.193378030859662,-0.0,-1.047437545922116,-0.9882439382806759,0.0,1.0
2018-11-07,-0.36383702749931024,-1.1949783868297619,-0.0,-1.0498482479536466,-0.9899291823783685,0.0,1.0
2018-11-08,-0.33876251137397634,-1.1884440400363967,-0.0,-1.035031847133758,-0.9873521383075523,0.0,1.0
2018-11-09,-0.33776281059433877,-1.1887685446436698,-0.0,-1.0368617456994629,-0.9873941931373441,0.0,1.0
2018-11-12,-0.33638215983699343,-1.1641838351822504,-0.0,-1.04496264432873,-0.9824315146026715,0.0,1.0
2018-11-13,-0.2981661659866386,-1.1586782047258215,-0.0,-1.0490068600636686,-0.977805676366408,0.0,1.0
2018-11-14,-0.29730943718276964,-1.1623321205587747,-0.0,-1.0513857072272381,-0.9807303597897858,0.0,1.0
2018-11-15,-0.29643434524878753,-1.1666516975031436,-0.0,-1.0593677025327826,-0.9682953116579847,0.0,1.0
2018-11-16,-0.29009412819363517,-1.1527117884356792,-0.0,-1.0597489914836398,-0.9797400268937696,0.0,1.0
2018-11-19,-0.29562993539124194,-1.1525933237616655,-0.0,-1.0584619526202441,-0.9800340990667624,0.0,1.0
2018-11-20,-0.23273132664437013,-1.1422073578595318,-0.0,-1.0689409141583055,-1.015473801560758,0.0,1.0
2018-11-21,-0.23624338624338626,-1.1302469135802469,-0.0,-1.061243386243386,-0.9814373897707231,0.0,1.0
2018-11-23,-0.2376194039705947,-1.1165206673416384,-0.0,-1.0657657261082008,-0.9820839019236695,0.0,1.0
