Date,HTA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33003300330033003,-0.6764823034027541,-0.0,-0.5029304654603391,-0.33563787413224083,0.0
2018-09-25,1.0,-0.3279671176571331,-0.6804818176628419,-0.0,-0.5060227207855227,-0.33989838442655707,0.0
2018-09-26,1.0,-0.32803402214864713,-0.68058568329718,-0.0,-0.5059652928416486,-0.33962210297979223,0.0
2018-09-27,1.0,-0.32749457080809236,-0.6832780889244485,-0.0,-0.5064578809006745,-0.34023888444393646,0.0
2018-09-28,1.0,-0.32778920896204844,-0.6830989940557841,-0.0,-0.5064586191129401,-0.34044924554183814,0.0
2018-10-01,1.0,-0.3289959607616849,-0.6963935372186959,-0.0,-0.51200230813618,-0.3477784189267166,0.0
2018-10-02,1.0,-0.3282383195122656,-0.704180993383224,-0.0,-0.5105319425582941,-0.3464705712386951,0.0
2018-10-03,1.0,-0.3275961649532171,-0.6981633360286474,-0.0,-0.5122155481113551,-0.3498613838512187,0.0
2018-10-04,1.0,-0.33372870078398476,-0.6919894697254607,-0.0,-0.5206700031822259,-0.3465154627245639,0.0
2018-10-05,1.0,-0.31994818652849744,-0.6844559585492228,-0.0,-0.5242084052964882,-0.34994242947610826,0.0
2018-10-08,1.0,-0.31692104279842487,-0.6810381995343624,-0.0,-0.5273777701129603,-0.3489408180276508,0.0
2018-10-09,1.0,-0.30841964389619453,-0.6909403002443849,-0.0,-0.5421564063772838,-0.36782846502967526,0.0
2018-10-10,1.0,-0.3148256323383375,-0.6926222326070447,-0.0,-0.5483673111747182,-0.36488696769671125,0.0
2018-10-11,1.0,-0.2608548168249661,-0.6785956580732699,-0.0,-0.526317277250113,-0.36100746268656714,0.0
2018-10-12,1.0,-0.25608129204393854,-0.6856177797962022,-0.0,-0.532797820101615,-0.3639124634554795,0.0
2018-10-15,1.0,-0.2295825771324864,-0.7124546279491834,-0.0,-0.5288396098003629,-0.36484800362976405,0.0
2018-10-16,1.0,-0.223822101047968,-0.7239499020192555,-0.0,-0.5281304137911448,-0.3641191673056715,0.0
2018-10-17,1.0,-0.2125395536389348,-0.7014365321609588,-0.0,-0.5222200442440704,-0.36406149365741647,0.0
2018-10-18,1.0,-0.21235369882959065,-0.701265610124881,-0.0,-0.5224001792014337,-0.3640029120232962,0.0
2018-10-19,1.0,-0.19733296291151547,-0.691457146825948,-0.0,-0.526517571884984,-0.36285595221558553,0.0
2018-10-22,1.0,-0.19723125677591527,-0.6824840852861869,-0.0,-0.5319823200733884,-0.3681650126483752,0.0
