Date,IWF,IWM,MTUM,SIVB,SPY,VLUE,VXX
2018-09-24,-0.48420204419186563,-0.9818906654226218,-0.28559311251537384,1.0,-0.7664871283769455,-0.7229314220280758,0.0
2018-09-25,-0.48402969247083777,-0.982269353128314,-0.28517497348886534,1.0,-0.7668716861081655,-0.7234358430540828,0.0
2018-09-26,-0.4841364099083814,-0.9824821852731591,-0.2855870376654225,1.0,-0.7667119104173736,-0.7227265015269767,0.0
2018-09-27,-0.48426365795724463,-0.9821852731591448,-0.2857567017305735,1.0,-0.7666270783847982,-0.7227265015269767,0.0
2018-09-28,-0.48078148226799744,-0.9878530473561266,-0.2866425992779783,1.0,-0.767763856445105,-0.7241877256317689,0.0
2018-10-01,-0.48278793030174244,-0.9866978325541861,-0.2864003399915002,1.0,-0.7693157671058223,-0.7246493837654058,0.0
2018-10-02,-0.4840656072065947,-0.9757372312399083,-0.2903033908387865,1.0,-0.7716920200560891,-0.7273731622333645,0.0
2018-10-03,-0.4846513605442177,-0.9786139455782313,-0.29098639455782316,1.0,-0.7712159863945578,-0.7262329931972789,0.0
2018-10-04,-0.4845529153955227,-1.0047694753577106,-0.29059425084862284,1.0,-0.772526103209728,-0.7444248700210544,0.0
2018-10-05,-0.46833761782347905,-0.9976006855184233,-0.27514995715509855,1.0,-0.7844473007712083,-0.7589545844044558,0.0
2018-10-08,-0.4660563802027634,-0.9939684305086196,-0.2705650853402917,1.0,-0.7885528510929546,-0.7585233349018266,0.0
2018-10-09,-0.46569424245016683,-0.994182564804517,-0.269783557190521,1.0,-0.7889040978697922,-0.7589614167165712,0.0
2018-10-10,-0.4656116338751069,-0.9942686056458511,-0.26958939264328485,1.0,-0.7890504704875962,-0.758639863130881,0.0
2018-10-11,-0.41788305947118193,-0.9906998081574777,-0.2129451997664526,1.0,-0.7774209692217866,-0.7715822837601135,0.0
2018-10-12,-0.4210178998597707,-0.9838736286397757,-0.20906541285160438,1.0,-0.7595479666749154,-0.7508455002887073,0.0
2018-10-15,-0.3956266534391535,-1.0383184523809526,-0.16877480158730157,1.0,-0.7662863756613756,-0.7645916005291005,0.0
2018-10-16,-0.3958910338555661,-1.0376172956884793,-0.16936050597329586,1.0,-0.766276714480592,-0.7646232069778017,0.0
2018-10-17,-0.3783398501140437,-0.9991039426523297,-0.15232974910394267,1.0,-0.7658439231019877,-0.7773704789833823,0.0
2018-10-18,-0.376782658300057,-0.99674028196561,-0.15381794474777932,1.0,-0.7691712166897563,-0.7781354412843289,0.0
2018-10-19,-0.3653262058073138,-0.9894707001984367,-0.14392742882598308,1.0,-0.7722026485238731,-0.7787632122463856,0.0
2018-10-22,-0.3646691280886112,-0.9970787519779284,-0.15125573092059885,1.0,-0.7684505213616263,-0.7758347871951962,0.0
2018-10-23,-0.36368438160247035,-0.9994311717861206,-0.14679830976759306,1.0,-0.773647001462701,-0.7794978059483179,0.0
2018-10-24,-0.36299033541785103,-0.999025420287501,-0.14322261024932997,1.0,-0.7747502639486721,-0.78080077966377,0.0
