Date,IWF,IWM,MTUM,SPY,TDS,VLUE,VXX
2018-09-24,-0.5046975924838519,-1.355891563906831,-0.0,-0.993785476609904,1.0,-1.0389508710119397,0.0
2018-09-25,-0.504308234602957,-1.3568001566630765,-0.0,-0.9945657495349065,1.0,-1.0399980417115442,0.0
2018-09-26,-0.5037457768202517,-1.3566077461685353,-0.0,-0.9948097732948147,1.0,-1.041228027224208,0.0
2018-09-27,-0.5061130672926447,-1.349618544600939,-0.0,-0.9942781690140845,1.0,-1.0404440532081378,0.0
2018-09-28,-0.5078767123287671,-1.348972602739726,-0.0,-0.9947651663405088,1.0,-1.040802348336595,0.0
2018-10-01,-0.50806095947469,-1.353408144264223,-0.0,-0.9959327681677855,1.0,-1.042877444014309,0.0
2018-10-02,-0.5120301857205861,-1.3394423482138482,-0.0,-1.000931053070025,1.0,-1.0478757289165483,0.0
2018-10-03,-0.5115480802236061,-1.324964448585299,-0.0,-1.0078948658853528,1.0,-1.0592360123571813,0.0
2018-10-04,-0.51325395658778,-1.320691851634083,-0.0,-1.0092116223234846,1.0,-1.0565926797001324,0.0
2018-10-05,-0.4836882203555382,-1.3080679820277399,-0.0,-1.0195839031060754,1.0,-1.0724262551279546,0.0
2018-10-08,-0.47892551892551893,-1.3040293040293043,-0.0,-1.027936507936508,1.0,-1.0731135531135532,0.0
2018-10-09,-0.47685094745067397,-1.3040144559484275,-0.0,-1.0285211955460052,1.0,-1.0743309240085954,0.0
2018-10-10,-0.4861036223714524,-1.3069457379540217,-0.0,-1.037498161854811,1.0,-1.0712219989216216,0.0
2018-10-11,-0.3594848888044098,-1.2957612621174681,-0.0,-1.001568142938605,1.0,-1.0951340049420262,0.0
2018-10-12,-0.3524406209089209,-1.2798765662988592,-0.0,-0.9749392182532263,1.0,-1.0682625771460632,0.0
2018-10-15,-0.34253034547152195,-1.2850140056022408,-0.0,-0.9729691876750701,1.0,-1.0679738562091503,0.0
2018-10-16,-0.3376441477193146,-1.2932443157943883,-0.0,-0.9714272374994165,1.0,-1.0664363415658995,0.0
2018-10-17,-0.30251063245987103,-1.2315361046325513,-0.0,-0.9616774134540632,1.0,-1.0773768692550418,0.0
2018-10-18,-0.30167802112386266,-1.2302592474052398,-0.0,-0.9628274884550317,1.0,-1.077499885693384,0.0
2018-10-19,-0.2749705695915965,-1.2123064384678075,-0.0,-0.9635515711310332,1.0,-1.0769718373630353,0.0
2018-10-22,-0.27518449766831166,-1.200615746819396,-0.0,-0.9694843120387557,1.0,-1.0822203105899397,0.0
2018-10-23,-0.2789371237155403,-1.2007152233941423,-0.0,-0.9665474627676429,1.0,-1.0805758000995882,0.0
2018-10-24,-0.279493486380614,-1.1992803133825272,-0.0,-0.9788648993349731,1.0,-1.097294342716589,0.0
