Date,IWF,IWM,MTUM,SPY,SWAV,VLUE,VXX
2019-11-04,-1.6624601303564002,-1.3443350436832617,-4.730550547774234,-3.457495492996811,1.0,-1.6729995839689364,0.0
2019-11-05,-1.6622240733027907,-1.3443009857004027,-4.726364014993753,-3.4636956823545746,1.0,-1.6865195057614883,0.0
2019-11-06,-1.6565880721220527,-1.3441054091539528,-4.719140083217753,-3.461719833564494,1.0,-1.6879334257975036,0.0
2019-11-07,-1.6589707927677328,-1.3331015299026425,-4.746592489568845,-3.475799721835883,1.0,-1.6936022253129346,0.0
2019-11-08,-1.6566021984138026,-1.3315708918881313,-4.752052316682899,-3.4797551133991926,1.0,-1.6940308891053288,0.0
2019-11-11,-1.6838245663517135,-1.3476237484134819,-4.7886052742913545,-3.5538005923000986,1.0,-1.7285291214215202,0.0
2019-11-12,-1.7006705664146098,-1.3544014838065346,-4.871022970466543,-3.5975174775288914,1.0,-1.7437580253959195,0.0
2019-11-13,-1.6992867332382313,-1.3542082738944365,-4.870756062767476,-3.5974322396576324,1.0,-1.743651925820257,0.0
2019-11-14,-1.710897067280046,-1.372340425531915,-4.873202990224267,-3.63139735480161,1.0,-1.7882403680276022,0.0
2019-11-15,-1.723296766743649,-1.371391454965358,-4.890877598152425,-3.6557448036951503,1.0,-1.7930138568129332,0.0
2019-11-18,-1.7000287604256543,-1.3689962611446649,-4.8931550186942765,-3.6463905665803855,1.0,-1.7717860224331319,0.0
2019-11-19,-1.700446235785231,-1.3748380595940692,-4.895350511011947,-3.6496329350798904,1.0,-1.7745789549445803,0.0
2019-11-20,-1.7005470774546503,-1.3678376043766196,-4.888281025050389,-3.6524618485459257,1.0,-1.7876475669450045,0.0
2019-11-21,-1.7049582012107236,-1.3782069760737965,-4.901700778322283,-3.6620063418852697,1.0,-1.766503315076391,0.0
2019-11-22,-1.704061059907834,-1.3657834101382487,-4.878888248847926,-3.6686347926267278,1.0,-1.7835541474654377,0.0
2019-11-25,-1.7071274298056156,-1.3651547876169907,-4.878761699064075,-3.6676745860331175,1.0,-1.7801295896328295,0.0
2019-11-26,-1.6998134596068302,-1.2641698952503946,-4.890371645860238,-3.6939302625914765,1.0,-1.800975749748888,0.0
2019-11-27,-1.7002583979328165,-1.2639965546942291,-4.871662360034453,-3.6958082113120874,1.0,-1.8238587424633936,0.0
2019-11-29,-1.6939506880733943,-1.255447247706422,-4.868836009174312,-3.6916571100917426,1.0,-1.8249713302752293,0.0
2019-12-02,-1.6929686381211513,-1.245596448517829,-4.868394672776743,-3.6955463267936417,1.0,-1.8179865387369325,0.0
2019-12-03,-1.6516469413945531,-1.2282903179808926,-4.83359475260231,-3.701982033366605,1.0,-1.8435762155996007,0.0
2019-12-04,-1.6306049822064055,-1.2462633451957295,-4.869466192170818,-3.6888256227758003,1.0,-1.7997153024911028,0.0
2019-12-05,-1.6262425447316105,-1.238426583357001,-4.866657199659188,-3.6803464924737295,1.0,-1.7888383981823346,0.0
2019-12-06,-1.6290299673341855,-1.2401647493253798,-4.865360034086067,-3.67973299247266,1.0,-1.7880982814941062,0.0
2019-12-09,-1.6187305185604988,-1.219183904788892,-4.892320770756588,-3.6588268631340326,1.0,-1.7792575800510058,0.0
2019-12-10,-1.6091888825865002,-1.2244753261486103,-4.904140669313669,-3.6657685762904144,1.0,-1.776800907543959,0.0
2019-12-11,-1.6087326339665435,-1.2275304791607597,-4.900907286645874,-3.66345335979586,1.0,-1.7755883186844341,0.0
2019-12-12,-1.6069807037457435,-1.2240351872871735,-4.909761634506243,-3.670261066969353,1.0,-1.7773836549375708,0.0
2019-12-13,-1.592330550445734,-1.2159332106976088,-4.92415452101316,-3.6653459742464976,1.0,-1.7523701712183388,0.0
2019-12-16,-1.5934625725201643,-1.2153671996603934,-4.925003537568983,-3.665628979765106,1.0,-1.7509551436253008,0.0
2019-12-17,-1.5806861499364675,-1.2177043625582378,-4.9260200480022585,-3.662007623888183,1.0,-1.7318932655654382,0.0
2019-12-18,-1.5800988002822864,-1.2221594918842626,-4.92166549047283,-3.659985885673959,1.0,-1.7305575158786168,0.0
2019-12-19,-1.5800988002822864,-1.2220183486238534,-4.92166549047283,-3.6601270289343684,1.0,-1.7304163726182076,0.0
2019-12-20,-1.5737866817155757,-1.2215011286681716,-4.913092550790068,-3.664644469525959,1.0,-1.7353273137697518,0.0
2019-12-23,-1.5814313891236969,-1.2417582417582418,-4.8899690053536204,-3.6679346294730912,1.0,-1.7075232459847844,0.0
2019-12-24,-1.5827581349485844,-1.2422876461473449,-4.886744611917171,-3.6675588111001547,1.0,-1.7072827158754755,0.0
