Date,ETSY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.312765106042417,-2.1991196478591437,-0.6095238095238096,-1.5632653061224488,-1.3186074429771908,0.0
2018-09-25,1.0,-1.3264469453376206,-2.2044212218649517,-0.6225884244372991,-1.567282958199357,-1.317845659163987,0.0
2018-09-26,1.0,-1.3298189134808853,-2.209336016096579,-0.6271227364185111,-1.5684507042253522,-1.31364185110664,0.0
2018-09-27,1.0,-1.335478680611424,-2.1952534191472246,-0.6313757039420757,-1.5692679002413517,-1.3135961383748995,0.0
2018-09-28,1.0,-1.3358275002011426,-2.194947300667793,-0.6317483305173386,-1.5693137018263739,-1.3138627403652747,0.0
2018-10-01,1.0,-1.3403175114836006,-2.19526150374728,-0.6323636070593923,-1.5738576839390763,-1.3167862035619307,0.0
2018-10-02,1.0,-1.3418969138794636,-2.2149781871061562,-0.6299079011148813,-1.574406204556471,-1.3176603651640006,0.0
2018-10-03,1.0,-1.3483200779094304,-2.2340529134880702,-0.6347995455283233,-1.5788832981658822,-1.3195098198344426,0.0
2018-10-04,1.0,-1.351114714227807,-2.224402107823267,-0.635589785164167,-1.5820835022294284,-1.3138224564248075,0.0
2018-10-05,1.0,-1.3322866344605475,-2.2130434782608694,-0.6136070853462158,-1.5809983896940418,-1.3116747181964572,0.0
2018-10-08,1.0,-1.3277675202697279,-2.2056674961868827,-0.609456530464799,-1.5783093842819298,-1.3064943405314282,0.0
2018-10-09,1.0,-1.3344869215291753,-2.211509054325956,-0.617867203219316,-1.579476861167002,-1.3049496981891349,0.0
2018-10-10,1.0,-1.3345946381128733,-2.213187344014169,-0.6169390548265036,-1.5802270348603173,-1.3060140085339345,0.0
2018-10-11,1.0,-1.216596235113331,-2.185631963119478,-0.4640799077986939,-1.5223203995389936,-1.2947368421052632,0.0
2018-10-12,1.0,-1.2221384406575178,-2.163323782234957,-0.44895189262554674,-1.4724777559945712,-1.2333735484843915,0.0
2018-10-15,1.0,-1.2143878395665586,-2.1769884867183382,-0.43208668823839264,-1.4712920460531265,-1.2301903830235532,0.0
2018-10-16,1.0,-1.21280276816609,-2.1801564615616065,-0.42914096584925526,-1.470513013389499,-1.2295020309914249,0.0
2018-10-17,1.0,-1.169633047681828,-2.0919211894821648,-0.39185526990405034,-1.4462755438365194,-1.224712517395444,0.0
2018-10-18,1.0,-1.1692544309359894,-2.091401787022118,-0.3919730481910063,-1.4466822909037647,-1.224549582539915,0.0
2018-10-19,1.0,-1.1482075196735646,-2.0794229087729525,-0.3617749927134946,-1.4644418536869717,-1.2326581171670066,0.0
2018-10-22,1.0,-1.1484888304862024,-2.0863629726967443,-0.3703460359176522,-1.462622280624909,-1.2324426923638487,0.0
2018-10-23,1.0,-1.1663353214049041,-2.103968779913114,-0.38841027906634273,-1.4646933215521687,-1.239893969516236,0.0
2018-10-24,1.0,-1.1660660439802897,-2.1027432521879823,-0.38103993527984115,-1.4651025961609176,-1.2396116790468485,0.0
2018-10-25,1.0,-1.0912248369719308,-2.003189679614403,-0.3481003685851999,-1.478451942160476,-1.1672100935639353,0.0
2018-10-26,1.0,-1.0612145297357596,-1.9704385414487902,-0.31506658300216134,-1.4807920239838248,-1.1446001533849266,0.0
2018-10-29,1.0,-1.0475563258232237,-1.9744194107452342,-0.3003119584055459,-1.470571923743501,-1.1395493934142116,0.0
2018-10-30,1.0,-1.0569721392343499,-1.9772111443062599,-0.30591259640102825,-1.4728687556451052,-1.1348572222608213,0.0
2018-10-31,1.0,-1.0535395189003438,-1.9419931271477664,-0.3062542955326461,-1.456426116838488,-1.114639175257732,0.0
2018-11-01,1.0,-1.0370243400754198,-1.9597531710661635,-0.287829962290024,-1.4565649640041136,-1.1151868357901953,0.0
2018-11-02,1.0,-1.0488568317909635,-1.9043277082199237,-0.2756532389765922,-1.4710805661404462,-1.1045862819814916,0.0
2018-11-05,1.0,-1.0471300326441784,-1.9070321001088137,-0.2758433079434167,-1.4701441784548421,-1.100720892274211,0.0
2018-11-06,1.0,-1.0613843847935687,-1.9207657719035294,-0.2696552663850661,-1.4676386428668757,-1.0934732252350456,0.0
