Date,EV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2092159916926272,-0.48852544132917963,-0.12432502596053999,-0.36183800623052964,-0.4121754932502596,0.0
2018-09-25,1.0,-0.20915439935612848,-0.48861541656930707,-0.12420489653919048,-0.361944076641483,-0.41231144689357946,0.0
2018-09-26,1.0,-0.20894243502194065,-0.4884584426037962,-0.12359463038454549,-0.3621893905953834,-0.4133149845506712,0.0
2018-09-27,1.0,-0.2081372676459119,-0.4923176914077733,-0.12268295853373197,-0.36274535291823734,-0.4139087482126608,0.0
2018-09-28,1.0,-0.2065109990119091,-0.4939154402205003,-0.12306932237765875,-0.3627593738623954,-0.4140100889281814,0.0
2018-10-01,1.0,-0.20672439347843044,-0.4936682528538367,-0.123150531762748,-0.36282081285591694,-0.41394284525574015,0.0
2018-10-02,1.0,-0.20715567227437012,-0.4905223744767155,-0.1243662081697392,-0.36347798954731014,-0.41462336514209935,0.0
2018-10-03,1.0,-0.2074131876706984,-0.4921836389647548,-0.12469761997658994,-0.3630901287553648,-0.4137599167642086,0.0
2018-10-04,1.0,-0.20944926933277863,-0.4886109522076031,-0.12504550418638516,-0.3656456393988247,-0.41148785688283324,0.0
2018-10-05,1.0,-0.19925835645566997,-0.48341674662241013,-0.11609573943935897,-0.3730778207089698,-0.4213105826828826,0.0
2018-10-08,1.0,-0.19837322557247952,-0.48212620453838984,-0.11470313957102891,-0.3741063102269195,-0.4210703554035851,0.0
2018-10-09,1.0,-0.19884980052847004,-0.482202994663489,-0.11587482513859386,-0.37347805813170304,-0.4201336718304751,0.0
2018-10-10,1.0,-0.1979653275199834,-0.48523305304681824,-0.11367175334786671,-0.3741046402989723,-0.42429668846672897,0.0
2018-10-11,1.0,-0.1908513276164893,-0.4865946895340428,-0.10546027482177911,-0.3733081929951441,-0.42667114371319353,0.0
2018-10-12,1.0,-0.18894757181501998,-0.48713126368671905,-0.10258920520417365,-0.37184078320237024,-0.42578899909828677,0.0
2018-10-15,1.0,-0.17271250676773145,-0.5189883208291438,-0.07829943022146596,-0.3749452136024957,-0.43326372238121025,0.0
2018-10-16,1.0,-0.17034244098961832,-0.5325912917721192,-0.06879809927173183,-0.3766850885801353,-0.4341201384226021,0.0
2018-10-17,1.0,-0.16072295932714675,-0.5101873865582739,-0.05703402612674796,-0.38078073471892016,-0.44770815757854643,0.0
2018-10-18,1.0,-0.15936061381074168,-0.5082097186700767,-0.058209718670076724,-0.38347826086956516,-0.4482608695652174,0.0
