Date,IWF,IWM,MTUM,RNST,SPY,VLUE,VXX
2018-09-24,-0.1256155730308109,-0.6749774397318552,-0.08297022044604874,1.0,-0.32097460358385976,-0.37380430578832025,0.0
2018-09-25,-0.1244960198490644,-0.6784348185671457,-0.07965470898376925,1.0,-0.32409800475550504,-0.3778041972500776,0.0
2018-09-26,-0.12395132055929571,-0.6787415846711548,-0.07635939927498706,1.0,-0.32641118591403423,-0.3838684619368203,0.0
2018-09-27,-0.1228102189781022,-0.692857142857143,-0.07335766423357663,1.0,-0.3302919708029197,-0.3875912408759124,0.0
2018-09-28,-0.12081377151799687,-0.6950965049556599,-0.0738393322900365,1.0,-0.3305425143453313,-0.3879499217527387,0.0
2018-10-01,-0.12121133079451196,-0.6946110908237257,-0.0738692680891022,1.0,-0.3307423444102457,-0.38791799259220616,0.0
2018-10-02,-0.12132862560481233,-0.709088531450242,-0.06977899829998692,1.0,-0.329331764090493,-0.38587681443703414,0.0
2018-10-03,-0.12163152111349483,-0.710271571346345,-0.07009052378211501,1.0,-0.3290513316937889,-0.3852493328449584,0.0
2018-10-04,-0.12012414845208975,-0.7206396801599201,-0.06962308319524449,1.0,-0.3274152397485468,-0.39246166390488973,0.0
2018-10-05,-0.11083156432633592,-0.718636161123778,-0.062400083864035435,1.0,-0.33086982729250203,-0.398039678171764,0.0
2018-10-08,-0.10993873383253915,-0.7178876263287427,-0.06134471382939729,1.0,-0.3313085824998691,-0.39770644603864486,0.0
2018-10-09,-0.10804013518115847,-0.7190275339917738,-0.05616829530271673,1.0,-0.3345209714180923,-0.4020591548557806,0.0
2018-10-10,-0.10813996123827982,-0.7187418155151643,-0.056466397779058194,1.0,-0.33455554973547746,-0.4011314231836991,0.0
2018-10-11,-0.07790175708605875,-0.7241759651147879,-0.0234449147107862,1.0,-0.3273053738617417,-0.4122611260741311,0.0
2018-10-12,-0.07333435755620422,-0.7293235007937728,-0.019357812259947763,1.0,-0.3262661955241461,-0.41230091667946944,0.0
2018-10-15,-0.0465888042807162,-0.7744649104754064,-0.0,1.0,-0.3293115867462441,-0.42218048981271866,0.0
2018-10-16,-0.04186190206477525,-0.7831471087997529,-0.0,1.0,-0.32838164873075537,-0.42114206271561716,0.0
2018-10-17,-0.02236576709985447,-0.7538233717159853,-0.0,1.0,-0.33464396047693207,-0.44231112926698496,0.0
2018-10-18,-0.021366427840327534,-0.7522773797338792,-0.0,1.0,-0.3405834186284545,-0.4446008188331627,0.0
