Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XLK
2018-09-24,-0.3657066795740561,-0.24532913843175216,-0.2668441432720232,-0.303484995159729,-0.2387463697967086,0.0,1.0
2018-09-25,-0.3673538521099497,-0.2440718157181572,-0.2693815331010453,-0.3022406116918312,-0.23661924119241193,0.0,1.0
2018-09-26,-0.3671716193979286,-0.2438534507792082,-0.2688026328525796,-0.30248765850353304,-0.23758590649501501,0.0,1.0
2018-09-27,-0.367344963584892,-0.24331583149846356,-0.26896368167630474,-0.302451063417939,-0.237557163250986,0.0,1.0
2018-09-28,-0.3677879961277831,-0.24312681510164566,-0.26890125847047436,-0.3025895450145208,-0.2377057115198451,0.0,1.0
2018-10-01,-0.36747192099147946,-0.2437306351665376,-0.26900174283501166,-0.3025029047250194,-0.23789697908597987,0.0,1.0
2018-10-02,-0.3678172048216101,-0.23919252553613787,-0.2705620370818609,-0.3036742992690129,-0.2392651401461974,0.0,1.0
2018-10-03,-0.36751681749987897,-0.23563858103857133,-0.2699995160431689,-0.30498959492813243,-0.24163964574359967,0.0,1.0
2018-10-04,-0.3680110323470351,-0.23455834321244526,-0.2700747586674086,-0.30576053032685746,-0.2409696852393971,0.0,1.0
2018-10-05,-0.3693129623362181,-0.23357346613160565,-0.27022192138471207,-0.30500894454382826,-0.23932698351303003,0.0,1.0
2018-10-08,-0.3695867688662137,-0.23379355369103175,-0.2704741639867495,-0.30478516333389755,-0.23930652610199,0.0,1.0
2018-10-09,-0.3716428744253569,-0.23399467699007986,-0.2745947253810791,-0.3029760464553593,-0.23636583595451247,0.0,1.0
2018-10-10,-0.37264150943396224,-0.23289791969037255,-0.2758103531688437,-0.3033865505563619,-0.23422835026608613,0.0,1.0
2018-10-11,-0.3739119951778179,-0.22917420132610006,-0.27488848704038576,-0.30184448462929475,-0.23124773960216996,0.0,1.0
2018-10-12,-0.37983921137005316,-0.22299851653347372,-0.2766904340335934,-0.2928889314255635,-0.22027085227544627,0.0,1.0
2018-10-15,-0.3880450171573921,-0.21272766539486002,-0.28553259904494516,-0.2941712859645334,-0.21918268423199674,0.0,1.0
2018-10-16,-0.39000192178341503,-0.20712020755260885,-0.2902853848371289,-0.29470548669164986,-0.22009224560392043,0.0,1.0
