Date,DAN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2741141008675195,-0.8044772827525364,-0.0,-0.7192692251139539,-0.8781061608586973,0.0
2018-09-25,1.0,-0.27026121902210315,-0.8227282875641885,-0.0,-0.7332365855473693,-0.8948425987943738,0.0
2018-09-26,1.0,-0.26797996411483255,-0.8243869617224882,-0.0,-0.7380756578947368,-0.9075956937799043,0.0
2018-09-27,1.0,-0.2774657380363963,-0.8136748296263011,-0.0,-0.7426421028982251,-0.9106942260166254,0.0
2018-09-28,1.0,-0.2744590692616342,-0.8195147560655491,-0.0,-0.7439532005849927,-0.9119886001424982,0.0
2018-10-01,1.0,-0.2757961066726679,-0.8184239150819549,-0.0,-0.7447207531600465,-0.9118937774277034,0.0
2018-10-02,1.0,-0.27890926821949663,-0.8078841753872698,-0.0,-0.7484715502044185,-0.9154945425903004,0.0
2018-10-03,1.0,-0.2783594131111861,-0.795677136102668,-0.0,-0.753949491538144,-0.9244999812375699,0.0
2018-10-04,1.0,-0.2800345073328082,-0.7928434792393384,-0.0,-0.7554105247365065,-0.922508533063276,0.0
2018-10-05,1.0,-0.267372279153265,-0.7876056548732141,-0.0,-0.7571620914054903,-0.927818086618296,0.0
2018-10-08,1.0,-0.2717632459669838,-0.7964125897792652,-0.0,-0.7593727672695822,-0.9328770729139247,0.0
2018-10-09,1.0,-0.26230623818525517,-0.801398865784499,-0.0,-0.7696786389413989,-0.9473345935727788,0.0
2018-10-10,1.0,-0.26100087930573074,-0.8187483274075772,-0.0,-0.7771151125893642,-0.9662040753909087,0.0
2018-10-11,1.0,-0.17668331966296325,-0.8075087614644695,-0.0,-0.7550518231302662,-0.9890388487062859,0.0
2018-10-12,1.0,-0.1785306152541748,-0.7992037453459652,-0.0,-0.7362037822096066,-0.9723891325985181,0.0
2018-10-15,1.0,-0.13594027202838557,-0.8480928444707273,-0.0,-0.7325916617386161,-0.9793761088113542,0.0
2018-10-16,1.0,-0.12713528736058102,-0.8677881943157817,-0.0,-0.7320561751954645,-0.9784340608441101,0.0
2018-10-17,1.0,-0.10958753839403247,-0.837318999561211,-0.0,-0.726305397103993,-0.9833260201842913,0.0
2018-10-18,1.0,-0.11328311592871577,-0.8482087084328495,-0.0,-0.7257762263457652,-0.9871761896013228,0.0
2018-10-19,1.0,-0.1014694565575873,-0.8461284766755834,-0.0,-0.725970171131225,-0.990948733922093,0.0
2018-10-22,1.0,-0.10419285661465652,-0.8297345263624936,-0.0,-0.7506470457738669,-1.012866967388893,0.0
2018-10-23,1.0,-0.10724584103512015,-0.8298336414048059,-0.0,-0.7482070240295747,-1.0115711645101662,0.0
2018-10-24,1.0,-0.10801354821900472,-0.8268880038709197,-0.0,-0.759556333047977,-1.0275803029739083,0.0
2018-10-25,1.0,-0.08721738494183068,-0.8015658154679153,-0.0,-0.7564571595814735,-1.0132069949513425,0.0
2018-10-26,1.0,-0.08840081859377284,-0.7996637918432977,-0.0,-0.7557740096477124,-1.0106344101739513,0.0
