Date,IWF,IWM,JRI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.1461885994424685,-0.2729597231567817,1.0,-0.005806017494953379,-0.26813419205998273,-0.22943381716812458,0.0
2018-09-25,-0.1468191428022295,-0.2723044397463002,1.0,-0.006880645781280031,-0.2674995195079762,-0.22846434749183164,0.0
2018-09-26,-0.1464109125189988,-0.2721973180445197,1.0,-0.005059930353810339,-0.26859957288800823,-0.23166015737730153,0.0
2018-09-27,-0.1480213821482137,-0.2682767372995424,1.0,-0.006210821828250586,-0.26871899396223514,-0.23162711994769836,0.0
2018-09-28,-0.1476125459125786,-0.2686486798330801,1.0,-0.006422953404742217,-0.26866791023249553,-0.2316686217572739,0.0
2018-10-01,-0.1479152242480191,-0.2683667974459574,1.0,-0.006442803292560966,-0.2688283714131856,-0.23165243480267714,0.0
2018-10-02,-0.1491494766009852,-0.25919796798029554,1.0,-0.00977524630541872,-0.2714939963054187,-0.23462515394088668,0.0
2018-10-03,-0.14943192759483923,-0.2612747929905642,1.0,-0.010129019834392452,-0.2710957057577508,-0.23373772385904104,0.0
2018-10-04,-0.15236278872642506,-0.2572964225856788,1.0,-0.01046061376639889,-0.27509680402242387,-0.2312508428210907,0.0
2018-10-05,-0.15800178204780535,-0.26395614612792,1.0,-0.011777011583310735,-0.27466780304497734,-0.22858637120830588,0.0
2018-10-08,-0.15780914212696753,-0.2636541402877001,1.0,-0.011442179241447407,-0.2747478267603725,-0.22841764922266752,0.0
2018-10-09,-0.15778775794649424,-0.26359905532540945,1.0,-0.0114019125788842,-0.27471059661620656,-0.22830926477989855,0.0
2018-10-10,-0.15844573020879696,-0.26274745050989806,1.0,-0.012210461133579736,-0.2750353155175417,-0.2266578942276061,0.0
2018-10-11,-0.14129981420392065,-0.2567398475713798,1.0,-0.0,-0.2692336859667083,-0.228605012702385,0.0
2018-10-12,-0.140026395173454,-0.25395927601809953,1.0,-0.0,-0.26657239819004525,-0.22483031674208145,0.0
2018-10-15,-0.1310938910622931,-0.26096524225097806,1.0,-0.0,-0.2644071622028288,-0.22436427926572372,0.0
2018-10-16,-0.12692524948220674,-0.2686876294483148,1.0,-0.0,-0.2636791564677085,-0.2235737149312747,0.0
2018-10-17,-0.12481473838245503,-0.26471305555034425,1.0,-0.0,-0.2628182278670994,-0.2237209913138097,0.0
2018-10-18,-0.12479363650007504,-0.264783130721897,1.0,-0.0,-0.26275701635899745,-0.22369803391865528,0.0
2018-10-19,-0.12063752752790118,-0.2608151991340376,1.0,-0.0,-0.2625508566309582,-0.22229480049270278,0.0
2018-10-22,-0.12039408498625936,-0.25320147314501507,1.0,-0.0,-0.2682881232356845,-0.22758968798489465,0.0
2018-10-23,-0.11821977569323523,-0.25398341103559324,1.0,-0.0,-0.27089067385646615,-0.22924975191447136,0.0
2018-10-24,-0.11766026720556866,-0.25377044272295196,1.0,-0.0,-0.27085438419220836,-0.2289210733131245,0.0
