Date,IWF,IWM,MTUM,SASR,SPY,VLUE,VXX
2018-09-24,-0.1375495081129424,-0.6075635620288745,-0.08884630126485245,1.0,-0.35464418040117546,-0.3666794429538776,0.0
2018-09-25,-0.13634614891379618,-0.6126343327605221,-0.08451101592756931,1.0,-0.35910128497781424,-0.3722331939777886,0.0
2018-09-26,-0.13588644472394057,-0.6125413896660592,-0.08259965604866655,1.0,-0.36022485176724245,-0.37557432172283683,0.0
2018-09-27,-0.13695362199876873,-0.6093012517956085,-0.08349579314590601,1.0,-0.36007079827621585,-0.37533347014159657,0.0
2018-09-28,-0.1363123332649292,-0.6097886312333264,-0.08377796018879541,1.0,-0.3599938436281551,-0.37530781859224294,0.0
2018-10-01,-0.13590039789500705,-0.6112694134257476,-0.08409703504043126,1.0,-0.3599537928378899,-0.3758182518290335,0.0
2018-10-02,-0.13612821768146566,-0.6290551160813214,-0.07913112937720632,1.0,-0.3586023860444742,-0.3737792780025252,0.0
2018-10-03,-0.13633317870212877,-0.6296067213030256,-0.07932580794804392,1.0,-0.35846090407710945,-0.3734601309210866,0.0
2018-10-04,-0.13499521109989387,-0.6382697833346277,-0.0789521368848852,1.0,-0.3568895446662007,-0.3794879759778417,0.0
2018-10-05,-0.1242391416486124,-0.6344526978231713,-0.07028267822139689,1.0,-0.36286495409058084,-0.3873413803775921,0.0
2018-10-08,-0.12314547702452092,-0.6330877807541727,-0.06884916546466104,1.0,-0.3637698330929322,-0.3868740984957758,0.0
2018-10-09,-0.12067719624238671,-0.635542479611851,-0.06072571487560648,1.0,-0.36951584597914733,-0.3943171260452153,0.0
2018-10-10,-0.12117850416655916,-0.6348133433089962,-0.061530920254895385,1.0,-0.36977890147313025,-0.3926111297438147,0.0
2018-10-11,-0.08725576704903568,-0.6392033278709189,-0.02228665069960923,1.0,-0.3645531324845582,-0.4078154544308584,0.0
2018-10-12,-0.08383729391985145,-0.6408120247923516,-0.018995759203031294,1.0,-0.36119545306265843,-0.4045067877844973,0.0
2018-10-15,-0.049878098334010565,-0.7019250304754165,-0.0,1.0,-0.3679906542056075,-0.4198242584315319,0.0
2018-10-16,-0.04464558120614258,-0.7118631140038646,-0.0,1.0,-0.367131089189464,-0.4188447066002237,0.0
2018-10-17,-0.030366150525761037,-0.6876552814515522,-0.0,1.0,-0.36529726202725427,-0.42630561899264685,0.0
2018-10-18,-0.029664951687790188,-0.6864098381227256,-0.0,1.0,-0.36702221106788807,-0.4266532814656795,0.0
2018-10-19,-0.01674975074775673,-0.6807078763708874,-0.0,1.0,-0.3681455633100698,-0.42694416749750747,0.0
2018-10-22,-0.017374180521973225,-0.6799860408305705,-0.0,1.0,-0.3683226562305257,-0.42705087618715254,0.0
2018-10-23,-0.010871479980874248,-0.6872436268465159,-0.0,1.0,-0.3816594106248584,-0.4367717744167904,0.0
2018-10-24,-0.009812824781797083,-0.6928762423692044,-0.0,1.0,-0.38285152111397003,-0.4370112506937087,0.0
2018-10-25,-0.0022553564716200976,-0.6890615211126425,-0.0,1.0,-0.3818318506452825,-0.4328279664202481,0.0
2018-10-26,-0.0,-0.6823834326014903,-0.0,1.0,-0.3815884566501358,-0.4281157325491564,0.0
2018-10-29,-0.0,-0.6888215270703406,-0.0,1.0,-0.3660148582503044,-0.42982085621288546,0.0
2018-10-30,-0.0,-0.6927415091014376,-0.0,1.0,-0.36579470782245277,-0.45915053249074755,0.0
2018-10-31,-0.0,-0.682772267307885,-0.0,1.0,-0.36511872557859937,-0.456868049293658,0.0
2018-11-01,-0.0,-0.6948260302817607,-0.0,1.0,-0.3584177278652361,-0.453524516193723,0.0
2018-11-02,-0.0,-0.6730385306448392,-0.0,1.0,-0.37015871431423436,-0.45231084048712317,0.0
2018-11-05,-0.0,-0.6840186752552867,-0.0,1.0,-0.37018450553017257,-0.4424887024692283,0.0
2018-11-06,-0.0,-0.6851223165252122,-0.0,1.0,-0.3697703444832751,-0.4413379930104843,0.0
2018-11-07,-0.0,-0.6849906425452277,-0.0,1.0,-0.3692326887086712,-0.4410979413599501,0.0
2018-11-08,-0.0,-0.6824208778408386,-0.0,1.0,-0.35544871000520456,-0.4405313638504052,0.0
2018-11-09,-0.0,-0.6824267367481529,-0.0,1.0,-0.35657261863440276,-0.44029850746268656,0.0
2018-11-12,-0.0,-0.672473006695822,-0.0,1.0,-0.36001778963753617,-0.43831690262644235,0.0
2018-11-13,-0.0,-0.6693267200314296,-0.0,1.0,-0.35326327162009524,-0.43284388351421693,0.0
2018-11-14,-0.0,-0.669501942081715,-0.0,1.0,-0.35537637051969123,-0.4334775554353705,0.0
2018-11-15,-0.0,-0.6706572076066608,-0.0,1.0,-0.35505961178441225,-0.4375800571484875,0.0
2018-11-16,-0.0,-0.6777203098319681,-0.0,1.0,-0.359301145784355,-0.437674775421317,0.0
2018-11-19,-0.0,-0.6778041778041778,-0.0,1.0,-0.3594693594693595,-0.4377289377289377,0.0
2018-11-20,-0.0,-0.6654102924149484,-0.0,1.0,-0.350257433547656,-0.4478111989751927,0.0
2018-11-21,-0.0,-0.6648332760398762,-0.0,1.0,-0.34795953444973726,-0.4426410646761283,0.0
2018-11-23,-0.0,-0.6583343554519808,-0.0,1.0,-0.3512081442413835,-0.443542254384889,0.0
2018-11-26,-0.0,-0.6615980772060627,-0.0,1.0,-0.3493157404228185,-0.4416539951930151,0.0
2018-11-27,-0.0,-0.6622612009576392,-0.0,1.0,-0.34360189573459715,-0.4370938584062149,0.0
2018-11-28,-0.0,-0.6634415695472649,-0.0,1.0,-0.34308192235334356,-0.4367563341396076,0.0
2018-11-29,-0.0,-0.6522244838615877,-0.0,1.0,-0.3350537947077639,-0.4359067558398759,0.0
2018-11-30,-0.0,-0.6525629212938266,-0.0,1.0,-0.3346345958003976,-0.4374909073274817,0.0
2018-12-03,-0.0,-0.6529483135161368,-0.0,1.0,-0.33545256005823826,-0.43819461295801987,0.0
2018-12-04,-0.0,-0.6553903525765208,-0.0,1.0,-0.33022568771793875,-0.43590178225494,0.0
2018-12-06,-0.0,-0.6669022149662516,-0.0,1.0,-0.3296132946709228,-0.4401910377933186,0.0
2018-12-07,-0.0,-0.6684305501365587,-0.0,1.0,-0.3323741708934842,-0.43776824034334766,0.0
2018-12-10,-0.0,-0.6697704791157763,-0.0,1.0,-0.3254891527801292,-0.42329552325440784,0.0
2018-12-11,-0.0,-0.6714386066904052,-0.0,1.0,-0.32102802606399733,-0.42983794782355933,0.0
2018-12-12,-0.0,-0.6722038995052866,-0.0,1.0,-0.32056940537394507,-0.4323164225434087,0.0
2018-12-13,-0.0,-0.6735194174757282,-0.0,1.0,-0.32036407766990294,-0.43330097087378644,0.0
2018-12-14,-0.0,-0.6725644386194846,-0.0,1.0,-0.3211251880976652,-0.4333770205329838,0.0
2018-12-17,-0.0,-0.671875,-0.0,1.0,-0.31552810077519383,-0.43507751937984496,0.0
2018-12-18,-0.0,-0.6620336856329327,-0.0,1.0,-0.31108537232759037,-0.4398677669996622,0.0
2018-12-19,-0.0,-0.6630264079827974,-0.0,1.0,-0.31261929498175844,-0.44045519340887673,0.0
2018-12-20,-0.0,-0.6629047849202513,-0.0,1.0,-0.31309811503141616,-0.4406476558724021,0.0
2018-12-21,-0.0,-0.6655912942989214,-0.0,1.0,-0.31577426810477655,-0.42620859013867485,0.0
2018-12-24,-0.0,-0.6611292490877665,-0.0,1.0,-0.31131169579412327,-0.42817361244478586,0.0
2018-12-26,-0.0,-0.6631037780966045,-0.0,1.0,-0.3038498326159732,-0.4242228598756576,0.0
2018-12-27,-0.0,-0.6471804511278196,-0.0,1.0,-0.27960526315789475,-0.4228383458646617,0.0
2018-12-28,-0.0,-0.6548176746156925,-0.0,1.0,-0.27903199227853764,-0.42025471409402293,0.0
2018-12-31,-0.0,-0.6576678445229682,-0.0,1.0,-0.2785630153121319,-0.4194817432273263,0.0
2019-01-02,-0.0,-0.6570789690478993,-0.0,1.0,-0.2767094268565376,-0.4199835235965635,0.0
2019-01-03,-0.0,-0.6568758972910637,-0.0,1.0,-0.277530654993057,-0.41914377838970085,0.0
2019-01-04,-0.0,-0.6623458815807979,-0.0,1.0,-0.25779382119919364,-0.4238666729173503,0.0
2019-01-07,-0.0,-0.6549181090638376,-0.0,1.0,-0.25365252186860227,-0.41785315466219985,0.0
2019-01-08,-0.0,-0.6488721629846447,-0.0,1.0,-0.2576021557832137,-0.4165911677933421,0.0
2019-01-09,-0.0,-0.6465303090102849,-0.0,1.0,-0.2574002275207206,-0.4176862535695215,0.0
2019-01-10,-0.0,-0.6441932788711474,-0.0,1.0,-0.2599795766802822,-0.41665893056071296,0.0
2019-01-11,-0.0,-0.6361671469740633,-0.0,1.0,-0.2631309844752254,-0.4247699172631774,0.0
2019-01-14,-0.0,-0.6366954985119048,-0.0,1.0,-0.26767113095238093,-0.420805431547619,0.0
2019-01-15,-0.0,-0.6330200530405249,-0.0,1.0,-0.2686456055459917,-0.4246731493974782,0.0
2019-01-16,-0.0,-0.6330527001255872,-0.0,1.0,-0.26708218986929627,-0.42555467696171917,0.0
2019-01-17,-0.0,-0.6336437718277067,-0.0,1.0,-0.2666821885913853,-0.4279394644935972,0.0
2019-01-18,-0.0,-0.6399234755654575,-0.0,1.0,-0.3071632682714196,-0.474596793723059,0.0
2019-01-22,-0.0,-0.7232478509685607,-0.0,1.0,-0.1924909608984029,-0.4787012427268156,0.0
2019-01-23,-0.0,-0.7025857925598386,-0.0,1.0,-0.20287417091223683,-0.4976689416514467,0.0
2019-01-24,-0.0,-0.6913087393583761,-0.0,1.0,-0.2228368043865134,-0.4907411860901351,0.0
2019-01-25,-0.0,-0.7111777944486121,-0.0,1.0,-0.17457590204002613,-0.5342303317764926,0.0
2019-01-28,-0.0,-0.7050088277263162,-0.0,1.0,-0.18139163663627347,-0.5321305052361719,0.0
2019-01-29,-0.0,-0.6954467249860664,-0.0,1.0,-0.18276104393340928,-0.5450359851697483,0.0
