Date,IWF,IWM,MTUM,SPY,SRE,VLUE,VXX
2018-09-24,-0.4460684123250164,-0.8779453164166442,-0.0,-0.8316300952527863,1.0,-0.7007442829046316,0.0
2018-09-25,-0.44534538013050695,-0.8799181435576664,-0.0,-0.833082358392216,1.0,-0.7028070581875747,0.0
2018-09-26,-0.4443542463952994,-0.8800494800726739,-0.0,-0.8343963817696858,1.0,-0.7067919131006224,0.0
2018-09-27,-0.44474070639152946,-0.8788546255506607,-0.0,-0.8340675477239353,1.0,-0.7065461009351572,0.0
2018-09-28,-0.445861842359581,-0.8785805404151689,-0.0,-0.8343190691561329,1.0,-0.7068692257141753,0.0
2018-10-01,-0.4462105059119984,-0.8844737352200038,-0.0,-0.8362085675518511,1.0,-0.7098274859468889,0.0
2018-10-02,-0.44807006665633237,-0.8769958146023873,-0.0,-0.8382033793210356,1.0,-0.7121376530770424,0.0
2018-10-03,-0.4490232702934081,-0.864230679430306,-0.0,-0.8495991905984902,1.0,-0.7285002723947389,0.0
2018-10-04,-0.45646242594324915,-0.8572263797942001,-0.0,-0.8594480823199251,1.0,-0.7245478640473962,0.0
2018-10-05,-0.4331096543966487,-0.8435281796671968,-0.0,-0.8675768977153718,1.0,-0.7346107598619138,0.0
2018-10-08,-0.4294812053432743,-0.8410997204100651,-0.0,-0.8764756135445789,1.0,-0.7361369990680334,0.0
2018-10-09,-0.4267407090986758,-0.8409382159916119,-0.0,-0.8775969865247951,1.0,-0.7380295910838414,0.0
2018-10-10,-0.4277120124199496,-0.8396274015136813,-0.0,-0.8781680574422667,1.0,-0.735726761110033,0.0
2018-10-11,-0.330790413813635,-0.8097275974992557,-0.0,-0.8421405180113128,1.0,-0.738687109258708,0.0
2018-10-12,-0.33506114254425984,-0.792115349516335,-0.0,-0.8159883190363204,1.0,-0.7071363387479467,0.0
2018-10-15,-0.30942682572010477,-0.8115362234506838,-0.0,-0.8101178353215014,1.0,-0.7057753855106198,0.0
2018-10-16,-0.3061454545454545,-0.8166545454545454,-0.0,-0.8089090909090909,1.0,-0.7046545454545454,0.0
2018-10-17,-0.2776277450074622,-0.7627034325918556,-0.0,-0.8002629521711321,1.0,-0.7128135882311136,0.0
2018-10-18,-0.2774303581580443,-0.76257816941444,-0.0,-0.8003837407617964,1.0,-0.7127984650369528,0.0
2018-10-19,-0.2548991963908078,-0.7460172000563935,-0.0,-0.8082616664316932,1.0,-0.7154236571267446,0.0
2018-10-22,-0.25490818088893585,-0.7366677240844524,-0.0,-0.8131190299954179,1.0,-0.7200310175883824,0.0
2018-10-23,-0.25447750669863206,-0.7369200394866733,-0.0,-0.8137427725285573,1.0,-0.7204555069806797,0.0
2018-10-24,-0.2524309470124014,-0.7359427846674182,-0.0,-0.8142615558060879,1.0,-0.7205115558060879,0.0
2018-10-25,-0.20392640559153047,-0.6830438208791585,-0.0,-0.8485627162777949,1.0,-0.6906499468941651,0.0
2018-10-26,-0.1785362874495301,-0.6697316187697215,-0.0,-0.862484307671428,1.0,-0.6821836935500288,0.0
2018-10-29,-0.16459365625105335,-0.669194728149122,-0.0,-0.8555634206357232,1.0,-0.6813968382377726,0.0
2018-10-30,-0.15867133809459644,-0.6688451691146746,-0.0,-0.8554103220590217,1.0,-0.6858577011184477,0.0
2018-10-31,-0.1664826524808458,-0.6417076516444177,-0.0,-0.8560005353139952,1.0,-0.6815216300311151,0.0
2018-11-01,-0.13672859206503846,-0.6729935834985051,-0.0,-0.8615245070044009,1.0,-0.6881781838949173,0.0
2018-11-02,-0.14366647782184158,-0.6368180757823175,-0.0,-0.8709301163061952,1.0,-0.681141067084347,0.0
2018-11-05,-0.14301419148510894,-0.6383503231394497,-0.0,-0.8706775934439336,1.0,-0.6792924245452728,0.0
2018-11-06,-0.13721399730820993,-0.6416554508748318,-0.0,-0.8872476446837145,1.0,-0.6986541049798115,0.0
